B,dos_at_mu,System([band density])
1.0,2.657367143320707e+35,1.080000e+15 1.950000e+15 0.000000e+00 0.000000e+00
1.0301507537688441,6.300199496276128e+35,1.080000e+15 1.950000e+15 0.000000e+00 0.000000e+00
1.0603015075376885,2.73101106851939e+35,1.080000e+15 1.950000e+15 0.000000e+00 0.000000e+00
1.0904522613065326,2.1920930437546317e+35,1.080000e+15 1.950000e+15 0.000000e+00 0.000000e+00
1.120603015075377,6.465730247839128e+35,1.080000e+15 1.950000e+15 0.000000e+00 0.000000e+00
1.150753768844221,1.1925961370813525e+36,1.080000e+15 1.950000e+15 0.000000e+00 0.000000e+00
1.1809045226130652,1.100470447050907e+36,1.080000e+15 1.950000e+15 0.000000e+00 0.000000e+00
1.2110552763819096,4.4430181457603276e+35,1.080000e+15 1.950000e+15 0.000000e+00 0.000000e+00
1.2412060301507537,6.866349026097593e+34,1.080000e+15 1.950000e+15 0.000000e+00 0.000000e+00
1.271356783919598,2.298919175772938e+34,1.080000e+15 1.950000e+15 0.000000e+00 0.000000e+00
1.3015075376884422,1.4831884972312926e+35,1.080000e+15 1.950000e+15 0.000000e+00 0.000000e+00
1.3316582914572863,5.928188424573405e+35,1.080000e+15 1.950000e+15 0.000000e+00 0.000000e+00
1.3618090452261307,9.976878316871509e+35,1.080000e+15 1.950000e+15 0.000000e+00 0.000000e+00
1.3919597989949748,7.14147421856211e+35,1.080000e+15 1.950000e+15 0.000000e+00 0.000000e+00
1.4221105527638191,3.785801241402116e+35,1.080000e+15 1.950000e+15 0.000000e+00 0.000000e+00
1.4522613065326633,4.689177219043294e+35,1.080000e+15 1.950000e+15 0.000000e+00 0.000000e+00
1.4824120603015074,8.686295864540524e+35,1.080000e+15 1.950000e+15 0.000000e+00 0.000000e+00
1.5125628140703518,1.1484710547647873e+36,1.080000e+15 1.950000e+15 0.000000e+00 0.000000e+00
1.542713567839196,1.0244198140382297e+36,1.080000e+15 1.950000e+15 0.000000e+00 0.000000e+00
1.5728643216080402,8.241227375687584e+35,1.080000e+15 1.950000e+15 0.000000e+00 0.000000e+00
1.6030150753768844,9.19041261569061e+35,1.080000e+15 1.950000e+15 0.000000e+00 0.000000e+00
1.6331658291457285,1.0833100216860939e+36,1.080000e+15 1.950000e+15 0.000000e+00 0.000000e+00
1.6633165829145728,8.487155380707033e+35,1.080000e+15 1.950000e+15 0.000000e+00 0.000000e+00
1.6934673366834172,3.890111163152745e+35,1.080000e+15 1.950000e+15 0.000000e+00 0.000000e+00
1.7236180904522613,1.1093492703428643e+35,1.080000e+15 1.950000e+15 0.000000e+00 0.000000e+00
1.7537688442211055,6.522455116027449e+34,1.080000e+15 1.950000e+15 0.000000e+00 0.000000e+00
1.7839195979899496,2.0954854226585937e+35,1.080000e+15 1.950000e+15 0.000000e+00 0.000000e+00
1.814070351758794,7.650613755526404e+35,1.080000e+15 1.950000e+15 0.000000e+00 0.000000e+00
1.8442211055276383,1.9431528389831495e+36,1.080000e+15 1.950000e+15 0.000000e+00 0.000000e+00
1.8743718592964824,3.198523214790091e+36,1.080000e+15 1.950000e+15 0.000000e+00 0.000000e+00
1.9045226130653266,3.911886935435744e+36,1.080000e+15 1.950000e+15 0.000000e+00 0.000000e+00
1.9346733668341707,4.303343585331155e+36,1.080000e+15 1.950000e+15 0.000000e+00 0.000000e+00
1.964824120603015,4.628286534636468e+36,1.080000e+15 1.950000e+15 0.000000e+00 0.000000e+00
1.9949748743718594,4.788729014649787e+36,1.080000e+15 1.950000e+15 0.000000e+00 0.000000e+00
2.0251256281407035,4.5799862844933846e+36,1.080000e+15 1.950000e+15 0.000000e+00 0.000000e+00
2.0552763819095476,3.9886279738357185e+36,1.080000e+15 1.950000e+15 0.000000e+00 0.000000e+00
2.085427135678392,3.2725915251407427e+36,1.080000e+15 1.950000e+15 0.000000e+00 0.000000e+00
2.115577889447236,2.672002741335451e+36,1.080000e+15 1.950000e+15 0.000000e+00 0.000000e+00
2.1457286432160805,2.2990637421482597e+36,1.080000e+15 1.950000e+15 0.000000e+00 0.000000e+00
2.1758793969849246,2.202968879879164e+36,1.080000e+15 1.950000e+15 0.000000e+00 0.000000e+00
2.2060301507537687,2.325657248950004e+36,1.080000e+15 1.950000e+15 0.000000e+00 0.000000e+00
2.2361809045226133,2.494057760325817e+36,1.080000e+15 1.950000e+15 0.000000e+00 0.000000e+00
2.266331658291457,2.5335997872346992e+36,1.080000e+15 1.950000e+15 0.000000e+00 0.000000e+00
2.2964824120603016,2.4059013303003478e+36,1.080000e+15 1.950000e+15 0.000000e+00 0.000000e+00
2.3266331658291457,2.228797821689489e+36,1.080000e+15 1.950000e+15 0.000000e+00 0.000000e+00
2.35678391959799,2.1650174307689652e+36,1.080000e+15 1.950000e+15 0.000000e+00 0.000000e+00
2.3869346733668344,2.3115392634774315e+36,1.080000e+15 1.950000e+15 0.000000e+00 0.000000e+00
2.417085427135678,2.671064577866909e+36,1.080000e+15 1.950000e+15 0.000000e+00 0.000000e+00
2.4472361809045227,3.1674146323172933e+36,1.080000e+15 1.950000e+15 0.000000e+00 0.000000e+00
2.477386934673367,3.666705385869433e+36,1.080000e+15 1.950000e+15 0.000000e+00 0.000000e+00
2.507537688442211,4.0370267208397447e+36,1.080000e+15 1.950000e+15 0.000000e+00 0.000000e+00
2.5376884422110555,4.228846641185832e+36,1.080000e+15 1.950000e+15 0.000000e+00 0.000000e+00
2.567839195979899,4.276108981660403e+36,1.080000e+15 1.950000e+15 0.000000e+00 0.000000e+00
2.5979899497487438,4.244497549396418e+36,1.080000e+15 1.950000e+15 0.000000e+00 0.000000e+00
2.628140703517588,4.19492823873324e+36,1.080000e+15 1.950000e+15 0.000000e+00 0.000000e+00
2.658291457286432,4.1218932105610187e+36,1.080000e+15 1.950000e+15 0.000000e+00 0.000000e+00
2.6884422110552766,3.9225862926757564e+36,1.080000e+15 1.950000e+15 0.000000e+00 0.000000e+00
2.7185929648241203,3.499374294926334e+36,1.080000e+15 1.950000e+15 0.000000e+00 0.000000e+00
2.748743718592965,2.89614133325255e+36,1.080000e+15 1.950000e+15 0.000000e+00 0.000000e+00
2.778894472361809,2.288678586743649e+36,1.080000e+15 1.950000e+15 0.000000e+00 0.000000e+00
2.809045226130653,1.8474192268559698e+36,1.080000e+15 1.950000e+15 0.000000e+00 0.000000e+00
