B,den,N,Band,System([band density])
2.92964824120603,6353531344072003.0,3,1,2.400000e+15 1.950000e+15 1.000000e+15 1.000000e+15
1.7839195979899496,6348160436715845.0,5,1,2.400000e+15 1.950000e+15 1.000000e+15 1.000000e+15
3.4120603015075375,6336931639246171.0,0,2,2.400000e+15 1.950000e+15 1.000000e+15 1.000000e+15
3.4422110552763816,6339135385693508.0,0,2,2.400000e+15 1.950000e+15 1.000000e+15 1.000000e+15
3.472361809045226,6334363157845133.0,0,2,2.400000e+15 1.950000e+15 1.000000e+15 1.000000e+15
3.7738693467336684,6353128385756950.0,0,2,2.400000e+15 1.950000e+15 1.000000e+15 1.000000e+15
1.6331658291457285,6335252659711115.0,1,2,2.400000e+15 1.950000e+15 1.000000e+15 1.000000e+15
3.2613065326633164,6353292304362128.0,0,3,2.400000e+15 1.950000e+15 1.000000e+15 1.000000e+15
1.0,6333365432872007.0,2,3,2.400000e+15 1.950000e+15 1.000000e+15 1.000000e+15
5.281407035175879,6294560046426079.0,2,0,2.381461e+15 1.950000e+15 9.887640e+14 9.887640e+14
3.5025125628140703,6327729345564664.0,3,0,2.381461e+15 1.950000e+15 9.887640e+14 9.887640e+14
2.628140703517588,6314094659193707.0,4,0,2.381461e+15 1.950000e+15 9.887640e+14 9.887640e+14
1.3618090452261307,6312097312882721.0,8,0,2.381461e+15 1.950000e+15 9.887640e+14 9.887640e+14
1.2110552763819096,6310215545336244.0,9,0,2.381461e+15 1.950000e+15 9.887640e+14 9.887640e+14
1.0904522613065326,6310816734466960.0,10,0,2.381461e+15 1.950000e+15 9.887640e+14 9.887640e+14
1.7839195979899496,6313539325801390.0,5,1,2.381461e+15 1.950000e+15 9.887640e+14 9.887640e+14
3.743718592964824,6302949167791329.0,0,2,2.381461e+15 1.950000e+15 9.887640e+14 9.887640e+14
1.6331658291457285,6322767758812422.0,1,2,2.381461e+15 1.950000e+15 9.887640e+14 9.887640e+14
3.2311557788944723,6296708752804075.0,0,3,2.381461e+15 1.950000e+15 9.887640e+14 9.887640e+14
1.6030150753768844,6300490120800753.0,1,3,2.381461e+15 1.950000e+15 9.887640e+14 9.887640e+14
1.0,6303722864831842.0,2,3,2.381461e+15 1.950000e+15 9.887640e+14 9.887640e+14
1.0301507537688441,6301223611421990.0,2,3,2.381461e+15 1.950000e+15 9.887640e+14 9.887640e+14
3.472361809045226,6267817762505429.0,3,0,2.362921e+15 1.950000e+15 9.775281e+14 9.775281e+14
2.115577889447236,6262573318062924.0,5,0,2.362921e+15 1.950000e+15 9.775281e+14 9.775281e+14
1.7839195979899496,6262390277225478.0,6,0,2.362921e+15 1.950000e+15 9.775281e+14 9.775281e+14
4.28643216080402,6254204534096770.0,2,1,2.362921e+15 1.950000e+15 9.775281e+14 9.775281e+14
1.7839195979899496,6276912827248018.0,5,1,2.362921e+15 1.950000e+15 9.775281e+14 9.775281e+14
3.7135678391959797,6252560666070741.0,0,2,2.362921e+15 1.950000e+15 9.775281e+14 9.775281e+14
3.743718592964824,6286883438451248.0,0,2,2.362921e+15 1.950000e+15 9.775281e+14 9.775281e+14
1.0301507537688441,6260277108034548.0,2,2,2.362921e+15 1.950000e+15 9.775281e+14 9.775281e+14
1.5125628140703518,6250292947799718.0,1,3,2.362921e+15 1.950000e+15 9.775281e+14 9.775281e+14
1.6030150753768844,6278937858976924.0,1,3,2.362921e+15 1.950000e+15 9.775281e+14 9.775281e+14
1.0,6274813675069227.0,2,3,2.362921e+15 1.950000e+15 9.775281e+14 9.775281e+14
1.7839195979899496,6239279966097555.0,5,1,2.344382e+15 1.950000e+15 9.662921e+14 9.662921e+14
3.7135678391959797,6236558656691904.0,0,2,2.344382e+15 1.950000e+15 9.662921e+14 9.662921e+14
1.6030150753768844,6217723444593609.0,1,2,2.344382e+15 1.950000e+15 9.662921e+14 9.662921e+14
1.0,6213691695264574.0,2,2,2.344382e+15 1.950000e+15 9.662921e+14 9.662921e+14
3.201005025125628,6231772758485212.0,0,3,2.344382e+15 1.950000e+15 9.662921e+14 9.662921e+14
1.4824120603015074,6223496478729383.0,1,3,2.344382e+15 1.950000e+15 9.662921e+14 9.662921e+14
1.5125628140703518,6223640794005995.0,1,3,2.344382e+15 1.950000e+15 9.662921e+14 9.662921e+14
1.542713567839196,6208632225052645.0,1,3,2.344382e+15 1.950000e+15 9.662921e+14 9.662921e+14
1.5728643216080402,6212257937412384.0,1,3,2.344382e+15 1.950000e+15 9.662921e+14 9.662921e+14
5.160804020100502,6172783007109156.0,2,0,2.325843e+15 1.950000e+15 9.550562e+14 9.550562e+14
2.567839195979899,6181415025042973.0,4,0,2.325843e+15 1.950000e+15 9.550562e+14 9.550562e+14
1.1809045226130652,6168905327704302.0,9,0,2.325843e+15 1.950000e+15 9.550562e+14 9.550562e+14
2.899497487437186,6186065833248246.0,3,1,2.325843e+15 1.950000e+15 9.550562e+14 9.550562e+14
1.7839195979899496,6201898706038280.0,5,1,2.325843e+15 1.950000e+15 9.550562e+14 9.550562e+14
3.6834170854271355,6186122924766603.0,0,2,2.325843e+15 1.950000e+15 9.550562e+14 9.550562e+14
1.0,6194799593425131.0,2,2,2.325843e+15 1.950000e+15 9.550562e+14 9.550562e+14
3.170854271356784,6177878670384107.0,0,3,2.325843e+15 1.950000e+15 9.550562e+14 9.550562e+14
1.4522613065326633,6182831290730599.0,1,3,2.325843e+15 1.950000e+15 9.550562e+14 9.550562e+14
1.4824120603015074,6200909132840330.0,1,3,2.325843e+15 1.950000e+15 9.550562e+14 9.550562e+14
1.5125628140703518,6194624967120405.0,1,3,2.325843e+15 1.950000e+15 9.550562e+14 9.550562e+14
1.542713567839196,6176900467584225.0,1,3,2.325843e+15 1.950000e+15 9.550562e+14 9.550562e+14
1.5728643216080402,6188858718430036.0,1,3,2.325843e+15 1.950000e+15 9.550562e+14 9.550562e+14
