B,den,N,Band,System([band density])
2.152400835073069,6342972115264575.0,5,2,0.000000e+00 0.000000e+00 2.400000e+15 1.950000e+15 1.000000e+15 1.000000e+15
1.826722338204593,6368447380122615.0,6,2,0.000000e+00 0.000000e+00 2.400000e+15 1.950000e+15 1.000000e+15 1.000000e+15
1.1002087682672235,6357141692235991.0,10,2,0.000000e+00 0.000000e+00 2.400000e+15 1.950000e+15 1.000000e+15 1.000000e+15
1.2881002087682671,6340001882587217.0,7,3,0.000000e+00 0.000000e+00 2.400000e+15 1.950000e+15 1.000000e+15 1.000000e+15
3.755741127348643,6341629976222235.0,0,4,0.000000e+00 0.000000e+00 2.400000e+15 1.950000e+15 1.000000e+15 1.000000e+15
3.768267223382046,6353413437415226.0,0,4,0.000000e+00 0.000000e+00 2.400000e+15 1.950000e+15 1.000000e+15 1.000000e+15
3.780793319415449,6366037340417170.0,0,4,0.000000e+00 0.000000e+00 2.400000e+15 1.950000e+15 1.000000e+15 1.000000e+15
1.0501043841336117,6350866362697908.0,2,4,0.000000e+00 0.000000e+00 2.400000e+15 1.950000e+15 1.000000e+15 1.000000e+15
3.2546972860125263,6337126228538595.0,0,5,0.000000e+00 0.000000e+00 2.400000e+15 1.950000e+15 1.000000e+15 1.000000e+15
3.267223382045929,6357028935759422.0,0,5,0.000000e+00 0.000000e+00 2.400000e+15 1.950000e+15 1.000000e+15 1.000000e+15
1.626304801670146,6350697711463602.0,1,5,0.000000e+00 0.000000e+00 2.400000e+15 1.950000e+15 1.000000e+15 1.000000e+15
1.0375782881002087,6341193706257214.0,2,5,0.000000e+00 0.000000e+00 2.400000e+15 1.950000e+15 1.000000e+15 1.000000e+15
5.2839248434238,6299675886098699.0,2,2,0.000000e+00 0.000000e+00 2.381461e+15 1.950000e+15 9.887640e+14 9.887640e+14
2.6283924843423803,6303403480062039.0,4,2,0.000000e+00 0.000000e+00 2.381461e+15 1.950000e+15 9.887640e+14 9.887640e+14
1.3632567849686847,6324652367222301.0,8,2,0.000000e+00 0.000000e+00 2.381461e+15 1.950000e+15 9.887640e+14 9.887640e+14
4.306889352818372,6311499150772787.0,2,3,0.000000e+00 0.000000e+00 2.381461e+15 1.950000e+15 9.887640e+14 9.887640e+14
2.916492693110647,6314411460740840.0,3,3,0.000000e+00 0.000000e+00 2.381461e+15 1.950000e+15 9.887640e+14 9.887640e+14
1.488517745302714,6297225087488251.0,6,3,0.000000e+00 0.000000e+00 2.381461e+15 1.950000e+15 9.887640e+14 9.887640e+14
3.730688935281837,6296695065516003.0,0,4,0.000000e+00 0.000000e+00 2.381461e+15 1.950000e+15 9.887640e+14 9.887640e+14
3.7432150313152404,6308937293527299.0,0,4,0.000000e+00 0.000000e+00 2.381461e+15 1.950000e+15 9.887640e+14 9.887640e+14
3.755741127348643,6322019201514867.0,0,4,0.000000e+00 0.000000e+00 2.381461e+15 1.950000e+15 9.887640e+14 9.887640e+14
1.638830897703549,6322853331200128.0,1,4,0.000000e+00 0.000000e+00 2.381461e+15 1.950000e+15 9.887640e+14 9.887640e+14
1.0375782881002087,6296060514346448.0,2,4,0.000000e+00 0.000000e+00 2.381461e+15 1.950000e+15 9.887640e+14 9.887640e+14
3.2421711899791235,6308532528223796.0,0,5,0.000000e+00 0.000000e+00 2.381461e+15 1.950000e+15 9.887640e+14 9.887640e+14
3.2546972860125263,6327464999243235.0,0,5,0.000000e+00 0.000000e+00 2.381461e+15 1.950000e+15 9.887640e+14 9.887640e+14
1.6137787056367432,6302269163841051.0,1,5,0.000000e+00 0.000000e+00 2.381461e+15 1.950000e+15 9.887640e+14 9.887640e+14
1.0250521920668059,6300366999470274.0,2,5,0.000000e+00 0.000000e+00 2.381461e+15 1.950000e+15 9.887640e+14 9.887640e+14
5.246346555323591,6268804804894741.0,2,2,0.000000e+00 0.000000e+00 2.362921e+15 1.950000e+15 9.775281e+14 9.775281e+14
2.11482254697286,6282870673014804.0,5,2,0.000000e+00 0.000000e+00 2.362921e+15 1.950000e+15 9.775281e+14 9.775281e+14
1.789144050104384,6275338929478981.0,6,2,0.000000e+00 0.000000e+00 2.362921e+15 1.950000e+15 9.775281e+14 9.775281e+14
1.350730688935282,6263653662185163.0,8,2,0.000000e+00 0.000000e+00 2.362921e+15 1.950000e+15 9.775281e+14 9.775281e+14
1.2004175365344467,6256277863161345.0,9,2,0.000000e+00 0.000000e+00 2.362921e+15 1.950000e+15 9.775281e+14 9.775281e+14
4.294363256784969,6249950396921362.0,2,3,0.000000e+00 0.000000e+00 2.362921e+15 1.950000e+15 9.775281e+14 9.775281e+14
2.2275574112734864,6254044115344443.0,4,3,0.000000e+00 0.000000e+00 2.362921e+15 1.950000e+15 9.775281e+14 9.775281e+14
1.789144050104384,6284642245406141.0,5,3,0.000000e+00 0.000000e+00 2.362921e+15 1.950000e+15 9.775281e+14 9.775281e+14
1.488517745302714,6275503394109501.0,6,3,0.000000e+00 0.000000e+00 2.362921e+15 1.950000e+15 9.775281e+14 9.775281e+14
3.7056367432150314,6251716048491847.0,0,4,0.000000e+00 0.000000e+00 2.362921e+15 1.950000e+15 9.775281e+14 9.775281e+14
3.7181628392484343,6264384547336146.0,0,4,0.000000e+00 0.000000e+00 2.362921e+15 1.950000e+15 9.775281e+14 9.775281e+14
3.730688935281837,6277887208664510.0,0,4,0.000000e+00 0.000000e+00 2.362921e+15 1.950000e+15 9.775281e+14 9.775281e+14
1.626304801670146,6274773834800066.0,1,4,0.000000e+00 0.000000e+00 2.362921e+15 1.950000e+15 9.775281e+14 9.775281e+14
1.0250521920668059,6250241934742960.0,2,4,0.000000e+00 0.000000e+00 2.362921e+15 1.950000e+15 9.775281e+14 9.775281e+14
3.2171189979123174,6260597773964872.0,0,5,0.000000e+00 0.000000e+00 2.362921e+15 1.950000e+15 9.775281e+14 9.775281e+14
3.22964509394572,6279166259317635.0,0,5,0.000000e+00 0.000000e+00 2.362921e+15 1.950000e+15 9.775281e+14 9.775281e+14
1.4634655532359082,6255308916163813.0,1,5,0.000000e+00 0.000000e+00 2.362921e+15 1.950000e+15 9.775281e+14 9.775281e+14
1.475991649269311,6262438766617170.0,1,5,0.000000e+00 0.000000e+00 2.362921e+15 1.950000e+15 9.775281e+14 9.775281e+14
1.488517745302714,6261197874365644.0,1,5,0.000000e+00 0.000000e+00 2.362921e+15 1.950000e+15 9.775281e+14 9.775281e+14
1.501043841336117,6252716429149487.0,1,5,0.000000e+00 0.000000e+00 2.362921e+15 1.950000e+15 9.775281e+14 9.775281e+14
1.6012526096033404,6254821270202385.0,1,5,0.000000e+00 0.000000e+00 2.362921e+15 1.950000e+15 9.775281e+14 9.775281e+14
1.0,6261033623175568.0,2,5,0.000000e+00 0.000000e+00 2.362921e+15 1.950000e+15 9.775281e+14 9.775281e+14
1.0125260960334028,6267833999357187.0,2,5,0.000000e+00 0.000000e+00 2.362921e+15 1.950000e+15 9.775281e+14 9.775281e+14
5.208768267223382,6238105929324328.0,2,2,0.000000e+00 0.000000e+00 2.344382e+15 1.950000e+15 9.662921e+14 9.662921e+14
2.5908141962421714,6234236419412743.0,4,2,0.000000e+00 0.000000e+00 2.344382e+15 1.950000e+15 9.662921e+14 9.662921e+14
1.5260960334029228,6210356946859296.0,7,2,0.000000e+00 0.000000e+00 2.344382e+15 1.950000e+15 9.662921e+14 9.662921e+14
2.903966597077244,6228270856474394.0,3,3,0.000000e+00 0.000000e+00 2.344382e+15 1.950000e+15 9.662921e+14 9.662921e+14
2.2275574112734864,6232449107402702.0,4,3,0.000000e+00 0.000000e+00 2.344382e+15 1.950000e+15 9.662921e+14 9.662921e+14
1.789144050104384,6237713579987820.0,5,3,0.000000e+00 0.000000e+00 2.344382e+15 1.950000e+15 9.662921e+14 9.662921e+14
3.6931106471816286,6219810194370960.0,0,4,0.000000e+00 0.000000e+00 2.344382e+15 1.950000e+15 9.662921e+14 9.662921e+14
3.7056367432150314,6233703972572648.0,0,4,0.000000e+00 0.000000e+00 2.344382e+15 1.950000e+15 9.662921e+14 9.662921e+14
1.6137787056367432,6226937414408176.0,1,4,0.000000e+00 0.000000e+00 2.344382e+15 1.950000e+15 9.662921e+14 9.662921e+14
1.0125260960334028,6213401786058207.0,2,4,0.000000e+00 0.000000e+00 2.344382e+15 1.950000e+15 9.662921e+14 9.662921e+14
1.0250521920668059,6242383115009949.0,2,4,0.000000e+00 0.000000e+00 2.344382e+15 1.950000e+15 9.662921e+14 9.662921e+14
3.1920668058455117,6213487415307867.0,0,5,0.000000e+00 0.000000e+00 2.344382e+15 1.950000e+15 9.662921e+14 9.662921e+14
3.2045929018789145,6231555399775983.0,0,5,0.000000e+00 0.000000e+00 2.344382e+15 1.950000e+15 9.662921e+14 9.662921e+14
1.4384133611691023,6210636764347550.0,1,5,0.000000e+00 0.000000e+00 2.344382e+15 1.950000e+15 9.662921e+14 9.662921e+14
1.4509394572025052,6231604446690943.0,1,5,0.000000e+00 0.000000e+00 2.344382e+15 1.950000e+15 9.662921e+14 9.662921e+14
1.4634655532359082,6243048221173092.0,1,5,0.000000e+00 0.000000e+00 2.344382e+15 1.950000e+15 9.662921e+14 9.662921e+14
1.475991649269311,6244692422729970.0,1,5,0.000000e+00 0.000000e+00 2.344382e+15 1.950000e+15 9.662921e+14 9.662921e+14
1.488517745302714,6237198560329255.0,1,5,0.000000e+00 0.000000e+00 2.344382e+15 1.950000e+15 9.662921e+14 9.662921e+14
1.501043841336117,6222359890486680.0,1,5,0.000000e+00 0.000000e+00 2.344382e+15 1.950000e+15 9.662921e+14 9.662921e+14
1.5887265135699375,6208880888037615.0,1,5,0.000000e+00 0.000000e+00 2.344382e+15 1.950000e+15 9.662921e+14 9.662921e+14
1.6012526096033404,6241471316114009.0,1,5,0.000000e+00 0.000000e+00 2.344382e+15 1.950000e+15 9.662921e+14 9.662921e+14
1.0,6239765964160332.0,2,5,0.000000e+00 0.000000e+00 2.344382e+15 1.950000e+15 9.662921e+14 9.662921e+14
2.0772442588726516,6200171707981330.0,5,2,0.000000e+00 0.000000e+00 2.325843e+15 1.950000e+15 9.550562e+14 9.550562e+14
1.7515657620041754,6177955697750952.0,6,2,0.000000e+00 0.000000e+00 2.325843e+15 1.950000e+15 9.550562e+14 9.550562e+14
1.5135699373695197,6192944804659139.0,7,2,0.000000e+00 0.000000e+00 2.325843e+15 1.950000e+15 9.550562e+14 9.550562e+14
4.281837160751566,6185482316305204.0,2,3,0.000000e+00 0.000000e+00 2.325843e+15 1.950000e+15 9.550562e+14 9.550562e+14
1.789144050104384,6193192572558859.0,5,3,0.000000e+00 0.000000e+00 2.325843e+15 1.950000e+15 9.550562e+14 9.550562e+14
1.1252609603340291,6196985480640302.0,8,3,0.000000e+00 0.000000e+00 2.325843e+15 1.950000e+15 9.550562e+14 9.550562e+14
3.6680584551148225,6175254628296933.0,0,4,0.000000e+00 0.000000e+00 2.325843e+15 1.950000e+15 9.550562e+14 9.550562e+14
3.6805845511482254,6189516004567347.0,0,4,0.000000e+00 0.000000e+00 2.325843e+15 1.950000e+15 9.550562e+14 9.550562e+14
3.6931106471816286,6204522302992658.0,0,4,0.000000e+00 0.000000e+00 2.325843e+15 1.950000e+15 9.550562e+14 9.550562e+14
1.6012526096033404,6179810346020930.0,1,4,0.000000e+00 0.000000e+00 2.325843e+15 1.950000e+15 9.550562e+14 9.550562e+14
1.0,6183040683746871.0,2,4,0.000000e+00 0.000000e+00 2.325843e+15 1.950000e+15 9.550562e+14 9.550562e+14
1.0125260960334028,6204894804150493.0,2,4,0.000000e+00 0.000000e+00 2.325843e+15 1.950000e+15 9.550562e+14 9.550562e+14
3.1670146137787056,6167556004357495.0,0,5,0.000000e+00 0.000000e+00 2.325843e+15 1.950000e+15 9.550562e+14 9.550562e+14
3.1795407098121085,6184941114404610.0,0,5,0.000000e+00 0.000000e+00 2.325843e+15 1.950000e+15 9.550562e+14 9.550562e+14
3.1920668058455117,6201702319742809.0,0,5,0.000000e+00 0.000000e+00 2.325843e+15 1.950000e+15 9.550562e+14 9.550562e+14
1.4258872651356995,6176141140195636.0,1,5,0.000000e+00 0.000000e+00 2.325843e+15 1.950000e+15 9.550562e+14 9.550562e+14
1.4384133611691023,6202631012005673.0,1,5,0.000000e+00 0.000000e+00 2.325843e+15 1.950000e+15 9.550562e+14 9.550562e+14
1.501043841336117,6187057936335925.0,1,5,0.000000e+00 0.000000e+00 2.325843e+15 1.950000e+15 9.550562e+14 9.550562e+14
1.5887265135699375,6196008042175963.0,1,5,0.000000e+00 0.000000e+00 2.325843e+15 1.950000e+15 9.550562e+14 9.550562e+14
5.1210855949895615,6132820362223194.0,2,2,0.000000e+00 0.000000e+00 2.307303e+15 1.950000e+15 9.438202e+14 9.438202e+14
3.392484342379958,6134050477991611.0,3,2,0.000000e+00 0.000000e+00 2.307303e+15 1.950000e+15 9.438202e+14 9.438202e+14
2.5532359081419624,6162109308121186.0,4,2,0.000000e+00 0.000000e+00 2.307303e+15 1.950000e+15 9.438202e+14 9.438202e+14
4.269311064718163,6134420907632056.0,2,3,0.000000e+00 0.000000e+00 2.307303e+15 1.950000e+15 9.438202e+14 9.438202e+14
2.8914405010438413,6142277360092042.0,3,3,0.000000e+00 0.000000e+00 2.307303e+15 1.950000e+15 9.438202e+14 9.438202e+14
2.2150313152400836,6141180522881409.0,4,3,0.000000e+00 0.000000e+00 2.307303e+15 1.950000e+15 9.438202e+14 9.438202e+14
1.789144050104384,6153603241754968.0,5,3,0.000000e+00 0.000000e+00 2.307303e+15 1.950000e+15 9.438202e+14 9.438202e+14
1.2755741127348643,6145001483155688.0,7,3,0.000000e+00 0.000000e+00 2.307303e+15 1.950000e+15 9.438202e+14 9.438202e+14
3.643006263048017,6130746680338294.0,0,4,0.000000e+00 0.000000e+00 2.307303e+15 1.950000e+15 9.438202e+14 9.438202e+14
3.6555323590814197,6145356876059323.0,0,4,0.000000e+00 0.000000e+00 2.307303e+15 1.950000e+15 9.438202e+14 9.438202e+14
3.6680584551148225,6160696264215512.0,0,4,0.000000e+00 0.000000e+00 2.307303e+15 1.950000e+15 9.438202e+14 9.438202e+14
1.4384133611691023,6130711037969738.0,1,4,0.000000e+00 0.000000e+00 2.307303e+15 1.950000e+15 9.438202e+14 9.438202e+14
1.4509394572025052,6134322632795943.0,1,4,0.000000e+00 0.000000e+00 2.307303e+15 1.950000e+15 9.438202e+14 9.438202e+14
1.4634655532359082,6127556666161561.0,1,4,0.000000e+00 0.000000e+00 2.307303e+15 1.950000e+15 9.438202e+14 9.438202e+14
1.5887265135699375,6135181978091830.0,1,4,0.000000e+00 0.000000e+00 2.307303e+15 1.950000e+15 9.438202e+14 9.438202e+14
3.154488517745303,6139731683950513.0,0,5,0.000000e+00 0.000000e+00 2.307303e+15 1.950000e+15 9.438202e+14 9.438202e+14
3.1670146137787056,6155676637723897.0,0,5,0.000000e+00 0.000000e+00 2.307303e+15 1.950000e+15 9.438202e+14 9.438202e+14
1.4133611691022965,6136256598647385.0,1,5,0.000000e+00 0.000000e+00 2.307303e+15 1.950000e+15 9.438202e+14 9.438202e+14
1.501043841336117,6148904582068013.0,1,5,0.000000e+00 0.000000e+00 2.307303e+15 1.950000e+15 9.438202e+14 9.438202e+14
1.5762004175365345,6152793349769516.0,1,5,0.000000e+00 0.000000e+00 2.307303e+15 1.950000e+15 9.438202e+14 9.438202e+14
5.083507306889353,6102695388207996.0,2,2,0.000000e+00 0.000000e+00 2.288764e+15 1.950000e+15 9.325843e+14 9.325843e+14
3.3674321503131526,6101319110445750.0,3,2,0.000000e+00 0.000000e+00 2.288764e+15 1.950000e+15 9.325843e+14 9.325843e+14
2.0396659707724427,6090539403476760.0,5,2,0.000000e+00 0.000000e+00 2.288764e+15 1.950000e+15 9.325843e+14 9.325843e+14
1.162839248434238,6096292282852294.0,9,2,0.000000e+00 0.000000e+00 2.288764e+15 1.950000e+15 9.325843e+14 9.325843e+14
4.2567849686847605,6085693102560674.0,2,3,0.000000e+00 0.000000e+00 2.288764e+15 1.950000e+15 9.325843e+14 9.325843e+14
1.789144050104384,6120596557796468.0,5,3,0.000000e+00 0.000000e+00 2.288764e+15 1.950000e+15 9.325843e+14 9.325843e+14
1.2755741127348643,6118328724857672.0,7,3,0.000000e+00 0.000000e+00 2.288764e+15 1.950000e+15 9.325843e+14 9.325843e+14
1.0,6116352367863562.0,9,3,0.000000e+00 0.000000e+00 2.288764e+15 1.950000e+15 9.325843e+14 9.325843e+14
3.617954070981211,6086306309706019.0,0,4,0.000000e+00 0.000000e+00 2.288764e+15 1.950000e+15 9.325843e+14 9.325843e+14
3.630480167014614,6101250079156779.0,0,4,0.000000e+00 0.000000e+00 2.288764e+15 1.950000e+15 9.325843e+14 9.325843e+14
3.643006263048017,6116905081682447.0,0,4,0.000000e+00 0.000000e+00 2.288764e+15 1.950000e+15 9.325843e+14 9.325843e+14
1.4258872651356995,6100558296051051.0,1,4,0.000000e+00 0.000000e+00 2.288764e+15 1.950000e+15 9.325843e+14 9.325843e+14
1.4384133611691023,6109642732488279.0,1,4,0.000000e+00 0.000000e+00 2.288764e+15 1.950000e+15 9.325843e+14 9.325843e+14
1.4509394572025052,6107395313058658.0,1,4,0.000000e+00 0.000000e+00 2.288764e+15 1.950000e+15 9.325843e+14 9.325843e+14
1.4634655532359082,6095621017044168.0,1,4,0.000000e+00 0.000000e+00 2.288764e+15 1.950000e+15 9.325843e+14 9.325843e+14
1.5762004175365345,6092672431191328.0,1,4,0.000000e+00 0.000000e+00 2.288764e+15 1.950000e+15 9.325843e+14 9.325843e+14
3.129436325678497,6096445193346906.0,0,5,0.000000e+00 0.000000e+00 2.288764e+15 1.950000e+15 9.325843e+14 9.325843e+14
3.1419624217119,6111311484431184.0,0,5,0.000000e+00 0.000000e+00 2.288764e+15 1.950000e+15 9.325843e+14 9.325843e+14
1.4008350730688934,6091692510965810.0,1,5,0.000000e+00 0.000000e+00 2.288764e+15 1.950000e+15 9.325843e+14 9.325843e+14
1.501043841336117,6110698608045962.0,1,5,0.000000e+00 0.000000e+00 2.288764e+15 1.950000e+15 9.325843e+14 9.325843e+14
1.5135699373695197,6089905996655717.0,1,5,0.000000e+00 0.000000e+00 2.288764e+15 1.950000e+15 9.325843e+14 9.325843e+14
1.5511482254697286,6088100594865752.0,1,5,0.000000e+00 0.000000e+00 2.288764e+15 1.950000e+15 9.325843e+14 9.325843e+14
1.5636743215031315,6112727505938949.0,1,5,0.000000e+00 0.000000e+00 2.288764e+15 1.950000e+15 9.325843e+14 9.325843e+14
5.045929018789145,6073021500095310.0,2,2,0.000000e+00 0.000000e+00 2.270225e+15 1.950000e+15 9.213483e+14 9.213483e+14
3.3423799582463465,6068609696978130.0,3,2,0.000000e+00 0.000000e+00 2.270225e+15 1.950000e+15 9.213483e+14 9.213483e+14
2.0271398747390394,6074203348797406.0,5,2,0.000000e+00 0.000000e+00 2.270225e+15 1.950000e+15 9.213483e+14 9.213483e+14
1.7014613778705638,6052725701274685.0,6,2,0.000000e+00 0.000000e+00 2.270225e+15 1.950000e+15 9.213483e+14 9.213483e+14
2.8789144050104385,6056404607541654.0,3,3,0.000000e+00 0.000000e+00 2.270225e+15 1.950000e+15 9.213483e+14 9.213483e+14
2.2025052192066807,6061752306432218.0,4,3,0.000000e+00 0.000000e+00 2.270225e+15 1.950000e+15 9.213483e+14 9.213483e+14
3.605427974947808,6057211498925599.0,0,4,0.000000e+00 0.000000e+00 2.270225e+15 1.950000e+15 9.213483e+14 9.213483e+14
3.617954070981211,6073167658826781.0,0,4,0.000000e+00 0.000000e+00 2.270225e+15 1.950000e+15 9.213483e+14 9.213483e+14
