B,dos_at_mu,System([band density])
0.0,nan,1.080000e+15 1.950000e+15
0.3684210526315789,9.943384980823507e+35,1.080000e+15 1.950000e+15
0.7368421052631579,5.145447338870523e+36,1.080000e+15 1.950000e+15
1.1052631578947367,5.300561818186333e+36,1.080000e+15 1.950000e+15
1.4736842105263157,4.571180460973735e+36,1.080000e+15 1.950000e+15
1.8421052631578947,4.8521016599910935e+36,1.080000e+15 1.950000e+15
2.2105263157894735,7.594232456035803e+36,1.080000e+15 1.950000e+15
2.5789473684210527,8.001928953491013e+36,1.080000e+15 1.950000e+15
2.9473684210526314,6.527972892386374e+36,1.080000e+15 1.950000e+15
3.31578947368421,4.5370637451898777e+36,1.080000e+15 1.950000e+15
3.6842105263157894,2.4898089099028326e+36,1.080000e+15 1.950000e+15
4.052631578947368,1.0212243797610371e+36,1.080000e+15 1.950000e+15
4.421052631578947,3.380370699770776e+35,1.080000e+15 1.950000e+15
4.789473684210526,1.470941096218213e+35,1.080000e+15 1.950000e+15
5.157894736842105,1.533710316969839e+35,1.080000e+15 1.950000e+15
5.526315789473684,2.3305131368174595e+35,1.080000e+15 1.950000e+15
5.894736842105263,3.63781939290701e+35,1.080000e+15 1.950000e+15
6.263157894736842,5.563969042039644e+35,1.080000e+15 1.950000e+15
6.63157894736842,8.312944804351069e+35,1.080000e+15 1.950000e+15
7.0,1.2134897286453686e+36,1.080000e+15 1.950000e+15
0.0,nan,1.050000e+15 1.950000e+15
0.3684210526315789,1.0177783714856501e+36,1.050000e+15 1.950000e+15
0.7368421052631579,5.1455057455227714e+36,1.050000e+15 1.950000e+15
1.1052631578947367,5.3047585629127046e+36,1.050000e+15 1.950000e+15
1.4736842105263157,4.5495461050550574e+36,1.050000e+15 1.950000e+15
1.8421052631578947,4.8833786511068904e+36,1.050000e+15 1.950000e+15
2.2105263157894735,7.655306449433872e+36,1.050000e+15 1.950000e+15
2.5789473684210527,8.027921444838014e+36,1.050000e+15 1.950000e+15
2.9473684210526314,6.479900366485415e+36,1.050000e+15 1.950000e+15
3.31578947368421,4.439713679192963e+36,1.050000e+15 1.950000e+15
3.6842105263157894,2.4021104445306978e+36,1.050000e+15 1.950000e+15
4.052631578947368,9.728334027275898e+35,1.050000e+15 1.950000e+15
4.421052631578947,3.2033445029251305e+35,1.050000e+15 1.950000e+15
4.789473684210526,1.4265860969283055e+35,1.050000e+15 1.950000e+15
5.157894736842105,1.525969929309403e+35,1.050000e+15 1.950000e+15
5.526315789473684,2.3295629990841214e+35,1.050000e+15 1.950000e+15
5.894736842105263,3.637736832297526e+35,1.050000e+15 1.950000e+15
6.263157894736842,5.563963941550825e+35,1.050000e+15 1.950000e+15
6.63157894736842,8.31294457962117e+35,1.050000e+15 1.950000e+15
7.0,1.2134897279375344e+36,1.050000e+15 1.950000e+15
0.0,nan,1.030000e+15 1.950000e+15
0.3684210526315789,1.0335428590516565e+36,1.030000e+15 1.950000e+15
0.7368421052631579,5.145541107870483e+36,1.030000e+15 1.950000e+15
1.1052631578947367,5.307454788821057e+36,1.030000e+15 1.950000e+15
1.4736842105263157,4.5354672425770306e+36,1.030000e+15 1.950000e+15
1.8421052631578947,4.90502829232512e+36,1.030000e+15 1.950000e+15
2.2105263157894735,7.695622504938541e+36,1.030000e+15 1.950000e+15
2.5789473684210527,8.043660734448089e+36,1.030000e+15 1.950000e+15
2.9473684210526314,6.446287246509717e+36,1.030000e+15 1.950000e+15
3.31578947368421,4.3746382984135586e+36,1.030000e+15 1.950000e+15
3.6842105263157894,2.3446293399134986e+36,1.030000e+15 1.950000e+15
4.052631578947368,9.415948329327442e+35,1.030000e+15 1.950000e+15
4.421052631578947,3.0906136121102002e+35,1.030000e+15 1.950000e+15
4.789473684210526,1.3987027065378958e+35,1.030000e+15 1.950000e+15
5.157894736842105,1.5211644517256257e+35,1.030000e+15 1.950000e+15
5.526315789473684,2.328980312511502e+35,1.030000e+15 1.950000e+15
5.894736842105263,3.637686810146514e+35,1.030000e+15 1.950000e+15
6.263157894736842,5.56396088812849e+35,1.030000e+15 1.950000e+15
6.63157894736842,8.312944446682146e+35,1.030000e+15 1.950000e+15
7.0,1.2134897275237619e+36,1.030000e+15 1.950000e+15
0.0,nan,1.010000e+15 1.950000e+15
0.3684210526315789,1.0494135001975713e+36,1.010000e+15 1.950000e+15
0.7368421052631579,5.145573588930815e+36,1.010000e+15 1.950000e+15
1.1052631578947367,5.310062531561863e+36,1.010000e+15 1.950000e+15
1.4736842105263157,4.5216845304623624e+36,1.010000e+15 1.950000e+15
1.8421052631578947,4.9272976525433556e+36,1.010000e+15 1.950000e+15
2.2105263157894735,7.735586893969041e+36,1.010000e+15 1.950000e+15
2.5789473684210527,8.058114396735116e+36,1.010000e+15 1.950000e+15
2.9473684210526314,6.411451489962411e+36,1.010000e+15 1.950000e+15
3.31578947368421,4.309464490403526e+36,1.010000e+15 1.950000e+15
3.6842105263157894,2.28794834359363e+36,1.010000e+15 1.950000e+15
4.052631578947368,9.111611646151468e+35,1.010000e+15 1.950000e+15
4.421052631578947,2.9819728147709925e+35,1.010000e+15 1.950000e+15
4.789473684210526,1.3721055489931827e+35,1.010000e+15 1.950000e+15
5.157894736842105,1.5166260277561117e+35,1.010000e+15 1.950000e+15
5.526315789473684,2.3284353492814688e+35,1.010000e+15 1.950000e+15
5.894736842105263,3.63764047465975e+35,1.010000e+15 1.950000e+15
6.263157894736842,5.56395808659568e+35,1.010000e+15 1.950000e+15
6.63157894736842,8.312944325860065e+35,1.010000e+15 1.950000e+15
7.0,1.2134897271512322e+36,1.010000e+15 1.950000e+15
0.0,nan,9.910000e+14 1.950000e+15
0.3684210526315789,1.0645855929124638e+36,9.910000e+14 1.950000e+15
0.7368421052631579,5.145601760223711e+36,9.910000e+14 1.950000e+15
1.1052631578947367,5.3124525085023316e+36,9.910000e+14 1.950000e+15
1.4736842105263157,4.508881208452411e+36,9.910000e+14 1.950000e+15
1.8421052631578947,4.949012261200903e+36,9.910000e+14 1.950000e+15
2.2105263157894735,7.773202604906026e+36,9.910000e+14 1.950000e+15
2.5789473684210527,8.070644310484589e+36,9.910000e+14 1.950000e+15
2.9473684210526314,6.377248648097658e+36,9.910000e+14 1.950000e+15
3.31578947368421,4.2474903959798647e+36,9.910000e+14 1.950000e+15
3.6842105263157894,2.2348513479861168e+36,9.910000e+14 1.950000e+15
4.052631578947368,8.829844937128945e+35,9.910000e+14 1.950000e+15
4.421052631578947,2.8824457546534063e+35,9.910000e+14 1.950000e+15
4.789473684210526,1.3479821795496765e+35,9.910000e+14 1.950000e+15
5.157894736842105,1.5125494500645433e+35,9.910000e+14 1.950000e+15
5.526315789473684,2.327950477257201e+35,9.910000e+14 1.950000e+15
5.894736842105263,3.637599633681339e+35,9.910000e+14 1.950000e+15
6.263157894736842,5.563955640140436e+35,9.910000e+14 1.950000e+15
6.63157894736842,8.312944221322267e+35,9.910000e+14 1.950000e+15
7.0,1.213489726831863e+36,9.910000e+14 1.950000e+15
0.0,nan,9.700000e+14 1.950000e+15
0.3684210526315789,1.0814584846141523e+36,9.700000e+14 1.950000e+15
0.7368421052631579,5.145629832885997e+36,9.700000e+14 1.950000e+15
1.1052631578947367,5.3149889823194156e+36,9.700000e+14 1.950000e+15
1.4736842105263157,4.495077159482946e+36,9.700000e+14 1.950000e+15
1.8421052631578947,4.9736278183864715e+36,9.700000e+14 1.950000e+15
2.2105263157894735,7.81435213921017e+36,9.700000e+14 1.950000e+15
2.5789473684210527,8.0831208499992e+36,9.700000e+14 1.950000e+15
2.9473684210526314,6.338216491062189e+36,9.700000e+14 1.950000e+15
3.31578947368421,4.178962441262475e+36,9.700000e+14 1.950000e+15
3.6842105263157894,2.1770246354051463e+36,9.700000e+14 1.950000e+15
4.052631578947368,8.526633754867094e+35,9.700000e+14 1.950000e+15
4.421052631578947,2.7764946912264665e+35,9.700000e+14 1.950000e+15
4.789473684210526,1.3225633839550593e+35,9.700000e+14 1.950000e+15
5.157894736842105,1.5082963923045487e+35,9.700000e+14 1.950000e+15
5.526315789473684,2.3274495155412724e+35,9.700000e+14 1.950000e+15
5.894736842105263,3.637557840994184e+35,9.700000e+14 1.950000e+15
6.263157894736842,5.563953160399309e+35,9.700000e+14 1.950000e+15
6.63157894736842,8.312944116359568e+35,9.700000e+14 1.950000e+15
7.0,1.2134897265141992e+36,9.700000e+14 1.950000e+15
0.0,nan,9.490000e+14 1.950000e+15
0.3684210526315789,1.0984360073390556e+36,9.490000e+14 1.950000e+15
0.7368421052631579,5.145654668062871e+36,9.490000e+14 1.950000e+15
1.1052631578947367,5.317408944223394e+36,9.490000e+14 1.950000e+15
1.4736842105263157,4.481656137879085e+36,9.490000e+14 1.950000e+15
1.8421052631578947,4.998869389258542e+36,9.490000e+14 1.950000e+15
2.2105263157894735,7.855024394878514e+36,9.490000e+14 1.950000e+15
2.5789473684210527,8.09414609099504e+36,9.490000e+14 1.950000e+15
2.9473684210526314,6.2979245979207e+36,9.490000e+14 1.950000e+15
3.31578947368421,4.110441155124762e+36,9.490000e+14 1.950000e+15
3.6842105263157894,2.120109287458156e+36,9.490000e+14 1.950000e+15
4.052631578947368,8.231917574308099e+35,9.490000e+14 1.950000e+15
4.421052631578947,2.6746717726426726e+35,9.490000e+14 1.950000e+15
4.789473684210526,1.2983961107313079e+35,9.490000e+14 1.950000e+15
5.157894736842105,1.5042946779629298e+35,9.490000e+14 1.950000e+15
5.526315789473684,2.326982955924931e+35,9.490000e+14 1.950000e+15
5.894736842105263,3.637519309392923e+35,9.490000e+14 1.950000e+15
6.263157894736842,5.563950896921223e+35,9.490000e+14 1.950000e+15
6.63157894736842,8.312944021498876e+35,9.490000e+14 1.950000e+15
7.0,1.2134897262299354e+36,9.490000e+14 1.950000e+15
0.0,nan,9.280000e+14 1.950000e+15
0.3684210526315789,1.1155136375175757e+36,9.280000e+14 1.950000e+15
0.7368421052631579,5.14567624594034e+36,9.280000e+14 1.950000e+15
1.1052631578947367,5.319706295390055e+36,9.280000e+14 1.950000e+15
1.4736842105263157,4.4686369124049145e+36,9.280000e+14 1.950000e+15
1.8421052631578947,5.0247158018229615e+36,9.280000e+14 1.950000e+15
2.2105263157894735,7.895188245155509e+36,9.280000e+14 1.950000e+15
2.5789473684210527,8.103710527523591e+36,9.280000e+14 1.950000e+15
2.9473684210526314,6.256405538389464e+36,9.280000e+14 1.950000e+15
3.31578947368421,4.041965590885227e+36,9.280000e+14 1.950000e+15
3.6842105263157894,2.0641135526562277e+36,9.280000e+14 1.950000e+15
4.052631578947368,7.945558836823747e+35,9.280000e+14 1.950000e+15
4.421052631578947,2.576848178746803e+35,9.280000e+14 1.950000e+15
4.789473684210526,1.275425975843937e+35,9.280000e+14 1.950000e+15
5.157894736842105,1.5005306116676685e+35,9.280000e+14 1.950000e+15
5.526315789473684,2.326548567588333e+35,9.280000e+14 1.950000e+15
5.894736842105263,3.637483795065354e+35,9.280000e+14 1.950000e+15
6.263157894736842,5.5639488314602415e+35,9.280000e+14 1.950000e+15
6.63157894736842,8.312943935793308e+35,9.280000e+14 1.950000e+15
7.0,1.213489725975635e+36,9.280000e+14 1.950000e+15
0.0,nan,9.070000e+14 1.950000e+15
0.3684210526315789,1.1326867623077507e+36,9.070000e+14 1.950000e+15
0.7368421052631579,5.145694548318317e+36,9.070000e+14 1.950000e+15
1.1052631578947367,5.321875240678194e+36,9.070000e+14 1.950000e+15
1.4736842105263157,4.456037682790397e+36,9.070000e+14 1.950000e+15
1.8421052631578947,5.051145311752703e+36,9.070000e+14 1.950000e+15
2.2105263157894735,7.934812732354318e+36,9.070000e+14 1.950000e+15
2.5789473684210527,8.111805900665849e+36,9.070000e+14 1.950000e+15
2.9473684210526314,6.213692690922561e+36,9.070000e+14 1.950000e+15
3.31578947368421,3.973574092259449e+36,9.070000e+14 1.950000e+15
3.6842105263157894,2.009044675381512e+36,9.070000e+14 1.950000e+15
4.052631578947368,7.66741783574454e+35,9.070000e+14 1.950000e+15
4.421052631578947,2.48289753752222e+35,9.070000e+14 1.950000e+15
4.789473684210526,1.2536005478981768e+35,9.070000e+14 1.950000e+15
5.157894736842105,1.4969911688935057e+35,9.070000e+14 1.950000e+15
5.526315789473684,2.3261442546692156e+35,9.070000e+14 1.950000e+15
5.894736842105263,3.637451071550443e+35,9.070000e+14 1.950000e+15
6.263157894736842,5.56394694725385e+35,9.070000e+14 1.950000e+15
6.63157894736842,8.312943858382199e+35,9.070000e+14 1.950000e+15
7.0,1.2134897257482065e+36,9.070000e+14 1.950000e+15
0.0,nan,8.860000e+14 1.950000e+15
0.3684210526315789,1.1499506831470278e+36,8.860000e+14 1.950000e+15
0.7368421052631579,5.14570955904257e+36,8.860000e+14 1.950000e+15
1.1052631578947367,5.323910302931599e+36,8.860000e+14 1.950000e+15
1.4736842105263157,4.4438760545066517e+36,8.860000e+14 1.950000e+15
1.8421052631578947,5.078135616273164e+36,8.860000e+14 1.950000e+15
2.2105263157894735,7.973867101769786e+36,8.860000e+14 1.950000e+15
2.5789473684210527,8.118425210273734e+36,8.860000e+14 1.950000e+15
2.9473684210526314,6.169820198094542e+36,8.860000e+14 1.950000e+15
3.31578947368421,3.9053042618175026e+36,8.860000e+14 1.950000e+15
3.6842105263157894,1.9549089145117722e+36,8.860000e+14 1.950000e+15
4.052631578947368,7.397352952071893e+35,8.860000e+14 1.950000e+15
4.421052631578947,2.392695956372836e+35,8.860000e+14 1.950000e+15
4.789473684210526,1.2328693004038952e+35,8.860000e+14 1.950000e+15
5.157894736842105,1.493663967802175e+35,8.860000e+14 1.950000e+15
5.526315789473684,2.3257680487868682e+35,8.860000e+14 1.950000e+15
5.894736842105263,3.637420928573523e+35,8.860000e+14 1.950000e+15
6.263157894736842,5.563945228907319e+35,8.860000e+14 1.950000e+15
6.63157894736842,8.312943788483508e+35,8.860000e+14 1.950000e+15
7.0,1.2134897255448704e+36,8.860000e+14 1.950000e+15
0.0,nan,8.650000e+14 1.950000e+15
0.3684210526315789,1.1673006194214162e+36,8.650000e+14 1.950000e+15
0.7368421052631579,5.145721264373612e+36,8.650000e+14 1.950000e+15
1.1052631578947367,5.32580633647386e+36,8.650000e+14 1.950000e+15
1.4736842105263157,4.432169014374881e+36,8.650000e+14 1.950000e+15
1.8421052631578947,5.105663868657971e+36,8.650000e+14 1.950000e+15
2.2105263157894735,8.012320835820199e+36,8.650000e+14 1.950000e+15
2.5789473684210527,8.123562724923217e+36,8.650000e+14 1.950000e+15
2.9473684210526314,6.124822921239335e+36,8.650000e+14 1.950000e+15
3.31578947368421,3.837192931050493e+36,8.650000e+14 1.950000e+15
3.6842105263157894,1.9017115629450723e+36,8.650000e+14 1.950000e+15
4.052631578947368,7.135220884351823e+35,8.650000e+14 1.950000e+15
4.421052631578947,2.306122048490214e+35,8.650000e+14 1.950000e+15
4.789473684210526,1.2131835639816311e+35,8.650000e+14 1.950000e+15
5.157894736842105,1.4905372419821817e+35,8.650000e+14 1.950000e+15
5.526315789473684,2.325418101933215e+35,8.650000e+14 1.950000e+15
5.894736842105263,3.637393170954285e+35,8.650000e+14 1.950000e+15
6.263157894736842,5.563943662286646e+35,8.650000e+14 1.950000e+15
6.63157894736842,8.312943725386858e+35,8.650000e+14 1.950000e+15
7.0,1.2134897253631281e+36,8.650000e+14 1.950000e+15
0.0,nan,8.440000e+14 1.950000e+15
0.3684210526315789,1.1847317122468131e+36,8.440000e+14 1.950000e+15
0.7368421052631579,5.145729653290958e+36,8.440000e+14 1.950000e+15
1.1052631578947367,5.32755853976172e+36,8.440000e+14 1.950000e+15
1.4736842105263157,4.420932907039845e+36,8.440000e+14 1.950000e+15
1.8421052631578947,5.1337066933416324e+36,8.440000e+14 1.950000e+15
2.2105263157894735,8.050143688358372e+36,8.440000e+14 1.950000e+15
2.5789473684210527,8.127213990058677e+36,8.440000e+14 1.950000e+15
2.9473684210526314,6.078736394429504e+36,8.440000e+14 1.950000e+15
3.31578947368421,3.769276132069185e+36,8.440000e+14 1.950000e+15
3.6842105263157894,1.849456967966933e+36,8.440000e+14 1.950000e+15
4.052631578947368,6.880876872532265e+35,8.440000e+14 1.950000e+15
4.421052631578947,2.2230569544855898e+35,8.440000e+14 1.950000e+15
4.789473684210526,1.1944964785933102e+35,8.440000e+14 1.950000e+15
5.157894736842105,1.487599814076257e+35,8.440000e+14 1.950000e+15
5.526315789473684,2.3250926797160853e+35,8.440000e+14 1.950000e+15
5.894736842105263,3.637367617583409e+35,8.440000e+14 1.950000e+15
6.263157894736842,5.5639422344194874e+35,8.440000e+14 1.950000e+15
6.63157894736842,8.312943668447165e+35,8.440000e+14 1.950000e+15
7.0,1.213489725200734e+36,8.440000e+14 1.950000e+15
0.0,nan,8.230000e+14 1.950000e+15
0.3684210526315789,1.2022390283570578e+36,8.230000e+14 1.950000e+15
0.7368421052631579,5.145734717731459e+36,8.230000e+14 1.950000e+15
1.1052631578947367,5.329162467164587e+36,8.230000e+14 1.950000e+15
1.4736842105263157,4.410183412337557e+36,8.230000e+14 1.950000e+15
1.8421052631578947,5.1622402016544364e+36,8.230000e+14 1.950000e+15
2.2105263157894735,8.087305719091517e+36,8.230000e+14 1.950000e+15
2.5789473684210527,8.129375834311693e+36,8.230000e+14 1.950000e+15
2.9473684210526314,6.031596777880629e+36,8.230000e+14 1.950000e+15
3.31578947368421,3.701589070954058e+36,8.230000e+14 1.950000e+15
3.6842105263157894,1.798148552402299e+36,8.230000e+14 1.950000e+15
4.052631578947368,6.634174915644868e+35,8.230000e+14 1.950000e+15
4.421052631578947,2.143384359467802e+35,8.230000e+14 1.950000e+15
4.789473684210526,1.1767629458766135e+35,8.230000e+14 1.950000e+15
5.157894736842105,1.484841070283642e+35,8.230000e+14 1.950000e+15
5.526315789473684,2.3247901549401556e+35,8.230000e+14 1.950000e+15
5.894736842105263,3.637344100463897e+35,8.230000e+14 1.950000e+15
6.263157894736842,5.563940933403515e+35,8.230000e+14 1.950000e+15
6.63157894736842,8.31294361707883e+35,8.230000e+14 1.950000e+15
7.0,1.2134897250556713e+36,8.230000e+14 1.950000e+15
0.0,nan,8.020000e+14 1.950000e+15
0.3684210526315789,1.2198175640930325e+36,8.020000e+14 1.950000e+15
0.7368421052631579,5.145736452760677e+36,8.020000e+14 1.950000e+15
1.1052631578947367,5.330614039840187e+36,8.020000e+14 1.950000e+15
1.4736842105263157,4.3999355235855895e+36,8.020000e+14 1.950000e+15
1.8421052631578947,5.191240008183788e+36,8.020000e+14 1.950000e+15
2.2105263157894735,8.123777328048409e+36,8.020000e+14 1.950000e+15
2.5789473684210527,8.130046373981144e+36,8.020000e+14 1.950000e+15
2.9473684210526314,5.983440810865963e+36,8.020000e+14 1.950000e+15
3.31578947368421,3.634166102772507e+36,8.020000e+14 1.950000e+15
3.6842105263157894,1.7477888364944796e+36,8.020000e+14 1.950000e+15
4.052631578947368,6.3949679831698986e+35,8.020000e+14 1.950000e+15
4.421052631578947,2.0669905057485878e+35,8.020000e+14 1.950000e+15
4.789473684210526,1.1599395816573712e+35,8.020000e+14 1.950000e+15
5.157894736842105,1.4822509357234798e+35,8.020000e+14 1.950000e+15
