B,dos_at_mu,System([band density])
0.0,nan,1.080000e+15 1.950000e+15
0.3684210526315789,0.0,1.080000e+15 1.950000e+15
0.7368421052631579,0.0,1.080000e+15 1.950000e+15
1.1052631578947367,0.0,1.080000e+15 1.950000e+15
1.4736842105263157,4.967777570475653e+36,1.080000e+15 1.950000e+15
1.8421052631578947,3.8221894337410743e+36,1.080000e+15 1.950000e+15
2.2105263157894735,6.779617838787242e+36,1.080000e+15 1.950000e+15
2.5789473684210527,2.3717170636740533e+36,1.080000e+15 1.950000e+15
2.9473684210526314,8.074408207047936e+36,1.080000e+15 1.950000e+15
3.31578947368421,8.424627031657629e+36,1.080000e+15 1.950000e+15
3.6842105263157894,5.57345591164589e+36,1.080000e+15 1.950000e+15
4.052631578947368,7.80368733344919e+35,1.080000e+15 1.950000e+15
4.421052631578947,1.290539998966047e+36,1.080000e+15 1.950000e+15
4.789473684210526,6.312740029398751e+36,1.080000e+15 1.950000e+15
5.157894736842105,1.0372493625921384e+37,1.080000e+15 1.950000e+15
5.526315789473684,8.928969880547593e+36,1.080000e+15 1.950000e+15
5.894736842105263,5.128667543982205e+36,1.080000e+15 1.950000e+15
6.263157894736842,3.005505601449348e+36,1.080000e+15 1.950000e+15
6.63157894736842,3.475099369654343e+36,1.080000e+15 1.950000e+15
7.0,5.952206311273162e+36,1.080000e+15 1.950000e+15
0.0,nan,1.050000e+15 1.950000e+15
0.3684210526315789,0.0,1.050000e+15 1.950000e+15
0.7368421052631579,0.0,1.050000e+15 1.950000e+15
1.1052631578947367,0.0,1.050000e+15 1.950000e+15
1.4736842105263157,5.2274356167161286e+36,1.050000e+15 1.950000e+15
1.8421052631578947,4.0551594857723056e+36,1.050000e+15 1.950000e+15
2.2105263157894735,6.416341549034149e+36,1.050000e+15 1.950000e+15
2.5789473684210527,2.6169210654730206e+36,1.050000e+15 1.950000e+15
2.9473684210526314,8.330314797674128e+36,1.050000e+15 1.950000e+15
3.31578947368421,8.369300370718145e+36,1.050000e+15 1.950000e+15
3.6842105263157894,5.035321570578688e+36,1.050000e+15 1.950000e+15
4.052631578947368,5.868572917349496e+35,1.050000e+15 1.950000e+15
4.421052631578947,1.6510409835991137e+36,1.050000e+15 1.950000e+15
4.789473684210526,6.921333228316489e+36,1.050000e+15 1.950000e+15
5.157894736842105,1.0405667839765507e+37,1.050000e+15 1.950000e+15
5.526315789473684,8.486488716742998e+36,1.050000e+15 1.950000e+15
5.894736842105263,4.813356280045953e+36,1.050000e+15 1.950000e+15
6.263157894736842,3.107078390184763e+36,1.050000e+15 1.950000e+15
6.63157894736842,3.95963288658858e+36,1.050000e+15 1.950000e+15
7.0,6.707275165310397e+36,1.050000e+15 1.950000e+15
0.0,nan,1.030000e+15 1.950000e+15
0.3684210526315789,0.0,1.030000e+15 1.950000e+15
0.7368421052631579,0.0,1.030000e+15 1.950000e+15
1.1052631578947367,0.0,1.030000e+15 1.950000e+15
1.4736842105263157,5.392970289842377e+36,1.030000e+15 1.950000e+15
1.8421052631578947,4.24316078390106e+36,1.030000e+15 1.950000e+15
2.2105263157894735,6.120919834386249e+36,1.030000e+15 1.950000e+15
2.5789473684210527,2.8171211883491005e+36,1.030000e+15 1.950000e+15
2.9473684210526314,8.488588784385075e+36,1.030000e+15 1.950000e+15
3.31578947368421,8.29656951366622e+36,1.030000e+15 1.950000e+15
3.6842105263157894,4.6706998632857364e+36,1.030000e+15 1.950000e+15
4.052631578947368,4.864385857482261e+35,1.030000e+15 1.950000e+15
4.421052631578947,1.9285736290142195e+36,1.030000e+15 1.950000e+15
4.789473684210526,7.312141763106571e+36,1.030000e+15 1.950000e+15
5.157894736842105,1.0385466191833176e+37,1.030000e+15 1.950000e+15
5.526315789473684,8.19088784888378e+36,1.030000e+15 1.950000e+15
5.894736842105263,4.639085331003501e+36,1.030000e+15 1.950000e+15
6.263157894736842,3.218702071273655e+36,1.030000e+15 1.950000e+15
6.63157894736842,4.316850074484959e+36,1.030000e+15 1.950000e+15
7.0,7.226618913144368e+36,1.030000e+15 1.950000e+15
0.0,nan,1.010000e+15 1.950000e+15
0.3684210526315789,0.0,1.010000e+15 1.950000e+15
0.7368421052631579,0.0,1.010000e+15 1.950000e+15
1.1052631578947367,0.0,1.010000e+15 1.950000e+15
1.4736842105263157,5.547534794467082e+36,1.010000e+15 1.950000e+15
1.8421052631578947,4.453538415420381e+36,1.010000e+15 1.950000e+15
2.2105263157894735,5.803950348755812e+36,1.010000e+15 1.950000e+15
2.5789473684210527,3.044435341038147e+36,1.010000e+15 1.950000e+15
2.9473684210526314,8.635814485229665e+36,1.010000e+15 1.950000e+15
3.31578947368421,8.183024508136827e+36,1.010000e+15 1.950000e+15
3.6842105263157894,4.306378262703674e+36,1.010000e+15 1.950000e+15
4.052631578947368,4.2033404535754075e+35,1.010000e+15 1.950000e+15
4.421052631578947,2.2361784956329126e+36,1.010000e+15 1.950000e+15
4.789473684210526,7.686114298751093e+36,1.010000e+15 1.950000e+15
5.157894736842105,1.0333225067732164e+37,1.010000e+15 1.950000e+15
5.526315789473684,7.898934132446231e+36,1.010000e+15 1.950000e+15
5.894736842105263,4.4954242081611657e+36,1.010000e+15 1.950000e+15
6.263157894736842,3.3653438002235596e+36,1.010000e+15 1.950000e+15
6.63157894736842,4.699541733044032e+36,1.010000e+15 1.950000e+15
7.0,7.75456207700028e+36,1.010000e+15 1.950000e+15
0.0,nan,9.910000e+14 1.950000e+15
0.3684210526315789,0.0,9.910000e+14 1.950000e+15
0.7368421052631579,0.0,9.910000e+14 1.950000e+15
1.1052631578947367,0.0,9.910000e+14 1.950000e+15
1.4736842105263157,5.680518259303368e+36,9.910000e+14 1.950000e+15
1.8421052631578947,4.6706914947659947e+36,9.910000e+14 1.950000e+15
2.2105263157894735,5.487591555099947e+36,9.910000e+14 1.950000e+15
2.5789473684210527,3.283606129887063e+36,9.910000e+14 1.950000e+15
2.9473684210526314,8.764357977427075e+36,9.910000e+14 1.950000e+15
3.31578947368421,8.044469971192852e+36,9.910000e+14 1.950000e+15
3.6842105263157894,3.927330907956452e+36,9.910000e+14 1.950000e+15
4.052631578947368,3.873009350620451e+35,9.910000e+14 1.950000e+15
4.421052631578947,2.5558844250140048e+36,9.910000e+14 1.950000e+15
4.789473684210526,8.02214248372441e+36,9.910000e+14 1.950000e+15
5.157894736842105,1.025577930381728e+37,9.910000e+14 1.950000e+15
5.526315789473684,7.628115080037963e+36,9.910000e+14 1.950000e+15
5.894736842105263,4.388541770934573e+36,9.910000e+14 1.950000e+15
6.263157894736842,3.5367652407208316e+36,9.910000e+14 1.950000e+15
6.63157894736842,5.098016789274184e+36,9.910000e+14 1.950000e+15
7.0,8.260529489579383e+36,9.910000e+14 1.950000e+15
0.0,nan,9.700000e+14 1.950000e+15
0.3684210526315789,0.0,9.700000e+14 1.950000e+15
0.7368421052631579,0.0,9.700000e+14 1.950000e+15
1.1052631578947367,0.0,9.700000e+14 1.950000e+15
1.4736842105263157,5.807860456051761e+36,9.700000e+14 1.950000e+15
1.8421052631578947,4.9259198512680947e+36,9.700000e+14 1.950000e+15
2.2105263157894735,5.126582506675522e+36,9.700000e+14 1.950000e+15
2.5789473684210527,3.5719885683973283e+36,9.700000e+14 1.950000e+15
2.9473684210526314,8.892187515665714e+36,9.700000e+14 1.950000e+15
3.31578947368421,7.855649481834556e+36,9.700000e+14 1.950000e+15
3.6842105263157894,3.429692950413352e+36,9.700000e+14 1.950000e+15
4.052631578947368,3.8286698986288286e+35,9.700000e+14 1.950000e+15
4.421052631578947,2.9392157576188845e+36,9.700000e+14 1.950000e+15
4.789473684210526,8.36781061040412e+36,9.700000e+14 1.950000e+15
5.157894736842105,1.014121614904209e+37,9.700000e+14 1.950000e+15
5.526315789473684,7.339731638422911e+36,9.700000e+14 1.950000e+15
5.894736842105263,4.305160451296395e+36,9.700000e+14 1.950000e+15
6.263157894736842,3.7619841608333816e+36,9.700000e+14 1.950000e+15
6.63157894736842,5.568426732201853e+36,9.700000e+14 1.950000e+15
7.0,8.82043537274761e+36,9.700000e+14 1.950000e+15
0.0,nan,9.490000e+14 1.950000e+15
0.3684210526315789,0.0,9.490000e+14 1.950000e+15
0.7368421052631579,0.0,9.490000e+14 1.950000e+15
1.1052631578947367,0.0,9.490000e+14 1.950000e+15
1.4736842105263157,5.910885320955781e+36,9.490000e+14 1.950000e+15
1.8421052631578947,5.192055980101166e+36,9.490000e+14 1.950000e+15
2.2105263157894735,4.7603421766154657e+36,9.490000e+14 1.950000e+15
2.5789473684210527,3.8830524667793683e+36,9.490000e+14 1.950000e+15
2.9473684210526314,9.003405804935204e+36,9.490000e+14 1.950000e+15
3.31578947368421,7.629324157131517e+36,9.490000e+14 1.950000e+15
3.6842105263157894,2.9559953671273945e+36,9.490000e+14 1.950000e+15
4.052631578947368,4.111834698079277e+35,9.490000e+14 1.950000e+15
4.421052631578947,3.351864904327511e+36,9.490000e+14 1.950000e+15
4.789473684210526,8.682710439136409e+36,9.490000e+14 1.950000e+15
5.157894736842105,9.999396344738901e+36,9.490000e+14 1.950000e+15
5.526315789473684,7.066458220648494e+36,9.490000e+14 1.950000e+15
5.894736842105263,4.259286405434004e+36,9.490000e+14 1.950000e+15
6.263157894736842,4.023726353655631e+36,9.490000e+14 1.950000e+15
6.63157894736842,6.062484372393184e+36,9.490000e+14 1.950000e+15
7.0,9.376217225283709e+36,9.490000e+14 1.950000e+15
0.0,nan,9.280000e+14 1.950000e+15
0.3684210526315789,0.0,9.280000e+14 1.950000e+15
0.7368421052631579,0.0,9.280000e+14 1.950000e+15
1.1052631578947367,0.0,9.280000e+14 1.950000e+15
1.4736842105263157,5.986457742810672e+36,9.280000e+14 1.950000e+15
1.8421052631578947,5.463554240215833e+36,9.280000e+14 1.950000e+15
2.2105263157894735,4.3959735014266723e+36,9.280000e+14 1.950000e+15
2.5789473684210527,4.21403539096312e+36,9.280000e+14 1.950000e+15
2.9473684210526314,9.09618576919698e+36,9.280000e+14 1.950000e+15
3.31578947368421,7.366448064532924e+36,9.280000e+14 1.950000e+15
3.6842105263157894,2.514286670964491e+36,9.280000e+14 1.950000e+15
4.052631578947368,4.7223661920321184e+35,9.280000e+14 1.950000e+15
4.421052631578947,3.7906256470244836e+36,9.280000e+14 1.950000e+15
4.789473684210526,8.963524167604859e+36,9.280000e+14 1.950000e+15
5.157894736842105,9.833963508627584e+36,9.280000e+14 1.950000e+15
5.526315789473684,6.811841719722112e+36,9.280000e+14 1.950000e+15
5.894736842105263,4.25167510992944e+36,9.280000e+14 1.950000e+15
6.263157894736842,4.3205760711782774e+36,9.280000e+14 1.950000e+15
6.63157894736842,6.576417492859913e+36,9.280000e+14 1.950000e+15
7.0,9.922727004570803e+36,9.280000e+14 1.950000e+15
0.0,nan,9.070000e+14 1.950000e+15
0.3684210526315789,0.0,9.070000e+14 1.950000e+15
0.7368421052631579,0.0,9.070000e+14 1.950000e+15
1.1052631578947367,0.0,9.070000e+14 1.950000e+15
1.4736842105263157,6.032276591542496e+36,9.070000e+14 1.950000e+15
1.8421052631578947,5.734659380387308e+36,9.070000e+14 1.950000e+15
2.2105263157894735,4.0405946979636264e+36,9.070000e+14 1.950000e+15
2.5789473684210527,4.5620365060151356e+36,9.070000e+14 1.950000e+15
2.9473684210526314,9.168626001601278e+36,9.070000e+14 1.950000e+15
3.31578947368421,7.068991574512599e+36,9.070000e+14 1.950000e+15
3.6842105263157894,2.1108474380223418e+36,9.070000e+14 1.950000e+15
4.052631578947368,5.6695402544947105e+35,9.070000e+14 1.950000e+15
4.421052631578947,4.2512785066300756e+36,9.070000e+14 1.950000e+15
4.789473684210526,9.207602083959087e+36,9.070000e+14 1.950000e+15
5.157894736842105,9.648895185103884e+36,9.070000e+14 1.950000e+15
5.526315789473684,6.579198486589261e+36,9.070000e+14 1.950000e+15
5.894736842105263,4.282759703467404e+36,9.070000e+14 1.950000e+15
6.263157894736842,4.650721974316565e+36,9.070000e+14 1.950000e+15
6.63157894736842,7.105971456450946e+36,9.070000e+14 1.950000e+15
7.0,1.0494205284314075e+37,9.070000e+14 1.950000e+15
0.0,nan,8.860000e+14 1.950000e+15
0.3684210526315789,0.0,8.860000e+14 1.950000e+15
0.7368421052631579,0.0,8.860000e+14 1.950000e+15
1.1052631578947367,0.0,8.860000e+14 1.950000e+15
1.4736842105263157,6.046983485915269e+36,8.860000e+14 1.950000e+15
1.8421052631578947,5.999524773563618e+36,8.860000e+14 1.950000e+15
2.2105263157894735,3.701155472676845e+36,8.860000e+14 1.950000e+15
2.5789473684210527,4.9239980509558793e+36,8.860000e+14 1.950000e+15
2.9473684210526314,9.218808022077384e+36,8.860000e+14 1.950000e+15
3.31578947368421,6.739895220703064e+36,8.860000e+14 1.950000e+15
3.6842105263157894,1.750114667568849e+36,8.860000e+14 1.950000e+15
4.052631578947368,6.970895328281494e+35,8.860000e+14 1.950000e+15
4.421052631578947,4.7286355301590115e+36,8.860000e+14 1.950000e+15
4.789473684210526,9.41304768073541e+36,8.860000e+14 1.950000e+15
5.157894736842105,9.448438016893181e+36,8.860000e+14 1.950000e+15
5.526315789473684,6.371580598667233e+36,8.860000e+14 1.950000e+15
5.894736842105263,4.352631021846774e+36,8.860000e+14 1.950000e+15
6.263157894736842,5.0119407995049663e+36,8.860000e+14 1.950000e+15
6.63157894736842,7.646440596116172e+36,8.860000e+14 1.950000e+15
7.0,1.1051058049799725e+37,8.860000e+14 1.950000e+15
0.0,nan,8.650000e+14 1.950000e+15
0.3684210526315789,0.0,8.650000e+14 1.950000e+15
0.7368421052631579,0.0,8.650000e+14 1.950000e+15
1.1052631578947367,0.0,8.650000e+14 1.950000e+15
1.4736842105263157,6.030236920999077e+36,8.650000e+14 1.950000e+15
1.8421052631578947,6.252338251053526e+36,8.650000e+14 1.950000e+15
2.2105263157894735,3.3842699664698155e+36,8.650000e+14 1.950000e+15
2.5789473684210527,5.2966843307424226e+36,8.650000e+14 1.950000e+15
2.9473684210526314,9.244860529592839e+36,8.650000e+14 1.950000e+15
3.31578947368421,6.382981669676864e+36,8.650000e+14 1.950000e+15
3.6842105263157894,1.4347425361358113e+36,8.650000e+14 1.950000e+15
4.052631578947368,8.650269174864574e+35,8.650000e+14 1.950000e+15
4.421052631578947,5.216640859267553e+36,8.650000e+14 1.950000e+15
4.789473684210526,9.578783547349122e+36,8.650000e+14 1.950000e+15
5.157894736842105,9.23703881709393e+36,8.650000e+14 1.950000e+15
5.526315789473684,6.191743167448375e+36,8.650000e+14 1.950000e+15
5.894736842105263,4.4610183658965954e+36,8.650000e+14 1.950000e+15
6.263157894736842,5.401588315160891e+36,8.650000e+14 1.950000e+15
6.63157894736842,8.192713587525503e+36,8.650000e+14 1.950000e+15
7.0,1.157916612320677e+37,8.650000e+14 1.950000e+15
0.0,nan,8.440000e+14 1.950000e+15
0.3684210526315789,0.0,8.440000e+14 1.950000e+15
0.7368421052631579,0.0,8.440000e+14 1.950000e+15
1.1052631578947367,0.0,8.440000e+14 1.950000e+15
1.4736842105263157,5.982748191653564e+36,8.440000e+14 1.950000e+15
1.8421052631578947,6.487453282844667e+36,8.440000e+14 1.950000e+15
2.2105263157894735,3.096073819072847e+36,8.440000e+14 1.950000e+15
2.5789473684210527,5.676661504286139e+36,8.440000e+14 1.950000e+15
2.9473684210526314,9.245027972507684e+36,8.440000e+14 1.950000e+15
3.31578947368421,6.002830203206856e+36,8.440000e+14 1.950000e+15
3.6842105263157894,1.1657841138657264e+36,8.440000e+14 1.950000e+15
4.052631578947368,1.0735108211654189e+36,8.440000e+14 1.950000e+15
4.421052631578947,5.708527584266001e+36,8.440000e+14 1.950000e+15
4.789473684210526,9.704595514382895e+36,8.440000e+14 1.950000e+15
5.157894736842105,9.019272491337467e+36,8.440000e+14 1.950000e+15
5.526315789473684,6.042112822576637e+36,8.440000e+14 1.950000e+15
