B,den,N,Band,System([band density])
2.9473684210526314,-3008327665719448.5,2,1,1.050000e+15 1.950000e+15
3.31578947368421,-2938651837891071.0,1,0,9.910000e+14 1.950000e+15
1.4736842105263157,-2843046718104242.0,4,1,9.070000e+14 1.950000e+15
1.4736842105263157,-2840987459303348.5,4,1,8.860000e+14 1.950000e+15
1.4736842105263157,-2781819119043172.0,3,0,8.440000e+14 1.950000e+15
1.4736842105263157,-2783645899081055.0,3,0,8.230000e+14 1.950000e+15
5.157894736842105,-2758445229496419.0,1,1,8.230000e+14 1.950000e+15
5.157894736842105,-2756485545504516.5,1,1,8.020000e+14 1.950000e+15
1.8421052631578947,-2700918262527409.0,3,1,7.600000e+14 1.950000e+15
1.4736842105263157,-2649848745951240.0,4,0,7.390000e+14 1.950000e+15 1.100000e+13 1.100000e+13
1.8421052631578947,-2587558951236599.0,3,0,7.180000e+14 1.950000e+15 3.200000e+13 3.200000e+13
1.4736842105263157,-2616344650766498.5,4,0,7.180000e+14 1.950000e+15 3.200000e+13 3.200000e+13
2.5789473684210527,-2618627445474058.5,3,1,7.180000e+14 1.950000e+15 3.200000e+13 3.200000e+13
6.63157894736842,-2542818003593770.5,1,0,6.970000e+14 1.950000e+15 5.300000e+13 5.300000e+13
2.5789473684210527,-2359808197217612.5,2,0,6.536000e+14 1.950000e+15 1.160000e+14 1.160000e+14
5.894736842105263,-2270854017493426.0,1,0,6.468000e+14 1.950000e+15 1.580000e+14 1.580000e+14
2.2105263157894735,-2238896434287825.0,3,1,6.434000e+14 1.950000e+15 1.790000e+14 1.790000e+14
1.1052631578947367,-2138011390682671.0,0,2,6.366000e+14 1.950000e+15 2.210000e+14 2.210000e+14
1.1052631578947367,-2138011390682671.0,0,3,6.366000e+14 1.950000e+15 2.210000e+14 2.210000e+14
1.4736842105263157,-2092982721272764.5,3,0,6.332000e+14 1.950000e+15 2.420000e+14 2.420000e+14
1.4736842105263157,-2108968567043865.2,4,1,6.332000e+14 1.950000e+15 2.420000e+14 2.420000e+14
5.157894736842105,-2063980968849328.2,1,0,6.298000e+14 1.950000e+15 2.630000e+14 2.630000e+14
3.6842105263157894,-2005623692003286.0,2,1,6.264000e+14 1.950000e+15 2.840000e+14 2.840000e+14
4.789473684210526,-1879073436562130.2,1,0,6.162000e+14 1.950000e+15 3.470000e+14 3.470000e+14
1.1052631578947367,-1870454968920555.5,1,2,6.162000e+14 1.950000e+15 3.470000e+14 3.470000e+14
1.1052631578947367,-1870454968920555.5,1,3,6.162000e+14 1.950000e+15 3.470000e+14 3.470000e+14
4.421052631578947,-1816269751580606.8,1,0,6.128000e+14 1.950000e+15 3.680000e+14 3.680000e+14
3.31578947368421,-1820277447294977.5,2,1,6.128000e+14 1.950000e+15 3.680000e+14 3.680000e+14
1.8421052631578947,-1724075007485150.5,2,0,6.060000e+14 1.950000e+15 4.100000e+14 4.100000e+14
1.8421052631578947,-1617269349850974.0,2,0,5.958000e+14 1.950000e+15 4.730000e+14 4.730000e+14
1.8421052631578947,-1559672900407325.0,3,1,5.924000e+14 1.950000e+15 4.940000e+14 4.940000e+14
3.6842105263157894,-1495775230735457.5,1,0,5.890000e+14 1.950000e+15 5.150000e+14 5.150000e+14
1.4736842105263157,-1384958853086810.8,3,0,5.788000e+14 1.950000e+15 5.800000e+14 5.800000e+14
2.5789473684210527,-1328623054688558.5,2,1,5.754000e+14 1.950000e+15 6.000000e+14 6.000000e+14
2.5789473684210527,-1298223807840748.8,2,1,5.720000e+14 1.950000e+15 6.200000e+14 6.200000e+14
2.9473684210526314,-1251955867632828.2,1,0,5.686000e+14 1.950000e+15 6.400000e+14 6.400000e+14
2.5789473684210527,-1231295163120730.0,2,1,5.686000e+14 1.950000e+15 6.400000e+14 6.400000e+14
2.2105263157894735,-1020391675457723.1,2,0,5.516000e+14 1.950000e+15 7.450000e+14 7.450000e+14
