B,den,N,Band,System([band density])
1.4736842105263157,-2984635671103554.0,4,0,1.050000e+15 1.950000e+15
1.4736842105263157,-2986604633329066.0,4,0,1.030000e+15 1.950000e+15
2.2105263157894735,-2943992839424995.5,1,0,1.010000e+15 1.950000e+15
2.2105263157894735,-2945421202158373.0,1,0,9.910000e+14 1.950000e+15
6.63157894736842,-2903425576647118.0,0,0,9.700000e+14 1.950000e+15
6.63157894736842,-2906575698935835.0,0,0,9.490000e+14 1.950000e+15
4.052631578947368,-2890029971423503.0,1,1,9.490000e+14 1.950000e+15
4.052631578947368,-2889283036888567.0,1,1,9.280000e+14 1.950000e+15
6.263157894736842,-2749087677015209.0,0,0,8.020000e+14 1.950000e+15
3.6842105263157894,-2661680184658116.0,1,0,7.390000e+14 1.950000e+15 1.100000e+13 1.100000e+13
4.421052631578947,-2616195154177505.5,2,1,7.180000e+14 1.950000e+15 3.200000e+13 3.200000e+13
1.1052631578947367,-2551024703943107.0,0,2,6.970000e+14 1.950000e+15 5.300000e+13 5.300000e+13
1.1052631578947367,-2551024703943107.0,0,3,6.970000e+14 1.950000e+15 5.300000e+13 5.300000e+13
1.4736842105263157,-2401363653924764.0,4,0,6.570000e+14 1.950000e+15 9.500000e+13 9.500000e+13
2.9473684210526314,-2405061322655021.0,2,1,6.570000e+14 1.950000e+15 9.500000e+13 9.500000e+13
3.6842105263157894,-2359930896826104.5,2,1,6.536000e+14 1.950000e+15 1.160000e+14 1.160000e+14
1.1052631578947367,-2353841242094297.0,0,2,6.536000e+14 1.950000e+15 1.160000e+14 1.160000e+14
1.1052631578947367,-2353841242094297.0,0,3,6.536000e+14 1.950000e+15 1.160000e+14 1.160000e+14
4.421052631578947,-2273005757070485.5,1,0,6.468000e+14 1.950000e+15 1.580000e+14 1.580000e+14
2.5789473684210527,-2295343787216155.0,2,1,6.468000e+14 1.950000e+15 1.580000e+14 1.580000e+14
2.2105263157894735,-2219506559716302.8,1,0,6.434000e+14 1.950000e+15 1.790000e+14 1.790000e+14
2.9473684210526314,-2240954004825308.2,1,0,6.434000e+14 1.950000e+15 1.790000e+14 1.790000e+14
4.052631578947368,-2241132951755312.5,1,0,6.434000e+14 1.950000e+15 1.790000e+14 1.790000e+14
5.894736842105263,-2246565939123849.0,1,0,6.434000e+14 1.950000e+15 1.790000e+14 1.790000e+14
2.5789473684210527,-2172684441121226.8,1,0,6.400000e+14 1.950000e+15 2.000000e+14 2.000000e+14
3.31578947368421,-2152628334170348.5,1,0,6.366000e+14 1.950000e+15 2.210000e+14 2.210000e+14
1.4736842105263157,-2082826527187158.5,3,0,6.332000e+14 1.950000e+15 2.420000e+14 2.420000e+14
1.4736842105263157,-2090327841540777.0,4,1,6.332000e+14 1.950000e+15 2.420000e+14 2.420000e+14
1.8421052631578947,-2057721855588640.8,2,1,6.298000e+14 1.950000e+15 2.630000e+14 2.630000e+14
1.8421052631578947,-2007958202558688.0,1,0,6.264000e+14 1.950000e+15 2.840000e+14 2.840000e+14
5.157894736842105,-2020376868058291.5,1,0,6.264000e+14 1.950000e+15 2.840000e+14 2.840000e+14
1.4736842105263157,-1992530199952556.0,4,1,6.264000e+14 1.950000e+15 2.840000e+14 2.840000e+14
1.8421052631578947,-1977832445588393.5,1,0,6.230000e+14 1.950000e+15 3.050000e+14 3.050000e+14
1.4736842105263157,-1970694042811422.8,3,0,6.230000e+14 1.950000e+15 3.050000e+14 3.050000e+14
1.4736842105263157,-1978298479139939.5,4,1,6.230000e+14 1.950000e+15 3.050000e+14 3.050000e+14
1.8421052631578947,-1905867837681882.2,1,0,6.196000e+14 1.950000e+15 3.260000e+14 3.260000e+14
1.8421052631578947,-1863691721536215.2,2,1,6.162000e+14 1.950000e+15 3.470000e+14 3.470000e+14
1.8421052631578947,-1777355260105696.2,2,1,6.094000e+14 1.950000e+15 3.890000e+14 3.890000e+14
1.8421052631578947,-1721455446649523.2,1,0,6.060000e+14 1.950000e+15 4.100000e+14 4.100000e+14
1.4736842105263157,-1742837830397093.5,1,2,6.060000e+14 1.950000e+15 4.100000e+14 4.100000e+14
1.4736842105263157,-1742837830397093.5,1,3,6.060000e+14 1.950000e+15 4.100000e+14 4.100000e+14
2.9473684210526314,-1636529736686671.0,1,1,5.992000e+14 1.950000e+15 4.520000e+14 4.520000e+14
3.31578947368421,-1502079226253206.8,1,1,5.890000e+14 1.950000e+15 5.150000e+14 5.150000e+14
4.052631578947368,-1462493417206261.2,1,1,5.856000e+14 1.950000e+15 5.350000e+14 5.350000e+14
3.6842105263157894,-1423871424647160.8,1,1,5.822000e+14 1.950000e+15 5.550000e+14 5.550000e+14
4.421052631578947,-1428279241133115.2,1,1,5.822000e+14 1.950000e+15 5.550000e+14 5.550000e+14
1.8421052631578947,-1373693101518485.0,1,0,5.788000e+14 1.950000e+15 5.800000e+14 5.800000e+14
1.4736842105263157,-1269425807008774.5,3,0,5.720000e+14 1.950000e+15 6.200000e+14 6.200000e+14
4.789473684210526,-1278308723913741.2,1,1,5.720000e+14 1.950000e+15 6.200000e+14 6.200000e+14
1.4736842105263157,-1272000426580436.8,4,1,5.720000e+14 1.950000e+15 6.200000e+14 6.200000e+14
0.7368421052631579,-1265234420139197.2,1,2,5.720000e+14 1.950000e+15 6.200000e+14 6.200000e+14
0.7368421052631579,-1265234420139197.2,1,3,5.720000e+14 1.950000e+15 6.200000e+14 6.200000e+14
4.052631578947368,-1188717581783109.8,0,0,5.652000e+14 1.950000e+15 6.600000e+14 6.600000e+14
3.31578947368421,-1201891372944925.8,1,1,5.652000e+14 1.950000e+15 6.600000e+14 6.600000e+14
2.5789473684210527,-1144412330587095.8,1,1,5.618000e+14 1.950000e+15 6.850000e+14 6.850000e+14
2.9473684210526314,-1139221067442039.0,1,1,5.618000e+14 1.950000e+15 6.850000e+14 6.850000e+14
1.8421052631578947,-1131048276933938.8,2,1,5.618000e+14 1.950000e+15 6.850000e+14 6.850000e+14
4.421052631578947,-1115768064368361.0,0,0,5.584000e+14 1.950000e+15 7.050000e+14 7.050000e+14
2.5789473684210527,-1109669737427978.5,1,1,5.584000e+14 1.950000e+15 7.050000e+14 7.050000e+14
5.157894736842105,-1101142334754802.2,1,1,5.584000e+14 1.950000e+15 7.050000e+14 7.050000e+14
1.8421052631578947,-1091758532442793.8,2,1,5.584000e+14 1.950000e+15 7.050000e+14 7.050000e+14
2.5789473684210527,-1045783901171788.0,1,1,5.550000e+14 1.950000e+15 7.250000e+14 7.250000e+14
7.0,-1069114332547087.0,1,1,5.550000e+14 1.950000e+15 7.250000e+14 7.250000e+14
1.8421052631578947,-1037875791495495.2,2,1,5.550000e+14 1.950000e+15 7.250000e+14 7.250000e+14
3.31578947368421,-994072470402794.5,1,1,5.516000e+14 1.950000e+15 7.450000e+14 7.450000e+14
6.63157894736842,-1018885726309931.8,1,1,5.516000e+14 1.950000e+15 7.450000e+14 7.450000e+14
3.31578947368421,-983166243544970.0,1,1,5.482000e+14 1.950000e+15 7.650000e+14 7.650000e+14
5.526315789473684,-977901681385610.6,1,1,5.482000e+14 1.950000e+15 7.650000e+14 7.650000e+14
6.263157894736842,-961916838654680.4,1,1,5.482000e+14 1.950000e+15 7.650000e+14 7.650000e+14
1.4736842105263157,-908725338855737.8,2,0,5.448000e+14 1.950000e+15 7.900000e+14 7.900000e+14
1.4736842105263157,-908646422366489.2,3,1,5.448000e+14 1.950000e+15 7.900000e+14 7.900000e+14
4.052631578947368,-877427650453886.2,0,0,5.414000e+14 1.950000e+15 8.100000e+14 8.100000e+14
1.4736842105263157,-888028885429210.2,2,0,5.414000e+14 1.950000e+15 8.100000e+14 8.100000e+14
1.8421052631578947,-882795298625906.8,2,1,5.414000e+14 1.950000e+15 8.100000e+14 8.100000e+14
1.4736842105263157,-887617501180335.5,3,1,5.414000e+14 1.950000e+15 8.100000e+14 8.100000e+14
1.8421052631578947,-836127388386841.0,1,0,5.380000e+14 1.950000e+15 8.300000e+14 8.300000e+14
1.4736842105263157,-837443814961497.2,2,0,5.380000e+14 1.950000e+15 8.300000e+14 8.300000e+14
1.4736842105263157,-836706101979953.5,3,1,5.380000e+14 1.950000e+15 8.300000e+14 8.300000e+14
0.3684210526315789,-821541890512594.8,0,2,5.380000e+14 1.950000e+15 8.300000e+14 8.300000e+14
0.3684210526315789,-821541890512594.8,0,3,5.380000e+14 1.950000e+15 8.300000e+14 8.300000e+14
3.31578947368421,-785060852512525.5,1,2,5.346000e+14 1.950000e+15 8.500000e+14 8.500000e+14
3.31578947368421,-785060852512525.5,1,3,5.346000e+14 1.950000e+15 8.500000e+14 8.500000e+14
5.157894736842105,-729311815791697.8,0,0,5.312000e+14 1.950000e+15 8.700000e+14 8.700000e+14
1.4736842105263157,-602923993080473.1,3,0,5.210000e+14 1.950000e+15 9.350000e+14 9.350000e+14
1.4736842105263157,-600538013633082.4,4,1,5.210000e+14 1.950000e+15 9.350000e+14 9.350000e+14
1.8421052631578947,-614858508647990.5,2,2,5.210000e+14 1.950000e+15 9.350000e+14 9.350000e+14
0.7368421052631579,-583646469254238.4,3,2,5.210000e+14 1.950000e+15 9.350000e+14 9.350000e+14
1.8421052631578947,-614858508647990.5,2,3,5.210000e+14 1.950000e+15 9.350000e+14 9.350000e+14
0.7368421052631579,-583646469254238.4,3,3,5.210000e+14 1.950000e+15 9.350000e+14 9.350000e+14
4.052631578947368,-548331953639275.5,0,0,5.176000e+14 1.950000e+15 9.550000e+14 9.550000e+14
4.421052631578947,-566971520026725.2,0,0,5.176000e+14 1.950000e+15 9.550000e+14 9.550000e+14
5.526315789473684,-573071917379368.2,0,0,5.176000e+14 1.950000e+15 9.550000e+14 9.550000e+14
1.4736842105263157,-571226619977804.6,3,0,5.176000e+14 1.950000e+15 9.550000e+14 9.550000e+14
1.4736842105263157,-568487701330970.9,4,1,5.176000e+14 1.950000e+15 9.550000e+14 9.550000e+14
4.421052631578947,-521836570828778.75,0,0,5.142000e+14 1.950000e+15 9.750000e+14 9.750000e+14
5.894736842105263,-500350317555892.75,0,0,5.142000e+14 1.950000e+15 9.750000e+14 9.750000e+14
0.3684210526315789,-443821931256622.25,2,2,5.108000e+14 1.950000e+15 1.000000e+15 1.000000e+15
0.3684210526315789,-443821931256622.25,2,3,5.108000e+14 1.950000e+15 1.000000e+15 1.000000e+15
4.789473684210526,-431532504787051.5,0,0,5.074000e+14 1.950000e+15 1.020000e+15 1.020000e+15
4.789473684210526,-375044628265014.5,0,0,5.040000e+14 1.950000e+15 1.040000e+15 1.040000e+15
4.789473684210526,-330454740646780.75,0,0,5.006000e+14 1.950000e+15 1.060000e+15 1.060000e+15
3.6842105263157894,-316066338361328.75,1,1,5.006000e+14 1.950000e+15 1.060000e+15 1.060000e+15
4.789473684210526,-297383141986077.75,0,0,4.972000e+14 1.950000e+15 1.080000e+15 1.080000e+15
5.157894736842105,-300255708999297.75,0,0,4.972000e+14 1.950000e+15 1.080000e+15 1.080000e+15
0.3684210526315789,-271436040399738.28,3,2,4.972000e+14 1.950000e+15 1.080000e+15 1.080000e+15
0.3684210526315789,-271436040399738.28,3,3,4.972000e+14 1.950000e+15 1.080000e+15 1.080000e+15
5.157894736842105,-220317458440517.5,0,0,4.938000e+14 1.950000e+15 1.105000e+15 1.105000e+15
2.2105263157894735,-233372109137924.0,1,1,4.938000e+14 1.950000e+15 1.105000e+15 1.105000e+15
0.3684210526315789,-220058189096569.22,3,2,4.938000e+14 1.950000e+15 1.105000e+15 1.105000e+15
0.7368421052631579,-236143095568482.38,4,2,4.938000e+14 1.950000e+15 1.105000e+15 1.105000e+15
0.3684210526315789,-220058189096569.22,3,3,4.938000e+14 1.950000e+15 1.105000e+15 1.105000e+15
0.7368421052631579,-236143095568482.38,4,3,4.938000e+14 1.950000e+15 1.105000e+15 1.105000e+15
1.8421052631578947,-194264163175781.25,1,0,4.904000e+14 1.950000e+15 1.125000e+15 1.125000e+15
1.4736842105263157,-205980491176284.75,2,0,4.904000e+14 1.950000e+15 1.125000e+15 1.125000e+15
2.9473684210526314,-175722985071648.25,1,1,4.904000e+14 1.950000e+15 1.125000e+15 1.125000e+15
1.4736842105263157,-200529868531553.25,3,1,4.904000e+14 1.950000e+15 1.125000e+15 1.125000e+15
0.3684210526315789,-206721025394588.97,3,2,4.904000e+14 1.950000e+15 1.125000e+15 1.125000e+15
0.3684210526315789,-206721025394588.97,3,3,4.904000e+14 1.950000e+15 1.125000e+15 1.125000e+15
2.2105263157894735,-138650906903924.5,0,0,4.870000e+14 1.950000e+15 1.145000e+15 1.145000e+15
2.9473684210526314,-150495242912153.75,1,1,4.870000e+14 1.950000e+15 1.145000e+15 1.145000e+15
1.8421052631578947,-143479040283540.5,2,1,4.870000e+14 1.950000e+15 1.145000e+15 1.145000e+15
1.4736842105263157,-139226770738283.0,3,2,4.870000e+14 1.950000e+15 1.145000e+15 1.145000e+15
1.4736842105263157,-139226770738283.0,3,3,4.870000e+14 1.950000e+15 1.145000e+15 1.145000e+15
5.157894736842105,-88838117929870.0,0,0,4.836000e+14 1.950000e+15 1.165000e+15 1.165000e+15
2.9473684210526314,-113697949572554.75,1,1,4.836000e+14 1.950000e+15 1.165000e+15 1.165000e+15
5.157894736842105,-63863053767637.0,0,0,4.802000e+14 1.950000e+15 1.185000e+15 1.185000e+15
2.9473684210526314,-65299719304014.75,1,1,4.802000e+14 1.950000e+15 1.185000e+15 1.185000e+15
4.052631578947368,-56687624777096.5,1,1,4.802000e+14 1.950000e+15 1.185000e+15 1.185000e+15
5.526315789473684,-14092492922434.25,0,0,4.768000e+14 1.950000e+15 1.210000e+15 1.210000e+15
