B,den,N,Band,System([band density])
1.8421052631578947,-3014197467356114.0,4,0,1.080000e+15 1.950000e+15
6.63157894736842,-3029515193904270.0,0,1,1.080000e+15 1.950000e+15
1.8421052631578947,-3016044143799666.5,4,0,1.050000e+15 1.950000e+15
2.5789473684210527,-2962587733484728.5,1,1,1.030000e+15 1.950000e+15
2.5789473684210527,-2962587733484727.5,1,1,1.010000e+15 1.950000e+15
7.0,-2932913521427970.0,0,1,9.910000e+14 1.950000e+15
7.0,-2931205976979470.0,0,1,9.700000e+14 1.950000e+15
2.5789473684210527,-2840671792269820.5,0,0,9.070000e+14 1.950000e+15
2.2105263157894735,-2851121286892738.0,2,1,9.070000e+14 1.950000e+15
2.5789473684210527,-2842481535187223.0,0,0,8.860000e+14 1.950000e+15
2.2105263157894735,-2851121286892738.0,2,1,8.860000e+14 1.950000e+15
1.8421052631578947,-2798098567735314.0,4,1,8.650000e+14 1.950000e+15
2.2105263157894735,-2777210207590986.5,1,0,8.440000e+14 1.950000e+15
2.9473684210526314,-2796945801027645.0,0,1,8.440000e+14 1.950000e+15
1.8421052631578947,-2798098567735314.0,4,1,8.440000e+14 1.950000e+15
2.2105263157894735,-2778761415805488.5,1,0,8.230000e+14 1.950000e+15
1.8421052631578947,-2759410903719540.5,3,0,8.230000e+14 1.950000e+15
1.8421052631578947,-2760703577230027.0,3,0,8.020000e+14 1.950000e+15
1.4736842105263157,-2664402995548560.0,0,2,7.390000e+14 1.950000e+15 1.100000e+13 1.100000e+13
1.4736842105263157,-2664402995548560.0,0,3,7.390000e+14 1.950000e+15 1.100000e+13 1.100000e+13
2.2105263157894735,-2540791996978989.0,3,1,6.970000e+14 1.950000e+15 5.300000e+13 5.300000e+13
6.63157894736842,-2487175570546566.0,0,0,6.760000e+14 1.950000e+15 7.400000e+13 7.400000e+13
2.2105263157894735,-2472219829747799.0,2,0,6.760000e+14 1.950000e+15 7.400000e+13 7.400000e+13
4.421052631578947,-2481999296420401.0,0,1,6.760000e+14 1.950000e+15 7.400000e+13 7.400000e+13
1.8421052631578947,-2386021212214130.0,4,0,6.536000e+14 1.950000e+15 1.160000e+14 1.160000e+14
3.31578947368421,-2370763721674018.0,0,1,6.536000e+14 1.950000e+15 1.160000e+14 1.160000e+14
1.1052631578947367,-2379367549356161.5,0,2,6.536000e+14 1.950000e+15 1.160000e+14 1.160000e+14
1.1052631578947367,-2379367549356161.5,0,3,6.536000e+14 1.950000e+15 1.160000e+14 1.160000e+14
7.0,-2311550429142947.5,0,0,6.502000e+14 1.950000e+15 1.370000e+14 1.370000e+14
2.5789473684210527,-2179436118213985.0,0,0,6.400000e+14 1.950000e+15 2.000000e+14 2.000000e+14
4.789473684210526,-2207510231910817.0,0,1,6.400000e+14 1.950000e+15 2.000000e+14 2.000000e+14
2.2105263157894735,-2198590173634829.8,2,1,6.400000e+14 1.950000e+15 2.000000e+14 2.000000e+14
1.8421052631578947,-2175017242033826.2,4,1,6.400000e+14 1.950000e+15 2.000000e+14 2.000000e+14
2.2105263157894735,-2149560484566052.8,1,0,6.366000e+14 1.950000e+15 2.210000e+14 2.210000e+14
1.8421052631578947,-2129210463268467.8,4,1,6.366000e+14 1.950000e+15 2.210000e+14 2.210000e+14
2.9473684210526314,-2094185182989127.0,0,1,6.332000e+14 1.950000e+15 2.420000e+14 2.420000e+14
5.157894736842105,-2023138881241555.0,0,1,6.264000e+14 1.950000e+15 2.840000e+14 2.840000e+14
5.526315789473684,-1992564278253529.0,0,1,6.264000e+14 1.950000e+15 2.840000e+14 2.840000e+14
1.8421052631578947,-1908144633152228.8,4,1,6.196000e+14 1.950000e+15 3.260000e+14 3.260000e+14
1.8421052631578947,-1882128791028717.2,3,0,6.162000e+14 1.950000e+15 3.470000e+14 3.470000e+14
5.894736842105263,-1863060017696799.0,0,1,6.162000e+14 1.950000e+15 3.470000e+14 3.470000e+14
2.2105263157894735,-1784066913379742.0,2,1,6.094000e+14 1.950000e+15 3.890000e+14 3.890000e+14
2.2105263157894735,-1726769686561245.5,1,0,6.060000e+14 1.950000e+15 4.100000e+14 4.100000e+14
2.5789473684210527,-1628347767949329.5,0,0,5.992000e+14 1.950000e+15 4.520000e+14 4.520000e+14
1.8421052631578947,-1637416092033083.2,3,1,5.992000e+14 1.950000e+15 4.520000e+14 4.520000e+14
1.8421052631578947,-1612610972771493.5,2,0,5.958000e+14 1.950000e+15 4.730000e+14 4.730000e+14
6.263157894736842,-1598838565601564.0,0,1,5.958000e+14 1.950000e+15 4.730000e+14 4.730000e+14
2.9473684210526314,-1372940057388867.5,0,1,5.788000e+14 1.950000e+15 5.800000e+14 5.800000e+14
2.2105263157894735,-1338869983932342.0,0,0,5.754000e+14 1.950000e+15 6.000000e+14 6.000000e+14
6.63157894736842,-1331449402551301.0,0,1,5.754000e+14 1.950000e+15 6.000000e+14 6.000000e+14
2.5789473684210527,-1185852580782079.5,0,1,5.652000e+14 1.950000e+15 6.600000e+14 6.600000e+14
7.0,-1155268831902534.5,0,1,5.618000e+14 1.950000e+15 6.850000e+14 6.850000e+14
1.8421052631578947,-1090742374191627.2,3,1,5.584000e+14 1.950000e+15 7.050000e+14 7.050000e+14
2.2105263157894735,-1024580809906054.0,0,0,5.516000e+14 1.950000e+15 7.450000e+14 7.450000e+14
2.2105263157894735,-975297271258362.0,1,1,5.482000e+14 1.950000e+15 7.650000e+14 7.650000e+14
0.7368421052631579,-920907345566051.0,2,2,5.448000e+14 1.950000e+15 7.900000e+14 7.900000e+14
0.7368421052631579,-920907345566051.0,2,3,5.448000e+14 1.950000e+15 7.900000e+14 7.900000e+14
1.8421052631578947,-739077933325648.8,3,1,5.312000e+14 1.950000e+15 8.700000e+14 8.700000e+14
0.3684210526315789,-733472089347211.2,0,2,5.312000e+14 1.950000e+15 8.700000e+14 8.700000e+14
0.3684210526315789,-733472089347211.2,0,3,5.312000e+14 1.950000e+15 8.700000e+14 8.700000e+14
1.8421052631578947,-700160092333232.5,2,0,5.278000e+14 1.950000e+15 8.950000e+14 8.950000e+14
2.5789473684210527,-677387679966458.5,0,1,5.278000e+14 1.950000e+15 8.950000e+14 8.950000e+14
1.8421052631578947,-570513607377096.2,2,0,5.176000e+14 1.950000e+15 9.550000e+14 9.550000e+14
1.4736842105263157,-571315502482046.2,4,0,5.176000e+14 1.950000e+15 9.550000e+14 9.550000e+14
1.8421052631578947,-514650404626671.0,2,0,5.142000e+14 1.950000e+15 9.750000e+14 9.750000e+14
0.3684210526315789,-511220840849757.6,1,2,5.142000e+14 1.950000e+15 9.750000e+14 9.750000e+14
0.7368421052631579,-511958847899378.56,3,2,5.142000e+14 1.950000e+15 9.750000e+14 9.750000e+14
0.3684210526315789,-511220840849757.6,1,3,5.142000e+14 1.950000e+15 9.750000e+14 9.750000e+14
0.7368421052631579,-511958847899378.56,3,3,5.142000e+14 1.950000e+15 9.750000e+14 9.750000e+14
2.5789473684210527,-470363920221937.0,0,0,5.108000e+14 1.950000e+15 1.000000e+15 1.000000e+15
1.8421052631578947,-458647669233290.25,2,0,5.108000e+14 1.950000e+15 1.000000e+15 1.000000e+15
1.4736842105263157,-469499546907148.0,4,0,5.108000e+14 1.950000e+15 1.000000e+15 1.000000e+15
2.5789473684210527,-426262447602778.0,0,0,5.074000e+14 1.950000e+15 1.020000e+15 1.020000e+15
1.8421052631578947,-430256920204404.75,2,0,5.074000e+14 1.950000e+15 1.020000e+15 1.020000e+15
0.3684210526315789,-410034678149570.4,2,2,5.074000e+14 1.950000e+15 1.020000e+15 1.020000e+15
1.1052631578947367,-400906982766250.5,3,2,5.074000e+14 1.950000e+15 1.020000e+15 1.020000e+15
0.3684210526315789,-410034678149570.4,2,3,5.074000e+14 1.950000e+15 1.020000e+15 1.020000e+15
1.1052631578947367,-400906982766250.5,3,3,5.074000e+14 1.950000e+15 1.020000e+15 1.020000e+15
2.2105263157894735,-319775819649529.5,1,1,5.006000e+14 1.950000e+15 1.060000e+15 1.060000e+15
0.3684210526315789,-331779153795991.94,3,2,5.006000e+14 1.950000e+15 1.060000e+15 1.060000e+15
0.3684210526315789,-331779153795991.94,3,3,5.006000e+14 1.950000e+15 1.060000e+15 1.060000e+15
2.9473684210526314,-301719331321465.0,0,1,4.972000e+14 1.950000e+15 1.080000e+15 1.080000e+15
2.2105263157894735,-243154653449102.0,0,0,4.938000e+14 1.950000e+15 1.105000e+15 1.105000e+15
0.3684210526315789,-152414215225850.97,4,2,4.870000e+14 1.950000e+15 1.145000e+15 1.145000e+15
0.7368421052631579,-143728808150048.25,4,2,4.870000e+14 1.950000e+15 1.145000e+15 1.145000e+15
0.3684210526315789,-152414215225850.97,4,3,4.870000e+14 1.950000e+15 1.145000e+15 1.145000e+15
0.7368421052631579,-143728808150048.25,4,3,4.870000e+14 1.950000e+15 1.145000e+15 1.145000e+15
2.2105263157894735,-103786378227994.0,0,0,4.836000e+14 1.950000e+15 1.165000e+15 1.165000e+15
1.8421052631578947,-93106093172219.5,2,1,4.836000e+14 1.950000e+15 1.165000e+15 1.165000e+15
1.8421052631578947,-50887694335225.5,1,0,4.802000e+14 1.950000e+15 1.185000e+15 1.185000e+15
1.8421052631578947,-71201852203887.5,2,1,4.802000e+14 1.950000e+15 1.185000e+15 1.185000e+15
1.8421052631578947,860603094782.5,1,0,4.768000e+14 1.950000e+15 1.210000e+15 1.210000e+15
2.2105263157894735,-756112855488.5,1,1,4.768000e+14 1.950000e+15 1.210000e+15 1.210000e+15
1.8421052631578947,-18947467157316.0,2,1,4.768000e+14 1.950000e+15 1.210000e+15 1.210000e+15
2.9473684210526314,51269400043954.5,0,1,4.734000e+14 1.950000e+15 1.230000e+15 1.230000e+15
1.8421052631578947,46913623957975.5,2,1,4.734000e+14 1.950000e+15 1.230000e+15 1.230000e+15
2.5789473684210527,63779484162776.0,0,1,4.700000e+14 1.950000e+15 1.250000e+15 1.250000e+15
1.4736842105263157,125176353897135.75,4,0,4.666000e+14 1.950000e+15 1.270000e+15 1.270000e+15
2.2105263157894735,125716389858498.5,1,1,4.666000e+14 1.950000e+15 1.270000e+15 1.270000e+15
1.1052631578947367,152021413120216.5,4,2,4.632000e+14 1.950000e+15 1.290000e+15 1.290000e+15
1.1052631578947367,152021413120216.5,4,3,4.632000e+14 1.950000e+15 1.290000e+15 1.290000e+15
2.2105263157894735,207046927711815.0,0,0,4.598000e+14 1.950000e+15 1.315000e+15 1.315000e+15
1.8421052631578947,271058723323717.25,2,0,4.564000e+14 1.950000e+15 1.335000e+15 1.335000e+15
1.8421052631578947,253477979007080.5,3,1,4.564000e+14 1.950000e+15 1.335000e+15 1.335000e+15
1.8421052631578947,323381522311795.0,3,1,4.530000e+14 1.950000e+15 1.355000e+15 1.355000e+15
1.4736842105263157,338945953190851.0,3,0,4.496000e+14 1.950000e+15 1.375000e+15 1.375000e+15
1.4736842105263157,344441367913614.75,4,1,4.496000e+14 1.950000e+15 1.375000e+15 1.375000e+15
0.3684210526315789,406570965902529.0,4,0,4.462000e+14 1.950000e+15 1.395000e+15 1.395000e+15
0.3684210526315789,442623322083997.0,0,0,4.428000e+14 1.950000e+15 1.420000e+15 1.420000e+15
0.3684210526315789,433601511078330.56,1,0,4.428000e+14 1.950000e+15 1.420000e+15 1.420000e+15
1.8421052631578947,460908553685997.5,2,0,4.428000e+14 1.950000e+15 1.420000e+15 1.420000e+15
0.3684210526315789,463508032127304.2,0,1,4.428000e+14 1.950000e+15 1.420000e+15 1.420000e+15
0.3684210526315789,454486221121637.75,1,1,4.428000e+14 1.950000e+15 1.420000e+15 1.420000e+15
0.3684210526315789,445464410115971.3,2,1,4.428000e+14 1.950000e+15 1.420000e+15 1.420000e+15
0.3684210526315789,436442599110304.8,3,1,4.428000e+14 1.950000e+15 1.420000e+15 1.420000e+15
1.8421052631578947,443239240121010.25,3,1,4.428000e+14 1.950000e+15 1.420000e+15 1.420000e+15
1.4736842105263157,523619920685391.0,3,0,4.360000e+14 1.950000e+15 1.460000e+15 1.460000e+15
2.5789473684210527,535145535798541.0,0,1,4.360000e+14 1.950000e+15 1.460000e+15 1.460000e+15
1.4736842105263157,529532964759318.0,4,1,4.360000e+14 1.950000e+15 1.460000e+15 1.460000e+15
