B,dos_at_mu,System([band density])
1.0,6.014608055086267e+35,2.500000e+15 1.950000e+15
1.1224489795918366,8.907105304932602e+35,2.500000e+15 1.950000e+15
1.2448979591836735,1.2265709460753751e+36,2.500000e+15 1.950000e+15
1.3673469387755102,9.592860810126526e+35,2.500000e+15 1.950000e+15
1.489795918367347,1.068014120579641e+36,2.500000e+15 1.950000e+15
1.6122448979591837,8.203436031737547e+35,2.500000e+15 1.950000e+15
1.7346938775510203,6.884227852758349e+35,2.500000e+15 1.950000e+15
1.8571428571428572,1.9529629024122463e+36,2.500000e+15 1.950000e+15
1.9795918367346939,2.5869007728398698e+35,2.500000e+15 1.950000e+15
2.1020408163265305,5.74316006556102e+35,2.500000e+15 1.950000e+15
2.2244897959183674,2.0851403142654572e+36,2.500000e+15 1.950000e+15
2.3469387755102042,2.6190104481102906e+36,2.500000e+15 1.950000e+15
2.4693877551020407,9.789091508101803e+35,2.500000e+15 1.950000e+15
2.5918367346938775,3.3082235855751443e+34,2.500000e+15 1.950000e+15
2.7142857142857144,3.3169937833870508e+35,2.500000e+15 1.950000e+15
2.836734693877551,1.6357380206734355e+36,2.500000e+15 1.950000e+15
2.9591836734693877,1.4175298460909938e+36,2.500000e+15 1.950000e+15
3.0816326530612246,9.479889504740174e+35,2.500000e+15 1.950000e+15
3.204081632653061,1.5040948557317292e+36,2.500000e+15 1.950000e+15
3.326530612244898,1.9905864496048643e+36,2.500000e+15 1.950000e+15
3.4489795918367347,1.1638274693014052e+36,2.500000e+15 1.950000e+15
3.571428571428571,1.783041429858058e+35,2.500000e+15 1.950000e+15
3.693877551020408,1.4158575196957048e+34,2.500000e+15 1.950000e+15
3.816326530612245,2.747650729035724e+35,2.500000e+15 1.950000e+15
3.9387755102040813,1.2765124950048951e+36,2.500000e+15 1.950000e+15
4.061224489795919,2.3449430535915632e+36,2.500000e+15 1.950000e+15
4.183673469387755,2.197349064256938e+36,2.500000e+15 1.950000e+15
4.3061224489795915,9.973043388187498e+35,2.500000e+15 1.950000e+15
4.428571428571429,1.683509061823873e+35,2.500000e+15 1.950000e+15
4.551020408163265,5.285543839265751e+33,2.500000e+15 1.950000e+15
4.673469387755102,1.40322243751429e+33,2.500000e+15 1.950000e+15
4.795918367346939,1.0356148097652489e+35,2.500000e+15 1.950000e+15
4.918367346938775,7.084155774984248e+35,2.500000e+15 1.950000e+15
5.040816326530612,1.776441745689809e+36,2.500000e+15 1.950000e+15
5.163265306122449,2.7622502881645144e+36,2.500000e+15 1.950000e+15
5.285714285714286,3.181900347650768e+36,2.500000e+15 1.950000e+15
5.408163265306122,2.8624648654990615e+36,2.500000e+15 1.950000e+15
5.530612244897959,2.0269924637849915e+36,2.500000e+15 1.950000e+15
5.653061224489796,1.122015355893326e+36,2.500000e+15 1.950000e+15
5.775510204081632,4.816749332259487e+35,2.500000e+15 1.950000e+15
5.8979591836734695,1.6076252530659302e+35,2.500000e+15 1.950000e+15
6.020408163265306,4.437539113453088e+34,2.500000e+15 1.950000e+15
6.142857142857142,2.1110413890360764e+34,2.500000e+15 1.950000e+15
6.26530612244898,5.230402302954637e+34,2.500000e+15 1.950000e+15
6.387755102040816,1.6059537688156831e+35,2.500000e+15 1.950000e+15
6.5102040816326525,3.9459107958238036e+35,2.500000e+15 1.950000e+15
6.63265306122449,7.93534819965019e+35,2.500000e+15 1.950000e+15
6.755102040816326,1.3681449068485223e+36,2.500000e+15 1.950000e+15
6.877551020408163,2.0934740200526127e+36,2.500000e+15 1.950000e+15
7.0,2.899106616236357e+36,2.500000e+15 1.950000e+15
1.0,5.689681064536211e+35,2.481216e+15 1.950000e+15
1.1224489795918366,8.4024031550419e+35,2.481216e+15 1.950000e+15
1.2448979591836735,1.1531794058913295e+36,2.481216e+15 1.950000e+15
1.3673469387755102,9.634142528334968e+35,2.481216e+15 1.950000e+15
1.489795918367347,1.1316650767960277e+36,2.481216e+15 1.950000e+15
1.6122448979591837,6.813954838900766e+35,2.481216e+15 1.950000e+15
1.7346938775510203,7.172150196347873e+35,2.481216e+15 1.950000e+15
1.8571428571428572,1.993694085769163e+36,2.481216e+15 1.950000e+15
1.9795918367346939,1.6745137522640736e+35,2.481216e+15 1.950000e+15
2.1020408163265305,7.151997724753999e+35,2.481216e+15 1.950000e+15
2.2244897959183674,2.1053353915983752e+36,2.481216e+15 1.950000e+15
2.3469387755102042,2.4579052326895442e+36,2.481216e+15 1.950000e+15
2.4693877551020407,8.734622578630055e+35,2.481216e+15 1.950000e+15
2.5918367346938775,2.6171830245122655e+34,2.481216e+15 1.950000e+15
2.7142857142857144,4.8909514197376906e+35,2.481216e+15 1.950000e+15
2.836734693877551,1.7033918799592687e+36,2.481216e+15 1.950000e+15
2.9591836734693877,1.216034506103158e+36,2.481216e+15 1.950000e+15
3.0816326530612246,8.104476305439954e+35,2.481216e+15 1.950000e+15
3.204081632653061,1.5091917202182848e+36,2.481216e+15 1.950000e+15
3.326530612244898,1.9664145373530005e+36,2.481216e+15 1.950000e+15
3.4489795918367347,1.0189334238065856e+36,2.481216e+15 1.950000e+15
3.571428571428571,1.364493330321063e+35,2.481216e+15 1.950000e+15
3.693877551020408,2.652120359559085e+34,2.481216e+15 1.950000e+15
3.816326530612245,3.730408221470513e+35,2.481216e+15 1.950000e+15
3.9387755102040813,1.4461299110508436e+36,2.481216e+15 1.950000e+15
4.061224489795919,2.4114169994884344e+36,2.481216e+15 1.950000e+15
4.183673469387755,2.0234649623775587e+36,2.481216e+15 1.950000e+15
4.3061224489795915,7.853421010027314e+35,2.481216e+15 1.950000e+15
4.428571428571429,1.0196085206606446e+35,2.481216e+15 1.950000e+15
4.551020408163265,1.445541180140526e+33,2.481216e+15 1.950000e+15
4.673469387755102,3.4599036570270225e+33,2.481216e+15 1.950000e+15
4.795918367346939,1.7373985085360863e+35,2.481216e+15 1.950000e+15
4.918367346938775,9.259405877261832e+35,2.481216e+15 1.950000e+15
5.040816326530612,2.022440806051597e+36,2.481216e+15 1.950000e+15
5.163265306122449,2.897786030041132e+36,2.481216e+15 1.950000e+15
5.285714285714286,3.1620844832755654e+36,2.481216e+15 1.950000e+15
5.408163265306122,2.7353549348078544e+36,2.481216e+15 1.950000e+15
5.530612244897959,1.882193992211667e+36,2.481216e+15 1.950000e+15
5.653061224489796,1.0236632700977204e+36,2.481216e+15 1.950000e+15
5.775510204081632,4.386372615777471e+35,2.481216e+15 1.950000e+15
5.8979591836734695,1.5002149796456589e+35,2.481216e+15 1.950000e+15
6.020408163265306,4.630023190270451e+34,2.481216e+15 1.950000e+15
6.142857142857142,3.2890347810321155e+34,2.481216e+15 1.950000e+15
6.26530612244898,8.48474865247703e+34,2.481216e+15 1.950000e+15
6.387755102040816,2.297840380870107e+35,2.481216e+15 1.950000e+15
6.5102040816326525,5.117694003168026e+35,2.481216e+15 1.950000e+15
6.63265306122449,9.618820262750945e+35,2.481216e+15 1.950000e+15
6.755102040816326,1.583176811604319e+36,2.481216e+15 1.950000e+15
6.877551020408163,2.3398344326492102e+36,2.481216e+15 1.950000e+15
7.0,3.144304620032758e+36,2.481216e+15 1.950000e+15
1.0,5.258273232014496e+35,2.462432e+15 1.950000e+15
1.1224489795918366,7.994627691939744e+35,2.462432e+15 1.950000e+15
1.2448979591836735,1.0907095976577384e+36,2.462432e+15 1.950000e+15
1.3673469387755102,9.213135807077324e+35,2.462432e+15 1.950000e+15
1.489795918367347,1.2214125243407133e+36,2.462432e+15 1.950000e+15
1.6122448979591837,5.397426933784637e+35,2.462432e+15 1.950000e+15
1.7346938775510203,7.68120620513481e+35,2.462432e+15 1.950000e+15
1.8571428571428572,1.9742641775498524e+36,2.462432e+15 1.950000e+15
1.9795918367346939,1.05756867324457e+35,2.462432e+15 1.950000e+15
2.1020408163265305,8.650829070138382e+35,2.462432e+15 1.950000e+15
2.2244897959183674,2.1062887181379505e+36,2.462432e+15 1.950000e+15
2.3469387755102042,2.2724272851336254e+36,2.462432e+15 1.950000e+15
2.4693877551020407,7.912877807778727e+35,2.462432e+15 1.950000e+15
2.5918367346938775,2.2907397248731796e+34,2.462432e+15 1.950000e+15
2.7142857142857144,6.745804587902461e+35,2.462432e+15 1.950000e+15
2.836734693877551,1.7126106334924095e+36,2.462432e+15 1.950000e+15
2.9591836734693877,1.0141566011403824e+36,2.462432e+15 1.950000e+15
3.0816326530612246,7.062930121075353e+35,2.462432e+15 1.950000e+15
3.204081632653061,1.5364862983305477e+36,2.462432e+15 1.950000e+15
3.326530612244898,1.927693746270269e+36,2.462432e+15 1.950000e+15
3.4489795918367347,8.843409292407078e+35,2.462432e+15 1.950000e+15
3.571428571428571,1.0895186520522872e+35,2.462432e+15 1.950000e+15
3.693877551020408,4.8799813956614435e+34,2.462432e+15 1.950000e+15
3.816326530612245,4.928077020753248e+35,2.462432e+15 1.950000e+15
3.9387755102040813,1.626871446872976e+36,2.462432e+15 1.950000e+15
4.061224489795919,2.4436194864649704e+36,2.462432e+15 1.950000e+15
4.183673469387755,1.8177020184241614e+36,2.462432e+15 1.950000e+15
4.3061224489795915,5.951321265654672e+35,2.462432e+15 1.950000e+15
4.428571428571429,5.72313150514255e+34,2.462432e+15 1.950000e+15
