B,dos_at_mu,System([band density])
1.0,5.2142906496918326e+36,1.673514e+15 1.950000e+15
1.1224489795918366,5.214278980953003e+36,1.673514e+15 1.950000e+15
1.2448979591836735,5.2147743820729374e+36,1.673514e+15 1.950000e+15
1.3673469387755102,5.2122398552478817e+36,1.673514e+15 1.950000e+15
1.489795918367347,5.21778131824628e+36,1.673514e+15 1.950000e+15
1.6122448979591837,5.2257082171144526e+36,1.673514e+15 1.950000e+15
1.7346938775510203,5.1802553135645694e+36,1.673514e+15 1.950000e+15
1.8571428571428572,5.1736837345143984e+36,1.673514e+15 1.950000e+15
1.9795918367346939,5.2890903259999077e+36,1.673514e+15 1.950000e+15
2.1020408163265305,5.382758839849259e+36,1.673514e+15 1.950000e+15
2.2244897959183674,5.28090543169099e+36,1.673514e+15 1.950000e+15
2.3469387755102042,5.018898114754074e+36,1.673514e+15 1.950000e+15
2.4693877551020407,4.7994602708457486e+36,1.673514e+15 1.950000e+15
2.5918367346938775,4.80296574517101e+36,1.673514e+15 1.950000e+15
2.7142857142857144,5.0649457368461106e+36,1.673514e+15 1.950000e+15
2.836734693877551,5.479267199222099e+36,1.673514e+15 1.950000e+15
2.9591836734693877,5.879134486916461e+36,1.673514e+15 1.950000e+15
3.0816326530612246,6.12668959141903e+36,1.673514e+15 1.950000e+15
3.204081632653061,6.16002429692758e+36,1.673514e+15 1.950000e+15
3.326530612244898,5.986651626589429e+36,1.673514e+15 1.950000e+15
3.4489795918367347,5.649578592500051e+36,1.673514e+15 1.950000e+15
3.571428571428571,5.199456655990376e+36,1.673514e+15 1.950000e+15
3.693877551020408,4.6870860701839045e+36,1.673514e+15 1.950000e+15
3.816326530612245,4.168667204139224e+36,1.673514e+15 1.950000e+15
3.9387755102040813,3.708877480829888e+36,1.673514e+15 1.950000e+15
4.061224489795919,3.373882539842855e+36,1.673514e+15 1.950000e+15
4.183673469387755,3.2171742948459625e+36,1.673514e+15 1.950000e+15
4.3061224489795915,3.266472078996692e+36,1.673514e+15 1.950000e+15
4.428571428571429,3.518043617518724e+36,1.673514e+15 1.950000e+15
4.551020408163265,3.9395833936070253e+36,1.673514e+15 1.950000e+15
4.673469387755102,4.478734095220637e+36,1.673514e+15 1.950000e+15
4.795918367346939,5.073310197063371e+36,1.673514e+15 1.950000e+15
4.918367346938775,5.660493883602882e+36,1.673514e+15 1.950000e+15
5.040816326530612,6.184010770924314e+36,1.673514e+15 1.950000e+15
5.163265306122449,6.599383662753553e+36,1.673514e+15 1.950000e+15
5.285714285714286,6.87758644488459e+36,1.673514e+15 1.950000e+15
5.408163265306122,7.007160900662048e+36,1.673514e+15 1.950000e+15
5.530612244897959,6.994592881942814e+36,1.673514e+15 1.950000e+15
5.653061224489796,6.862734858061428e+36,1.673514e+15 1.950000e+15
5.775510204081632,6.647317247911982e+36,1.673514e+15 1.950000e+15
5.8979591836734695,6.391965436304122e+36,1.673514e+15 1.950000e+15
6.020408163265306,6.142458739891773e+36,1.673514e+15 1.950000e+15
6.142857142857142,5.941111645643458e+36,1.673514e+15 1.950000e+15
6.26530612244898,5.822089972219915e+36,1.673514e+15 1.950000e+15
6.387755102040816,5.808233534675709e+36,1.673514e+15 1.950000e+15
6.5102040816326525,5.90962608496597e+36,1.673514e+15 1.950000e+15
6.63265306122449,6.123826805626969e+36,1.673514e+15 1.950000e+15
6.755102040816326,6.437430409262268e+36,1.673514e+15 1.950000e+15
6.877551020408163,6.82849367262542e+36,1.673514e+15 1.950000e+15
7.0,7.2693549182928e+36,1.673514e+15 1.950000e+15
1.0,5.2142907631595623e+36,1.654730e+15 1.950000e+15
1.1224489795918366,5.2142772325532457e+36,1.654730e+15 1.950000e+15
1.2448979591836735,5.214786415804512e+36,1.654730e+15 1.950000e+15
1.3673469387755102,5.2121719020204404e+36,1.654730e+15 1.950000e+15
1.489795918367347,5.217980802055095e+36,1.654730e+15 1.950000e+15
1.6122448979591837,5.225763359458706e+36,1.654730e+15 1.950000e+15
1.7346938775510203,5.179142090162614e+36,1.654730e+15 1.950000e+15
1.8571428571428572,5.173529751464658e+36,1.654730e+15 1.950000e+15
1.9795918367346939,5.291931471586368e+36,1.654730e+15 1.950000e+15
2.1020408163265305,5.385886868440976e+36,1.654730e+15 1.950000e+15
2.2244897959183674,5.279635015251383e+36,1.654730e+15 1.950000e+15
2.3469387755102042,5.012060113737563e+36,1.654730e+15 1.950000e+15
2.4693877551020407,4.790766899615132e+36,1.654730e+15 1.950000e+15
2.5918367346938775,4.798038808656658e+36,1.654730e+15 1.950000e+15
2.7142857142857144,5.0676138052175e+36,1.654730e+15 1.950000e+15
2.836734693877551,5.489863984983591e+36,1.654730e+15 1.950000e+15
2.9591836734693877,5.895006825760604e+36,1.654730e+15 1.950000e+15
3.0816326530612246,6.143644442388288e+36,1.654730e+15 1.950000e+15
3.204081632653061,6.173660068338981e+36,1.654730e+15 1.950000e+15
3.326530612244898,5.993327927648735e+36,1.654730e+15 1.950000e+15
3.4489795918367347,5.6471273815995e+36,1.654730e+15 1.950000e+15
3.571428571428571,5.187610366108187e+36,1.654730e+15 1.950000e+15
3.693877551020408,4.6674655793397384e+36,1.654730e+15 1.950000e+15
3.816326530612245,4.144267930454369e+36,1.654730e+15 1.950000e+15
3.9387755102040813,3.683213814449165e+36,1.654730e+15 1.950000e+15
4.061224489795919,3.350104805510824e+36,1.654730e+15 1.950000e+15
4.183673469387755,3.1974571995779044e+36,1.654730e+15 1.950000e+15
4.3061224489795915,3.2518190198000265e+36,1.654730e+15 1.950000e+15
4.428571428571429,3.508462871044501e+36,1.654730e+15 1.950000e+15
4.551020408163265,3.9344695851361784e+36,1.654730e+15 1.950000e+15
4.673469387755102,4.477270083721075e+36,1.654730e+15 1.950000e+15
4.795918367346939,5.074765034312578e+36,1.654730e+15 1.950000e+15
4.918367346938775,5.664376829367862e+36,1.654730e+15 1.950000e+15
5.040816326530612,6.190104437871951e+36,1.654730e+15 1.950000e+15
5.163265306122449,6.607704869623786e+36,1.654730e+15 1.950000e+15
5.285714285714286,6.888319064358037e+36,1.654730e+15 1.950000e+15
5.408163265306122,7.02058774426262e+36,1.654730e+15 1.950000e+15
5.530612244897959,7.011037018041317e+36,1.654730e+15 1.950000e+15
5.653061224489796,6.882510624019501e+36,1.654730e+15 1.950000e+15
5.775510204081632,6.670687560712881e+36,1.654730e+15 1.950000e+15
5.8979591836734695,6.419102339289962e+36,1.654730e+15 1.950000e+15
6.020408163265306,6.17340600970425e+36,1.654730e+15 1.950000e+15
6.142857142857142,5.975750251842672e+36,1.654730e+15 1.950000e+15
6.26530612244898,5.86010862974055e+36,1.654730e+15 1.950000e+15
6.387755102040816,5.849107387544388e+36,1.654730e+15 1.950000e+15
6.5102040816326525,5.952606746046402e+36,1.654730e+15 1.950000e+15
6.63265306122449,6.167946615529055e+36,1.654730e+15 1.950000e+15
6.755102040816326,6.481522931526535e+36,1.654730e+15 1.950000e+15
6.877551020408163,6.871231192096504e+36,1.654730e+15 1.950000e+15
7.0,7.309302171508183e+36,1.654730e+15 1.950000e+15
1.0,5.214290878183506e+36,1.635946e+15 1.950000e+15
1.1224489795918366,5.2142755214234895e+36,1.635946e+15 1.950000e+15
1.2448979591836735,5.2147980545184125e+36,1.635946e+15 1.950000e+15
1.3673469387755102,5.2121048023476163e+36,1.635946e+15 1.950000e+15
1.489795918367347,5.218183790584097e+36,1.635946e+15 1.950000e+15
1.6122448979591837,5.225801575149796e+36,1.635946e+15 1.950000e+15
1.7346938775510203,5.178030018365293e+36,1.635946e+15 1.950000e+15
1.8571428571428572,5.173427351500647e+36,1.635946e+15 1.950000e+15
1.9795918367346939,5.2947986592895074e+36,1.635946e+15 1.950000e+15
2.1020408163265305,5.388941972965682e+36,1.635946e+15 1.950000e+15
2.2244897959183674,5.278236523749567e+36,1.635946e+15 1.950000e+15
2.3469387755102042,5.0051546353260996e+36,1.635946e+15 1.950000e+15
2.4693877551020407,4.7821430950900306e+36,1.635946e+15 1.950000e+15
2.5918367346938775,4.7933017858786805e+36,1.635946e+15 1.950000e+15
2.7142857142857144,5.0705086146282394e+36,1.635946e+15 1.950000e+15
2.836734693877551,5.500631898774135e+36,1.635946e+15 1.950000e+15
2.9591836734693877,5.910932326793739e+36,1.635946e+15 1.950000e+15
3.0816326530612246,6.16051110843829e+36,1.635946e+15 1.950000e+15
3.204081632653061,6.187077211732271e+36,1.635946e+15 1.950000e+15
3.326530612244898,5.999694931207664e+36,1.635946e+15 1.950000e+15
3.4489795918367347,5.644337508771184e+36,1.635946e+15 1.950000e+15
3.571428571428571,5.1754649749714984e+36,1.635946e+15 1.950000e+15
3.693877551020408,4.647643338406207e+36,1.635946e+15 1.950000e+15
3.816326530612245,4.119794931184393e+36,1.635946e+15 1.950000e+15
3.9387755102040813,3.657602076039428e+36,1.635946e+15 1.950000e+15
4.061224489795919,3.3264753161321105e+36,1.635946e+15 1.950000e+15
