B,dos_at_mu,System([band density])
1.0,5.1970008482479076e+36,1.673514e+15 1.950000e+15
1.1224489795918366,5.2142543491097045e+36,1.673514e+15 1.950000e+15
1.2448979591836735,5.214771214954978e+36,1.673514e+15 1.950000e+15
1.3673469387755102,5.212168811132501e+36,1.673514e+15 1.950000e+15
1.489795918367347,5.2214747613612593e+36,1.673514e+15 1.950000e+15
1.6122448979591837,5.203267908852154e+36,1.673514e+15 1.950000e+15
1.7346938775510203,5.197457224791316e+36,1.673514e+15 1.950000e+15
1.8571428571428572,5.2839869313813756e+36,1.673514e+15 1.950000e+15
1.9795918367346939,5.240742944050021e+36,1.673514e+15 1.950000e+15
2.1020408163265305,5.054184045325718e+36,1.673514e+15 1.950000e+15
2.2244897959183674,5.0465343140604785e+36,1.673514e+15 1.950000e+15
2.3469387755102042,5.327049294961563e+36,1.673514e+15 1.950000e+15
2.4693877551020407,5.620300003314586e+36,1.673514e+15 1.950000e+15
2.5918367346938775,5.6143770576997e+36,1.673514e+15 1.950000e+15
2.7142857142857144,5.261415402445216e+36,1.673514e+15 1.950000e+15
2.836734693877551,4.7644191626266216e+36,1.673514e+15 1.950000e+15
2.9591836734693877,4.399359501157133e+36,1.673514e+15 1.950000e+15
3.0816326530612246,4.3574075079868727e+36,1.673514e+15 1.950000e+15
3.204081632653061,4.66898040409481e+36,1.673514e+15 1.950000e+15
3.326530612244898,5.214367236108002e+36,1.673514e+15 1.950000e+15
3.4489795918367347,5.802428298657689e+36,1.673514e+15 1.950000e+15
3.571428571428571,6.267106636694724e+36,1.673514e+15 1.950000e+15
3.693877551020408,6.526981227863998e+36,1.673514e+15 1.950000e+15
3.816326530612245,6.584462461905643e+36,1.673514e+15 1.950000e+15
3.9387755102040813,6.480816372958575e+36,1.673514e+15 1.950000e+15
4.061224489795919,6.246898756675277e+36,1.673514e+15 1.950000e+15
4.183673469387755,5.884766287241589e+36,1.673514e+15 1.950000e+15
4.3061224489795915,5.386316069020246e+36,1.673514e+15 1.950000e+15
4.428571428571429,4.7658858426183924e+36,1.673514e+15 1.950000e+15
4.551020408163265,4.0780765715103715e+36,1.673514e+15 1.950000e+15
4.673469387755102,3.4094618885216394e+36,1.673514e+15 1.950000e+15
4.795918367346939,2.8533597130966815e+36,1.673514e+15 1.950000e+15
4.918367346938775,2.484481454339353e+36,1.673514e+15 1.950000e+15
5.040816326530612,2.344826486236465e+36,1.673514e+15 1.950000e+15
5.163265306122449,2.4425519474813507e+36,1.673514e+15 1.950000e+15
5.285714285714286,2.7591172972480645e+36,1.673514e+15 1.950000e+15
5.408163265306122,3.258672392829307e+36,1.673514e+15 1.950000e+15
5.530612244897959,3.89563901300348e+36,1.673514e+15 1.950000e+15
5.653061224489796,4.619238960610766e+36,1.673514e+15 1.950000e+15
5.775510204081632,5.37576282149764e+36,1.673514e+15 1.950000e+15
5.8979591836734695,6.110175063084593e+36,1.673514e+15 1.950000e+15
6.020408163265306,6.768431930315472e+36,1.673514e+15 1.950000e+15
6.142857142857142,7.301118605257745e+36,1.673514e+15 1.950000e+15
6.26530612244898,7.668140740029966e+36,1.673514e+15 1.950000e+15
6.387755102040816,7.843550892629303e+36,1.673514e+15 1.950000e+15
6.5102040816326525,7.819319620413733e+36,1.673514e+15 1.950000e+15
6.63265306122449,7.607003477420471e+36,1.673514e+15 1.950000e+15
6.755102040816326,7.236732913965009e+36,1.673514e+15 1.950000e+15
6.877551020408163,6.753576305010965e+36,1.673514e+15 1.950000e+15
7.0,6.211935163416965e+36,1.673514e+15 1.950000e+15
1.0,5.199205584108439e+36,1.654730e+15 1.950000e+15
1.1224489795918366,5.214252811852854e+36,1.654730e+15 1.950000e+15
1.2448979591836735,5.214786489150335e+36,1.654730e+15 1.950000e+15
1.3673469387755102,5.212191908743465e+36,1.654730e+15 1.950000e+15
1.489795918367347,5.221798727260975e+36,1.654730e+15 1.950000e+15
1.6122448979591837,5.200799828386101e+36,1.654730e+15 1.950000e+15
1.7346938775510203,5.202302601974926e+36,1.654730e+15 1.950000e+15
1.8571428571428572,5.28715934408878e+36,1.654730e+15 1.950000e+15
1.9795918367346939,5.2268470344144595e+36,1.654730e+15 1.950000e+15
2.1020408163265305,5.043418253997499e+36,1.654730e+15 1.950000e+15
2.2244897959183674,5.064031541696008e+36,1.654730e+15 1.950000e+15
2.3469387755102042,5.361210278157406e+36,1.654730e+15 1.950000e+15
2.4693877551020407,5.635699102832895e+36,1.654730e+15 1.950000e+15
2.5918367346938775,5.58965634191544e+36,1.654730e+15 1.950000e+15
2.7142857142857144,5.205872721595512e+36,1.654730e+15 1.950000e+15
2.836734693877551,4.7080397644284023e+36,1.654730e+15 1.950000e+15
2.9591836734693877,4.373407541995891e+36,1.654730e+15 1.950000e+15
3.0816326530612246,4.3782029287036263e+36,1.654730e+15 1.950000e+15
3.204081632653061,4.731485083750815e+36,1.654730e+15 1.950000e+15
3.326530612244898,5.2977986004874956e+36,1.654730e+15 1.950000e+15
3.4489795918367347,5.882817951053573e+36,1.654730e+15 1.950000e+15
3.571428571428571,6.327791102716357e+36,1.654730e+15 1.950000e+15
3.693877551020408,6.561367342748456e+36,1.654730e+15 1.950000e+15
3.816326530612245,6.591833494513326e+36,1.654730e+15 1.950000e+15
3.9387755102040813,6.460348512055701e+36,1.654730e+15 1.950000e+15
4.061224489795919,6.19519793251382e+36,1.654730e+15 1.950000e+15
4.183673469387755,5.79860494167484e+36,1.654730e+15 1.950000e+15
4.3061224489795915,5.267828359114292e+36,1.654730e+15 1.950000e+15
4.428571428571429,4.625803033674376e+36,1.654730e+15 1.950000e+15
4.551020408163265,3.934558084465677e+36,1.654730e+15 1.950000e+15
4.673469387755102,3.2834087152053945e+36,1.654730e+15 1.950000e+15
4.795918367346939,2.763002483328142e+36,1.654730e+15 1.950000e+15
4.918367346938775,2.441685841129722e+36,1.654730e+15 1.950000e+15
