B,dos_at_mu,System([band density])
1.0,3.001971329038886e+36,1.673514e+15 1.950000e+15
1.1224489795918366,5.2143691633431405e+36,1.673514e+15 1.950000e+15
1.2448979591836735,5.213951381873247e+36,1.673514e+15 1.950000e+15
1.3673469387755102,5.203706083099185e+36,1.673514e+15 1.950000e+15
1.489795918367347,4.3120654215207296e+36,1.673514e+15 1.950000e+15
1.6122448979591837,1.517923695106925e+36,1.673514e+15 1.950000e+15
1.7346938775510203,1.6226276701916521e+35,1.673514e+15 1.950000e+15
1.8571428571428572,1.1610056156391565e+34,1.673514e+15 1.950000e+15
1.9795918367346939,2.172742405884919e+33,1.673514e+15 1.950000e+15
2.1020408163265305,1.2078546301293493e+33,1.673514e+15 1.950000e+15
2.2244897959183674,1.0452522382531681e+33,1.673514e+15 1.950000e+15
2.3469387755102042,9.769319777966727e+32,1.673514e+15 1.950000e+15
2.4693877551020407,9.21295343436627e+32,1.673514e+15 1.950000e+15
2.5918367346938775,8.571220043117356e+32,1.673514e+15 1.950000e+15
2.7142857142857144,8.044782859928813e+32,1.673514e+15 1.950000e+15
2.836734693877551,7.539649434954597e+32,1.673514e+15 1.950000e+15
2.9591836734693877,6.914366999046143e+32,1.673514e+15 1.950000e+15
3.0816326530612246,6.3791201201786e+32,1.673514e+15 1.950000e+15
3.204081632653061,6.006410092988708e+32,1.673514e+15 1.950000e+15
3.326530612244898,5.595206253639698e+32,1.673514e+15 1.950000e+15
3.4489795918367347,5.0509464805254824e+32,1.673514e+15 1.950000e+15
3.571428571428571,4.522743094118407e+32,1.673514e+15 1.950000e+15
3.693877551020408,4.155913370124833e+32,1.673514e+15 1.950000e+15
3.816326530612245,3.929157975562142e+32,1.673514e+15 1.950000e+15
3.9387755102040813,3.71037801640278e+32,1.673514e+15 1.950000e+15
4.061224489795919,3.391859632048985e+32,1.673514e+15 1.950000e+15
4.183673469387755,2.9821915827663944e+32,1.673514e+15 1.950000e+15
4.3061224489795915,2.574900486707438e+32,1.673514e+15 1.950000e+15
4.428571428571429,2.2536661410688495e+32,1.673514e+15 1.950000e+15
4.551020408163265,2.045278504783375e+32,1.673514e+15 1.950000e+15
4.673469387755102,1.929274647192927e+32,1.673514e+15 1.950000e+15
4.795918367346939,1.8603164810669127e+32,1.673514e+15 1.950000e+15
4.918367346938775,1.786407370905148e+32,1.673514e+15 1.950000e+15
5.040816326530612,1.6674549652148198e+32,1.673514e+15 1.950000e+15
5.163265306122449,1.4917766716975515e+32,1.673514e+15 1.950000e+15
5.285714285714286,1.2782634467253746e+32,1.673514e+15 1.950000e+15
5.408163265306122,1.0608850899820409e+32,1.673514e+15 1.950000e+15
5.530612244897959,8.689377745661822e+31,1.673514e+15 1.950000e+15
5.653061224489796,7.171936733879197e+31,1.673514e+15 1.950000e+15
5.775510204081632,6.073407738393707e+31,1.673514e+15 1.950000e+15
5.8979591836734695,5.339151101652495e+31,1.673514e+15 1.950000e+15
6.020408163265306,4.891819997563044e+31,1.673514e+15 1.950000e+15
6.142857142857142,4.654600258108619e+31,1.673514e+15 1.950000e+15
6.26530612244898,4.556040424411612e+31,1.673514e+15 1.950000e+15
6.387755102040816,4.52755642941666e+31,1.673514e+15 1.950000e+15
6.5102040816326525,4.501974483859025e+31,1.673514e+15 1.950000e+15
6.63265306122449,4.417658158023397e+31,1.673514e+15 1.950000e+15
6.755102040816326,4.2283330007102095e+31,1.673514e+15 1.950000e+15
6.877551020408163,3.914100918219928e+31,1.673514e+15 1.950000e+15
7.0,3.486773859283845e+31,1.673514e+15 1.950000e+15
1.0,3.325506625791309e+36,1.654730e+15 1.950000e+15
1.1224489795918366,5.214382951295028e+36,1.654730e+15 1.950000e+15
1.2448979591836735,5.21387096942379e+36,1.654730e+15 1.950000e+15
1.3673469387755102,5.1969302224314055e+36,1.654730e+15 1.950000e+15
1.489795918367347,4.1525737128586276e+36,1.654730e+15 1.950000e+15
1.6122448979591837,1.3474502610743708e+36,1.654730e+15 1.950000e+15
1.7346938775510203,1.3014717512784742e+35,1.654730e+15 1.950000e+15
1.8571428571428572,8.704143921800913e+33,1.654730e+15 1.950000e+15
1.9795918367346939,1.5810037626901324e+33,1.654730e+15 1.950000e+15
2.1020408163265305,8.698212798268173e+32,1.654730e+15 1.950000e+15
2.2244897959183674,7.49943924768397e+32,1.654730e+15 1.950000e+15
2.3469387755102042,6.992165919473375e+32,1.654730e+15 1.950000e+15
2.4693877551020407,6.579265660257537e+32,1.654730e+15 1.950000e+15
2.5918367346938775,6.10523789307476e+32,1.654730e+15 1.950000e+15
2.7142857142857144,5.7182968687388826e+32,1.654730e+15 1.950000e+15
2.836734693877551,5.347412516360502e+32,1.654730e+15 1.950000e+15
2.9591836734693877,4.89019644437314e+32,1.654730e+15 1.950000e+15
3.0816326530612246,4.5010985954228065e+32,1.654730e+15 1.950000e+15
3.204081632653061,4.230921234733047e+32,1.654730e+15 1.950000e+15
3.326530612244898,3.9326568345330315e+32,1.654730e+15 1.950000e+15
3.4489795918367347,3.5392500855072264e+32,1.654730e+15 1.950000e+15
3.571428571428571,3.1596410439629547e+32,1.654730e+15 1.950000e+15
3.693877551020408,2.8974949463319897e+32,1.654730e+15 1.950000e+15
3.816326530612245,2.7359253303583936e+32,1.654730e+15 1.950000e+15
3.9387755102040813,2.579653649242327e+32,1.654730e+15 1.950000e+15
4.061224489795919,2.35218855327743e+32,1.654730e+15 1.950000e+15
4.183673469387755,2.060837906164037e+32,1.654730e+15 1.950000e+15
4.3061224489795915,1.772790308335367e+32,1.654730e+15 1.950000e+15
4.428571428571429,1.5469135853550797e+32,1.654730e+15 1.950000e+15
4.551020408163265,1.4011781154288396e+32,1.654730e+15 1.950000e+15
4.673469387755102,1.320442599213051e+32,1.654730e+15 1.950000e+15
4.795918367346939,1.2725110333637993e+32,1.654730e+15 1.950000e+15
4.918367346938775,1.2208405541575478e+32,1.654730e+15 1.950000e+15
5.040816326530612,1.1375035208360147e+32,1.654730e+15 1.950000e+15
5.163265306122449,1.0147198032028686e+32,1.654730e+15 1.950000e+15
5.285714285714286,8.661459249481432e+31,1.654730e+15 1.950000e+15
5.408163265306122,7.156942297854547e+31,1.654730e+15 1.950000e+15
5.530612244897959,5.836093709954906e+31,1.654730e+15 1.950000e+15
5.653061224489796,4.797812936276389e+31,1.654730e+15 1.950000e+15
5.775510204081632,4.0500956640782134e+31,1.654730e+15 1.950000e+15
5.8979591836734695,3.5526781508318783e+31,1.654730e+15 1.950000e+15
6.020408163265306,3.251018296598756e+31,1.654730e+15 1.950000e+15
6.142857142857142,3.091953395131198e+31,1.654730e+15 1.950000e+15
6.26530612244898,3.026584012891533e+31,1.654730e+15 1.950000e+15
6.387755102040816,3.008242052676656e+31,1.654730e+15 1.950000e+15
6.5102040816326525,2.9913175291164843e+31,1.654730e+15 1.950000e+15
6.63265306122449,2.934038239830899e+31,1.654730e+15 1.950000e+15
6.755102040816326,2.8052281003790864e+31,1.654730e+15 1.950000e+15
6.877551020408163,2.591862642972411e+31,1.654730e+15 1.950000e+15
7.0,2.3026227265970975e+31,1.654730e+15 1.950000e+15
1.0,3.6302392805834115e+36,1.635946e+15 1.950000e+15
1.1224489795918366,5.2143690819663626e+36,1.635946e+15 1.950000e+15
1.2448979591836735,5.2139463686139964e+36,1.635946e+15 1.950000e+15
1.3673469387755102,5.187671967078649e+36,1.635946e+15 1.950000e+15
1.489795918367347,3.980597254937865e+36,1.635946e+15 1.950000e+15
1.6122448979591837,1.1870231845470177e+36,1.635946e+15 1.950000e+15
1.7346938775510203,1.0351594182790697e+35,1.635946e+15 1.950000e+15
1.8571428571428572,6.476151590147418e+33,1.635946e+15 1.950000e+15
1.9795918367346939,1.1422431338606285e+33,1.635946e+15 1.950000e+15
2.1020408163265305,6.2200972814070964e+32,1.635946e+15 1.950000e+15
2.2244897959183674,5.343091397242409e+32,1.635946e+15 1.950000e+15
2.3469387755102042,4.969527765487156e+32,1.635946e+15 1.950000e+15
2.4693877551020407,4.6656243475024716e+32,1.635946e+15 1.950000e+15
2.5918367346938775,4.318318104326896e+32,1.635946e+15 1.950000e+15
2.7142857142857144,4.0362015824023975e+32,1.635946e+15 1.950000e+15
2.836734693877551,3.76606088536092e+32,1.635946e+15 1.950000e+15
2.9591836734693877,3.434380967338556e+32,1.635946e+15 1.950000e+15
3.0816326530612246,3.153750937455364e+32,1.635946e+15 1.950000e+15
3.204081632653061,2.9594305118951764e+32,1.635946e+15 1.950000e+15
3.326530612244898,2.7447654385971876e+32,1.635946e+15 1.950000e+15
3.4489795918367347,2.4625996555067812e+32,1.635946e+15 1.950000e+15
3.571428571428571,2.1918871771151604e+32,1.635946e+15 1.950000e+15
3.693877551020408,2.0059911329873183e+32,1.635946e+15 1.950000e+15
3.816326530612245,1.891747340777676e+32,1.635946e+15 1.950000e+15
3.9387755102040813,1.7809703678913407e+32,1.635946e+15 1.950000e+15
4.061224489795919,1.619762505105766e+32,1.635946e+15 1.950000e+15
4.183673469387755,1.4141322514236127e+32,1.635946e+15 1.950000e+15
4.3061224489795915,1.2119644364327934e+32,1.635946e+15 1.950000e+15
4.428571428571429,1.0543426654843227e+32,1.635946e+15 1.950000e+15
4.551020408163265,9.531929450340421e+31,1.635946e+15 1.950000e+15
4.673469387755102,8.97425960773879e+31,1.635946e+15 1.950000e+15
4.795918367346939,8.643572653253673e+31,1.635946e+15 1.950000e+15
4.918367346938775,8.28500059704803e+31,1.635946e+15 1.950000e+15
