B,dos_at_mu,System([band density])
1.0,1138387423337.2014,1.673514e+15 1.950000e+15
1.1224489795918366,1.0810661896329155e+18,1.673514e+15 1.950000e+15
1.2448979591836735,1.4722061771848021e+23,1.673514e+15 1.950000e+15
1.3673469387755102,2.8818513022143916e+27,1.673514e+15 1.950000e+15
1.489795918367347,8.126330336826185e+30,1.673514e+15 1.950000e+15
1.6122448979591837,1.6442567600144295e-55,1.673514e+15 1.950000e+15
1.7346938775510203,9.904711313032556e-56,1.673514e+15 1.950000e+15
1.8571428571428572,5.931939277230927e-56,1.673514e+15 1.950000e+15
1.9795918367346939,3.534365859871732e-56,1.673514e+15 1.950000e+15
2.1020408163265305,2.0961073241926124e-56,1.673514e+15 1.950000e+15
2.2244897959183674,1.2379165437564771e-56,1.673514e+15 1.950000e+15
2.3469387755102042,7.282883189434311e-57,1.673514e+15 1.950000e+15
2.4693877551020407,4.2695643737054646e-57,1.673514e+15 1.950000e+15
2.5918367346938775,2.4948627855359865e-57,1.673514e+15 1.950000e+15
2.7142857142857144,1.4534208631889947e-57,1.673514e+15 1.950000e+15
2.836734693877551,8.443128732824098e-58,1.673514e+15 1.950000e+15
2.9591836734693877,4.891674283729977e-58,1.673514e+15 1.950000e+15
3.0816326530612246,2.8269586211371308e-58,1.673514e+15 1.950000e+15
3.204081632653061,1.6298483180022835e-58,1.673514e+15 1.950000e+15
3.326530612244898,9.375452312652868e-59,1.673514e+15 1.950000e+15
3.4489795918367347,5.381464436937242e-59,1.673514e+15 1.950000e+15
3.571428571428571,3.0825705191901377e-59,1.673514e+15 1.950000e+15
3.693877551020408,1.7622471036322088e-59,1.673514e+15 1.950000e+15
3.816326530612245,1.005530278179645e-59,1.673514e+15 1.950000e+15
3.9387755102040813,5.727013765163706e-60,1.673514e+15 1.950000e+15
4.061224489795919,3.2560676772099765e-60,1.673514e+15 1.950000e+15
4.183673469387755,1.848058408752055e-60,1.673514e+15 1.950000e+15
4.3061224489795915,1.0471715378246094e-60,1.673514e+15 1.950000e+15
4.428571428571429,5.9240771661345416e-61,1.673514e+15 1.950000e+15
4.551020408163265,3.3461352546937474e-61,1.673514e+15 1.950000e+15
4.673469387755102,1.8871387099548753e-61,1.673514e+15 1.950000e+15
4.795918367346939,1.062717842076866e-61,1.673514e+15 1.950000e+15
4.918367346938775,5.97586775415413e-62,1.673514e+15 1.950000e+15
5.040816326530612,3.355573616017822e-62,1.673514e+15 1.950000e+15
5.163265306122449,1.8816042179164616e-62,1.673514e+15 1.950000e+15
5.285714285714286,1.0536527780939046e-62,1.673514e+15 1.950000e+15
5.408163265306122,5.892311240494641e-63,1.673514e+15 1.950000e+15
5.530612244897959,3.2908130048093595e-63,1.673514e+15 1.950000e+15
5.653061224489796,1.8355230765840188e-63,1.673514e+15 1.950000e+15
5.775510204081632,1.0225033461078982e-63,1.673514e+15 1.950000e+15
5.8979591836734695,5.688875433588406e-64,1.673514e+15 1.950000e+15
6.020408163265306,3.161206989371036e-64,1.673514e+15 1.950000e+15
6.142857142857142,1.7544936701807514e-64,1.673514e+15 1.950000e+15
6.26530612244898,9.725907502237042e-65,1.673514e+15 1.950000e+15
6.387755102040816,5.385110298498633e-65,1.673514e+15 1.950000e+15
6.5102040816326525,2.9781838980121156e-65,1.673514e+15 1.950000e+15
6.63265306122449,1.6451549501200517e-65,1.673514e+15 1.950000e+15
6.755102040816326,9.077497071199879e-66,1.673514e+15 1.950000e+15
6.877551020408163,5.003049011184509e-66,1.673514e+15 1.950000e+15
7.0,2.754341375174083e-66,1.673514e+15 1.950000e+15
1.0,1252834911371.8271,1.654730e+15 1.950000e+15
1.1224489795918366,1.1747813085830477e+18,1.654730e+15 1.950000e+15
1.2448979591836735,1.5796932890494018e+23,1.654730e+15 1.950000e+15
1.3673469387755102,3.053314853277977e+27,1.654730e+15 1.950000e+15
1.489795918367347,8.501219152666008e+30,1.654730e+15 1.950000e+15
1.6122448979591837,1.6442567600135098e-55,1.654730e+15 1.950000e+15
1.7346938775510203,9.904711313031718e-56,1.654730e+15 1.950000e+15
1.8571428571428572,5.931939277230852e-56,1.654730e+15 1.950000e+15
1.9795918367346939,3.5343658598717256e-56,1.654730e+15 1.950000e+15
2.1020408163265305,2.096107324192612e-56,1.654730e+15 1.950000e+15
2.2244897959183674,1.2379165437564771e-56,1.654730e+15 1.950000e+15
2.3469387755102042,7.282883189434311e-57,1.654730e+15 1.950000e+15
2.4693877551020407,4.2695643737054646e-57,1.654730e+15 1.950000e+15
2.5918367346938775,2.4948627855359865e-57,1.654730e+15 1.950000e+15
2.7142857142857144,1.4534208631889947e-57,1.654730e+15 1.950000e+15
2.836734693877551,8.443128732824098e-58,1.654730e+15 1.950000e+15
2.9591836734693877,4.891674283729977e-58,1.654730e+15 1.950000e+15
3.0816326530612246,2.8269586211371308e-58,1.654730e+15 1.950000e+15
3.204081632653061,1.6298483180022835e-58,1.654730e+15 1.950000e+15
3.326530612244898,9.375452312652868e-59,1.654730e+15 1.950000e+15
3.4489795918367347,5.381464436937242e-59,1.654730e+15 1.950000e+15
3.571428571428571,3.0825705191901377e-59,1.654730e+15 1.950000e+15
3.693877551020408,1.7622471036322088e-59,1.654730e+15 1.950000e+15
3.816326530612245,1.005530278179645e-59,1.654730e+15 1.950000e+15
3.9387755102040813,5.727013765163706e-60,1.654730e+15 1.950000e+15
4.061224489795919,3.2560676772099765e-60,1.654730e+15 1.950000e+15
4.183673469387755,1.848058408752055e-60,1.654730e+15 1.950000e+15
4.3061224489795915,1.0471715378246094e-60,1.654730e+15 1.950000e+15
4.428571428571429,5.9240771661345416e-61,1.654730e+15 1.950000e+15
4.551020408163265,3.3461352546937474e-61,1.654730e+15 1.950000e+15
4.673469387755102,1.8871387099548753e-61,1.654730e+15 1.950000e+15
4.795918367346939,1.062717842076866e-61,1.654730e+15 1.950000e+15
4.918367346938775,5.97586775415413e-62,1.654730e+15 1.950000e+15
5.040816326530612,3.355573616017822e-62,1.654730e+15 1.950000e+15
5.163265306122449,1.8816042179164616e-62,1.654730e+15 1.950000e+15
5.285714285714286,1.0536527780939046e-62,1.654730e+15 1.950000e+15
5.408163265306122,5.892311240494641e-63,1.654730e+15 1.950000e+15
5.530612244897959,3.2908130048093595e-63,1.654730e+15 1.950000e+15
5.653061224489796,1.8355230765840188e-63,1.654730e+15 1.950000e+15
5.775510204081632,1.0225033461078982e-63,1.654730e+15 1.950000e+15
5.8979591836734695,5.688875433588406e-64,1.654730e+15 1.950000e+15
6.020408163265306,3.161206989371036e-64,1.654730e+15 1.950000e+15
6.142857142857142,1.7544936701807514e-64,1.654730e+15 1.950000e+15
6.26530612244898,9.725907502237042e-65,1.654730e+15 1.950000e+15
6.387755102040816,5.385110298498633e-65,1.654730e+15 1.950000e+15
