B,dos_at_mu,System([band density])
1.0,6.002210372931449e+35,1.080000e+15 1.950000e+15
1.1016949152542372,3.700062966853115e+35,1.080000e+15 1.950000e+15
1.2033898305084745,8.52714502910256e+35,1.080000e+15 1.950000e+15
1.305084745762712,7.820222985174154e+35,1.080000e+15 1.950000e+15
1.4067796610169492,2.987715890464964e+35,1.080000e+15 1.950000e+15
1.5084745762711864,7.114283761011817e+35,1.080000e+15 1.950000e+15
1.6101694915254239,2.4878109258764403e+35,1.080000e+15 1.950000e+15
1.7118644067796611,1.3474918008048642e+36,1.080000e+15 1.950000e+15
1.8135593220338984,1.36969430225235e+36,1.080000e+15 1.950000e+15
1.9152542372881356,1.1290549677618211e+36,1.080000e+15 1.950000e+15
2.016949152542373,3.783926288407043e+35,1.080000e+15 1.950000e+15
2.1186440677966103,6.780381520468835e+34,1.080000e+15 1.950000e+15
2.2203389830508478,1.1666311614975508e+36,1.080000e+15 1.950000e+15
2.3220338983050848,1.3255111069742889e+36,1.080000e+15 1.950000e+15
2.4237288135593222,2.04825677484347e+35,1.080000e+15 1.950000e+15
2.5254237288135597,2.220525922029005e+34,1.080000e+15 1.950000e+15
2.6271186440677967,4.266027632324579e+35,1.080000e+15 1.950000e+15
2.7288135593220337,1.2871352560776962e+36,1.080000e+15 1.950000e+15
2.830508474576271,1.467731490491953e+36,1.080000e+15 1.950000e+15
2.9322033898305087,2.3437290686718045e+36,1.080000e+15 1.950000e+15
3.0338983050847457,3.497028701682331e+36,1.080000e+15 1.950000e+15
3.135593220338983,3.7373489786956745e+36,1.080000e+15 1.950000e+15
3.2372881355932206,3.65707819542715e+36,1.080000e+15 1.950000e+15
3.3389830508474576,2.9529264063362636e+36,1.080000e+15 1.950000e+15
3.440677966101695,2.1042525673321962e+36,1.080000e+15 1.950000e+15
3.5423728813559325,1.7726644000408547e+36,1.080000e+15 1.950000e+15
3.6440677966101696,1.7527105449975243e+36,1.080000e+15 1.950000e+15
3.745762711864407,1.1093642467593063e+36,1.080000e+15 1.950000e+15
3.8474576271186445,4.864540451799831e+35,1.080000e+15 1.950000e+15
3.9491525423728815,1.2073241976873818e+35,1.080000e+15 1.950000e+15
4.050847457627119,1.0075360104951811e+34,1.080000e+15 1.950000e+15
4.152542372881356,5.077112854292849e+31,1.080000e+15 1.950000e+15
4.254237288135593,7.027381169601074e+32,1.080000e+15 1.950000e+15
4.3559322033898304,2.8355913084542583e+34,1.080000e+15 1.950000e+15
4.4576271186440675,2.0670323164438824e+35,1.080000e+15 1.950000e+15
4.559322033898305,7.016190521717385e+35,1.080000e+15 1.950000e+15
4.661016949152542,1.4687694011410665e+36,1.080000e+15 1.950000e+15
4.76271186440678,2.1819157675205385e+36,1.080000e+15 1.950000e+15
4.864406779661017,2.5375338635517153e+36,1.080000e+15 1.950000e+15
4.966101694915254,2.891831178503559e+36,1.080000e+15 1.950000e+15
5.067796610169491,3.033312545324746e+36,1.080000e+15 1.950000e+15
5.169491525423729,2.7365577693437655e+36,1.080000e+15 1.950000e+15
5.271186440677966,2.1261850089294185e+36,1.080000e+15 1.950000e+15
5.372881355932203,1.5112350169814205e+36,1.080000e+15 1.950000e+15
5.474576271186441,1.0943298456283583e+36,1.080000e+15 1.950000e+15
5.576271186440678,9.244003290329685e+35,1.080000e+15 1.950000e+15
5.677966101694915,4.617816142489749e+35,1.080000e+15 1.950000e+15
5.779661016949153,1.6181412798405971e+35,1.080000e+15 1.950000e+15
5.88135593220339,3.8389077402389227e+34,1.080000e+15 1.950000e+15
5.983050847457627,5.480319367073611e+33,1.080000e+15 1.950000e+15
6.084745762711865,3.575735626203564e+32,1.080000e+15 1.950000e+15
6.186440677966102,5.439024706894767e+30,1.080000e+15 1.950000e+15
6.288135593220339,3.6038673387525014e-12,1.080000e+15 1.950000e+15
6.389830508474577,4.010255984431011e-12,1.080000e+15 1.950000e+15
6.491525423728814,4.461174171832833e-12,1.080000e+15 1.950000e+15
6.593220338983051,4.9613911434081355e-12,1.080000e+15 1.950000e+15
6.694915254237289,5.516177374214176e-12,1.080000e+15 1.950000e+15
6.796610169491526,6.131356403334542e-12,1.080000e+15 1.950000e+15
6.898305084745763,6.813361949212266e-12,1.080000e+15 1.950000e+15
7.0,7.569300840699441e-12,1.080000e+15 1.950000e+15
1.0,5.5055352106807636e+35,1.050000e+15 1.950000e+15
1.1016949152542372,2.9211502805888227e+35,1.050000e+15 1.950000e+15
1.2033898305084745,1.1942271657436601e+36,1.050000e+15 1.950000e+15
1.305084745762712,8.411211991905184e+35,1.050000e+15 1.950000e+15
1.4067796610169492,3.639365674994394e+35,1.050000e+15 1.950000e+15
1.5084745762711864,5.7415894051438164e+35,1.050000e+15 1.950000e+15
1.6101694915254239,5.282302698805016e+35,1.050000e+15 1.950000e+15
1.7118644067796611,1.4685796888523726e+36,1.050000e+15 1.950000e+15
1.8135593220338984,1.7365989812536457e+36,1.050000e+15 1.950000e+15
1.9152542372881356,1.1202597593877952e+36,1.050000e+15 1.950000e+15
2.016949152542373,3.278995573029592e+35,1.050000e+15 1.950000e+15
2.1186440677966103,1.3863329822093572e+35,1.050000e+15 1.950000e+15
2.2203389830508478,1.2933041311425975e+36,1.050000e+15 1.950000e+15
2.3220338983050848,1.1835372502120422e+36,1.050000e+15 1.950000e+15
2.4237288135593222,1.11097476157304e+35,1.050000e+15 1.950000e+15
2.5254237288135597,5.17309820844156e+34,1.050000e+15 1.950000e+15
2.6271186440677967,9.18933400789627e+35,1.050000e+15 1.950000e+15
2.7288135593220337,1.2787957512018084e+36,1.050000e+15 1.950000e+15
2.830508474576271,1.7028565421599043e+36,1.050000e+15 1.950000e+15
2.9322033898305087,2.397426654069009e+36,1.050000e+15 1.950000e+15
3.0338983050847457,3.142846472798617e+36,1.050000e+15 1.950000e+15
3.135593220338983,3.545864162996077e+36,1.050000e+15 1.950000e+15
3.2372881355932206,3.601093712320334e+36,1.050000e+15 1.950000e+15
3.3389830508474576,2.678329178445277e+36,1.050000e+15 1.950000e+15
3.440677966101695,1.7778717115128966e+36,1.050000e+15 1.950000e+15
3.5423728813559325,1.95333269021416e+36,1.050000e+15 1.950000e+15
3.6440677966101696,1.0794665582102068e+36,1.050000e+15 1.950000e+15
3.745762711864407,4.564468817888405e+35,1.050000e+15 1.950000e+15
3.8474576271186445,1.4723589872471148e+35,1.050000e+15 1.950000e+15
3.9491525423728815,2.7683713308329495e+34,1.050000e+15 1.950000e+15
4.050847457627119,8.960578778188917e+32,1.050000e+15 1.950000e+15
4.152542372881356,2.666368634609957e+30,1.050000e+15 1.950000e+15
4.254237288135593,3.49343375800782e+33,1.050000e+15 1.950000e+15
4.3559322033898304,6.200675485049283e+34,1.050000e+15 1.950000e+15
4.4576271186440675,3.200678280064366e+35,1.050000e+15 1.950000e+15
4.559322033898305,9.138071923682381e+35,1.050000e+15 1.950000e+15
4.661016949152542,1.7334368874793546e+36,1.050000e+15 1.950000e+15
4.76271186440678,2.4243360786233528e+36,1.050000e+15 1.950000e+15
4.864406779661017,2.76581363723575e+36,1.050000e+15 1.950000e+15
4.966101694915254,2.9767796966936434e+36,1.050000e+15 1.950000e+15
5.067796610169491,2.950941988461644e+36,1.050000e+15 1.950000e+15
5.169491525423729,2.5091770337311394e+36,1.050000e+15 1.950000e+15
5.271186440677966,1.8188147252907354e+36,1.050000e+15 1.950000e+15
5.372881355932203,1.1826580298834485e+36,1.050000e+15 1.950000e+15
5.474576271186441,7.597739666387558e+35,1.050000e+15 1.950000e+15
5.576271186440678,5.4616509543416324e+35,1.050000e+15 1.950000e+15
5.677966101694915,3.418363224814295e+35,1.050000e+15 1.950000e+15
5.779661016949153,1.0772685878883013e+35,1.050000e+15 1.950000e+15
5.88135593220339,2.160827395089856e+34,1.050000e+15 1.950000e+15
5.983050847457627,2.346314979682227e+33,1.050000e+15 1.950000e+15
6.084745762711865,9.584209344646107e+31,1.050000e+15 1.950000e+15
6.186440677966102,4.733112074613722e+26,1.050000e+15 1.950000e+15
6.288135593220339,1.8872626856271891e-06,1.050000e+15 1.950000e+15
6.389830508474577,2.088394058735993e-06,1.050000e+15 1.950000e+15
6.491525423728814,2.3102890976340273e-06,1.050000e+15 1.950000e+15
6.593220338983051,2.555038288290238e-06,1.050000e+15 1.950000e+15
6.694915254237289,2.824938283318517e-06,1.050000e+15 1.950000e+15
6.796610169491526,3.12251187853736e-06,1.050000e+15 1.950000e+15
6.898305084745763,3.4505298953349706e-06,1.050000e+15 1.950000e+15
7.0,3.8120351481331046e-06,1.050000e+15 1.950000e+15
1.0,6.002210372931449e+35,1.080000e+15 1.950000e+15
1.1016949152542372,3.700062966853115e+35,1.080000e+15 1.950000e+15
1.2033898305084745,8.52714502910256e+35,1.080000e+15 1.950000e+15
1.305084745762712,7.820222985174154e+35,1.080000e+15 1.950000e+15
1.4067796610169492,2.987715890464964e+35,1.080000e+15 1.950000e+15
1.5084745762711864,7.114283761011817e+35,1.080000e+15 1.950000e+15
