B,dos_at_mu,System([band density])
1.0,7.669555288047056e+35,1.673514e+15 1.950000e+15
1.1224489795918366,7.252216003086119e+35,1.673514e+15 1.950000e+15
1.2448979591836735,1.4980454179078927e+37,1.673514e+15 1.950000e+15
1.3673469387755102,4.4492270803624346e+35,1.673514e+15 1.950000e+15
1.489795918367347,1.4897507698911625e+37,1.673514e+15 1.950000e+15
1.6122448979591837,1.785027357134303e+36,1.673514e+15 1.950000e+15
1.7346938775510203,1.751141541702482e+35,1.673514e+15 1.950000e+15
1.8571428571428572,1.2217878636100793e+37,1.673514e+15 1.950000e+15
1.9795918367346939,2.118719832001302e+36,1.673514e+15 1.950000e+15
2.1020408163265305,6.408945429373418e+36,1.673514e+15 1.950000e+15
2.2244897959183674,1.7783791121672853e+31,1.673514e+15 1.950000e+15
2.3469387755102042,9.94359710186315e+34,1.673514e+15 1.950000e+15
2.4693877551020407,1.8528424008903017e+32,1.673514e+15 1.950000e+15
2.5918367346938775,1.692314000968047e+36,1.673514e+15 1.950000e+15
2.7142857142857144,7.1302495805956375e+34,1.673514e+15 1.950000e+15
2.836734693877551,2.5153954099084447e+37,1.673514e+15 1.950000e+15
2.9591836734693877,5.717499490895467e+31,1.673514e+15 1.950000e+15
3.0816326530612246,471614325447554.8,1.673514e+15 1.950000e+15
3.204081632653061,4.4785603589108607e+33,1.673514e+15 1.950000e+15
3.326530612244898,1.5970628866886076e+37,1.673514e+15 1.950000e+15
3.4489795918367347,1.0614717208427687e+29,1.673514e+15 1.950000e+15
3.571428571428571,6.056502705355019e+30,1.673514e+15 1.950000e+15
3.693877551020408,4.949586397248098e+35,1.673514e+15 1.950000e+15
3.816326530612245,1.8761797859875073e+25,1.673514e+15 1.950000e+15
3.9387755102040813,4.633639213837685e+34,1.673514e+15 1.950000e+15
4.061224489795919,2.764132935091872e+37,1.673514e+15 1.950000e+15
4.183673469387755,1.7316152233199224e+34,1.673514e+15 1.950000e+15
4.3061224489795915,4.750779485825058e+37,1.673514e+15 1.950000e+15
4.428571428571429,2.6442435034088912e+35,1.673514e+15 1.950000e+15
4.551020408163265,3.7234708490034607e+37,1.673514e+15 1.950000e+15
4.673469387755102,3.7453056236831984e+36,1.673514e+15 1.950000e+15
4.795918367346939,1.0197906607365065e+29,1.673514e+15 1.950000e+15
4.918367346938775,20749742641.90536,1.673514e+15 1.950000e+15
5.040816326530612,5.70592021631465e-19,1.673514e+15 1.950000e+15
5.163265306122449,7.445411525873328e-22,1.673514e+15 1.950000e+15
5.285714285714286,515.9738768125119,1.673514e+15 1.950000e+15
5.408163265306122,1.116221823513577e+20,1.673514e+15 1.950000e+15
5.530612244897959,2.175615865230217e+31,1.673514e+15 1.950000e+15
5.653061224489796,9.842349736799376e+36,1.673514e+15 1.950000e+15
5.775510204081632,2.410976183901578e+37,1.673514e+15 1.950000e+15
5.8979591836734695,6.89663282819529e+32,1.673514e+15 1.950000e+15
6.020408163265306,5.500021450887878e+23,1.673514e+15 1.950000e+15
6.142857142857142,143503049498.96274,1.673514e+15 1.950000e+15
6.26530612244898,0.178420194870263,1.673514e+15 1.950000e+15
6.387755102040816,0.002781395196593245,1.673514e+15 1.950000e+15
6.5102040816326525,5189168615317.787,1.673514e+15 1.950000e+15
6.63265306122449,7.709334903507017e+32,1.673514e+15 1.950000e+15
6.755102040816326,7.826731780988864e+37,1.673514e+15 1.950000e+15
6.877551020408163,8.170092923560955e+37,1.673514e+15 1.950000e+15
7.0,1.2066775934013323e+37,1.673514e+15 1.950000e+15
1.0,2.9334866512419726e+35,1.654730e+15 1.950000e+15
1.1224489795918366,2.1283559006766522e+35,1.654730e+15 1.950000e+15
1.2448979591836735,1.2839784863996232e+37,1.654730e+15 1.950000e+15
1.3673469387755102,1.0231136006010471e+35,1.654730e+15 1.950000e+15
1.489795918367347,1.7821405765807486e+37,1.654730e+15 1.950000e+15
1.6122448979591837,9.173870186674239e+35,1.654730e+15 1.950000e+15
1.7346938775510203,6.481637732634148e+35,1.654730e+15 1.950000e+15
1.8571428571428572,1.9108268157576887e+37,1.654730e+15 1.950000e+15
1.9795918367346939,5.920583259432132e+35,1.654730e+15 1.950000e+15
