B,dos_at_mu,System([band density])
1.0,5.4656698355603496e+35,1.080000e+15 1.950000e+15
1.1016949152542372,7.485421759706207e+35,1.080000e+15 1.950000e+15
1.2033898305084745,3.1336269712551727e+35,1.080000e+15 1.950000e+15
1.305084745762712,7.323383539582025e+35,1.080000e+15 1.950000e+15
1.4067796610169492,3.49513671817256e+35,1.080000e+15 1.950000e+15
1.5084745762711864,8.023262354855854e+35,1.080000e+15 1.950000e+15
1.6101694915254239,9.02487084199668e+35,1.080000e+15 1.950000e+15
1.7118644067796611,7.93266199135987e+35,1.080000e+15 1.950000e+15
1.8135593220338984,1.8092043923642914e+34,1.080000e+15 1.950000e+15
1.9152542372881356,1.0724061662094465e+36,1.080000e+15 1.950000e+15
2.016949152542373,9.015295810088252e+35,1.080000e+15 1.950000e+15
2.1186440677966103,4.509192805866633e+35,1.080000e+15 1.950000e+15
2.2203389830508478,1.0374938430114625e+36,1.080000e+15 1.950000e+15
2.3220338983050848,1.1070180254827901e+36,1.080000e+15 1.950000e+15
2.4237288135593222,1.5360883937621834e+35,1.080000e+15 1.950000e+15
2.5254237288135597,1.411823657864968e+34,1.080000e+15 1.950000e+15
2.6271186440677967,3.7138259548645164e+35,1.080000e+15 1.950000e+15
2.7288135593220337,1.5189981406968506e+36,1.080000e+15 1.950000e+15
2.830508474576271,1.6173514856447915e+36,1.080000e+15 1.950000e+15
2.9322033898305087,8.601788094904594e+35,1.080000e+15 1.950000e+15
3.0338983050847457,6.168213599330928e+34,1.080000e+15 1.950000e+15
3.135593220338983,1.2559120902034552e+28,1.080000e+15 1.950000e+15
3.2372881355932206,1.1598271271335714e+34,1.080000e+15 1.950000e+15
3.3389830508474576,1.097910413369579e+35,1.080000e+15 1.950000e+15
3.440677966101695,5.664709992748949e+35,1.080000e+15 1.950000e+15
3.5423728813559325,1.5551394387055546e+36,1.080000e+15 1.950000e+15
3.6440677966101696,2.2364189403242858e+36,1.080000e+15 1.950000e+15
3.745762711864407,2.3495840184096605e+36,1.080000e+15 1.950000e+15
3.8474576271186445,2.3258729514603128e+36,1.080000e+15 1.950000e+15
3.9491525423728815,1.8482568840108603e+36,1.080000e+15 1.950000e+15
4.050847457627119,1.3485253155033355e+36,1.080000e+15 1.950000e+15
4.152542372881356,9.689803079361932e+35,1.080000e+15 1.950000e+15
4.254237288135593,7.738760258097069e+35,1.080000e+15 1.950000e+15
4.3559322033898304,8.19447104207083e+35,1.080000e+15 1.950000e+15
4.4576271186440675,1.0456398304307512e+36,1.080000e+15 1.950000e+15
4.559322033898305,1.3993885841562294e+36,1.080000e+15 1.950000e+15
