B,dos_at_mu,System([band density])
1.0,8.98322224242599e+35,1.080000e+15 1.950000e+15
1.0302013422818792,1.0169311224537232e+36,1.080000e+15 1.950000e+15
1.0604026845637584,1.0519354168957406e+36,1.080000e+15 1.950000e+15
1.0906040268456376,8.610622772347986e+35,1.080000e+15 1.950000e+15
1.1208053691275168,4.429691436475796e+35,1.080000e+15 1.950000e+15
1.151006711409396,3.1997310264626808e+35,1.080000e+15 1.950000e+15
1.1812080536912752,7.332882049586172e+35,1.080000e+15 1.950000e+15
1.2114093959731544,1.0617227847048652e+36,1.080000e+15 1.950000e+15
1.2416107382550337,1.1865668014502058e+36,1.080000e+15 1.950000e+15
1.2718120805369129,1.1390600863997884e+36,1.080000e+15 1.950000e+15
1.302013422818792,1.0140263695573605e+36,1.080000e+15 1.950000e+15
1.3322147651006713,8.838064642510204e+35,1.080000e+15 1.950000e+15
1.3624161073825505,7.994444345324792e+35,1.080000e+15 1.950000e+15
1.3926174496644297,8.18583486875589e+35,1.080000e+15 1.950000e+15
1.4228187919463087,9.174098255025278e+35,1.080000e+15 1.950000e+15
1.4530201342281879,9.821606308528394e+35,1.080000e+15 1.950000e+15
1.483221476510067,8.947607762396414e+35,1.080000e+15 1.950000e+15
1.5134228187919463,6.1475887706672486e+35,1.080000e+15 1.950000e+15
1.5436241610738255,2.4474614692964196e+35,1.080000e+15 1.950000e+15
1.5738255033557047,6.771618302942294e+34,1.080000e+15 1.950000e+15
1.604026845637584,2.9489689856930068e+35,1.080000e+15 1.950000e+15
1.6342281879194631,6.820751350230184e+35,1.080000e+15 1.950000e+15
1.6644295302013423,1.0803682616346965e+36,1.080000e+15 1.950000e+15
1.6946308724832215,1.4346377870696922e+36,1.080000e+15 1.950000e+15
1.7248322147651007,1.70244335368255e+36,1.080000e+15 1.950000e+15
1.75503355704698,1.853619894849371e+36,1.080000e+15 1.950000e+15
1.7852348993288591,1.8869008940941113e+36,1.080000e+15 1.950000e+15
1.8154362416107381,1.8285572925745057e+36,1.080000e+15 1.950000e+15
1.8456375838926173,1.7153921154711597e+36,1.080000e+15 1.950000e+15
1.8758389261744965,1.5774923325247258e+36,1.080000e+15 1.950000e+15
1.9060402684563758,1.4295385366945728e+36,1.080000e+15 1.950000e+15
1.936241610738255,1.2528027720133456e+36,1.080000e+15 1.950000e+15
1.9664429530201342,1.0420211881483881e+36,1.080000e+15 1.950000e+15
1.9966442953020134,8.024895008733427e+35,1.080000e+15 1.950000e+15
2.0268456375838926,5.0195625982982894e+35,1.080000e+15 1.950000e+15
2.057046979865772,2.32426127583087e+35,1.080000e+15 1.950000e+15
2.087248322147651,1.3005061999438681e+35,1.080000e+15 1.950000e+15
2.11744966442953,2.1709209887302412e+35,1.080000e+15 1.950000e+15
2.1476510067114094,4.45718788138673e+35,1.080000e+15 1.950000e+15
2.1778523489932886,7.362216960225671e+35,1.080000e+15 1.950000e+15
2.208053691275168,1.0162962377578111e+36,1.080000e+15 1.950000e+15
2.238255033557047,1.235073605371284e+36,1.080000e+15 1.950000e+15
2.2684563758389262,1.3569231203464306e+36,1.080000e+15 1.950000e+15
2.2986577181208054,1.3601780399792073e+36,1.080000e+15 1.950000e+15
2.3288590604026846,1.2418643041576056e+36,1.080000e+15 1.950000e+15
2.359060402684564,1.0213292744579533e+36,1.080000e+15 1.950000e+15
2.389261744966443,7.388464226947201e+35,1.080000e+15 1.950000e+15
2.4194630872483223,4.4920539334295286e+35,1.080000e+15 1.950000e+15
2.4496644295302015,2.1044005614278753e+35,1.080000e+15 1.950000e+15
2.4798657718120807,6.4205982249952835e+34,1.080000e+15 1.950000e+15
2.51006711409396,1.7229806506355e+33,1.080000e+15 1.950000e+15
2.540268456375839,2.8241933033023855e+34,1.080000e+15 1.950000e+15
2.5704697986577183,1.1922136034957574e+35,1.080000e+15 1.950000e+15
2.6006711409395975,2.770820945933426e+35,1.080000e+15 1.950000e+15
2.6308724832214763,4.7121447736964135e+35,1.080000e+15 1.950000e+15
2.6610738255033555,6.771772487733855e+35,1.080000e+15 1.950000e+15
2.6912751677852347,8.859541089034854e+35,1.080000e+15 1.950000e+15
2.721476510067114,1.0979148927693197e+36,1.080000e+15 1.950000e+15
2.751677852348993,1.3167221924553123e+36,1.080000e+15 1.950000e+15
2.7818791946308723,1.545880872875566e+36,1.080000e+15 1.950000e+15
2.8120805369127515,1.787057610223306e+36,1.080000e+15 1.950000e+15
2.8422818791946307,2.0393206695003967e+36,1.080000e+15 1.950000e+15
2.87248322147651,2.2989173023596112e+36,1.080000e+15 1.950000e+15
2.902684563758389,2.5594869478280095e+36,1.080000e+15 1.950000e+15
2.9328859060402683,2.812697448684973e+36,1.080000e+15 1.950000e+15
2.9630872483221475,3.049259374801911e+36,1.080000e+15 1.950000e+15
2.9932885906040267,3.2601863577489537e+36,1.080000e+15 1.950000e+15
3.023489932885906,3.438086284886318e+36,1.080000e+15 1.950000e+15
3.053691275167785,3.5782356246716864e+36,1.080000e+15 1.950000e+15
3.0838926174496644,3.679228434960411e+36,1.080000e+15 1.950000e+15
3.1140939597315436,3.7430923804036354e+36,1.080000e+15 1.950000e+15
3.1442953020134228,3.774890422954972e+36,1.080000e+15 1.950000e+15
3.174496644295302,3.7807747505050576e+36,1.080000e+15 1.950000e+15
3.204697986577181,3.7573216799183277e+36,1.080000e+15 1.950000e+15
3.2348993288590604,3.700401555662801e+36,1.080000e+15 1.950000e+15
3.2651006711409396,3.609073226168255e+36,1.080000e+15 1.950000e+15
3.295302013422819,3.48539309346002e+36,1.080000e+15 1.950000e+15
3.325503355704698,3.333958175511343e+36,1.080000e+15 1.950000e+15
3.3557046979865772,3.1611455804974273e+36,1.080000e+15 1.950000e+15
3.3859060402684564,2.9742116727591913e+36,1.080000e+15 1.950000e+15
3.4161073825503356,2.7804184259411797e+36,1.080000e+15 1.950000e+15
3.446308724832215,2.5863192703222908e+36,1.080000e+15 1.950000e+15
3.476510067114094,2.397278254673035e+36,1.080000e+15 1.950000e+15
