B,den,N,Band,System([band density])
4.970772442588727,4435661121361024.0,2,0,2.500000e+15 1.950000e+15
3.3423799582463465,4440467183438192.0,3,0,2.500000e+15 1.950000e+15
1.4634655532359082,4450784578928907.0,7,0,2.500000e+15 1.950000e+15
2.515657620041754,4446325609411471.0,4,0,2.481216e+15 1.950000e+15
2.0271398747390394,4441857278286094.0,5,0,2.481216e+15 1.950000e+15
4.908141962421713,4424476399031233.0,2,0,2.462432e+15 1.950000e+15
1.2630480167014615,4418184597665549.0,8,0,2.462432e+15 1.950000e+15
1.0125260960334028,4405760154476790.0,10,0,2.462432e+15 1.950000e+15
4.870563674321503,4388107236797672.0,2,0,2.443649e+15 1.950000e+15
3.893528183716075,4390901363793461.0,2,1,2.443649e+15 1.950000e+15
2.640918580375783,4406469685273210.5,3,1,2.443649e+15 1.950000e+15
3.893528183716075,4388715615399400.5,2,1,2.424865e+15 1.950000e+15
2.640918580375783,4387504512224072.0,3,1,2.424865e+15 1.950000e+15
3.22964509394572,4370155287247174.0,3,0,2.406081e+15 1.950000e+15
2.640918580375783,4370937992217326.0,3,1,2.406081e+15 1.950000e+15
4.77035490605428,4343850661272782.0,2,0,2.387297e+15 1.950000e+15
3.2045929018789145,4335722132014126.0,3,0,2.387297e+15 1.950000e+15
1.2254697286012526,4341316729364357.5,8,0,2.387297e+15 1.950000e+15
4.732776617954071,4309054566199217.0,2,0,2.368514e+15 1.950000e+15
1.3883089770354906,4318463634113089.0,7,0,2.368514e+15 1.950000e+15
3.8810020876826723,4310902157639830.5,2,1,2.368514e+15 1.950000e+15
1.989561586638831,4331842434453858.0,4,1,2.368514e+15 1.950000e+15
3.8810020876826723,4308513715710500.0,2,1,2.349730e+15 1.950000e+15
1.989561586638831,4307193269020924.5,4,1,2.349730e+15 1.950000e+15
2.3653444676409183,4295356636165888.0,4,0,2.330946e+15 1.950000e+15
1.5887265135699375,4266500072367612.0,6,0,2.330946e+15 1.950000e+15
1.989561586638831,4284545255096879.0,4,1,2.330946e+15 1.950000e+15
4.632567849686848,4272546005080820.0,2,0,2.312162e+15 1.950000e+15
1.5762004175365345,4257674918303324.0,6,0,2.312162e+15 1.950000e+15
1.187891440501044,4273315567664694.0,8,0,2.312162e+15 1.950000e+15
1.989561586638831,4264173283838642.0,4,1,2.312162e+15 1.950000e+15
4.5949895615866385,4241028350261963.0,2,0,2.293378e+15 1.950000e+15
2.32776617954071,4241673485280213.0,4,0,2.293378e+15 1.950000e+15
1.5636743215031315,4247920697517953.5,6,0,2.293378e+15 1.950000e+15
1.989561586638831,4246204961074129.0,4,1,2.293378e+15 1.950000e+15
4.55741127348643,4210650112169092.0,2,0,2.274595e+15 1.950000e+15
3.066805845511482,4229416033481912.5,3,0,2.274595e+15 1.950000e+15
1.5511482254697286,4236817475420567.0,6,0,2.274595e+15 1.950000e+15
3.8684759916492695,4221406387359301.0,2,1,2.274595e+15 1.950000e+15
1.989561586638831,4230614818380429.5,4,1,2.274595e+15 1.950000e+15
3.0417536534446765,4197074941684827.0,3,0,2.255811e+15 1.950000e+15
1.8392484342379958,4200934105152261.5,5,0,2.255811e+15 1.950000e+15
3.8684759916492695,4214903807317348.0,2,1,2.255811e+15 1.950000e+15
2.6283924843423803,4190901613517776.0,3,1,2.255811e+15 1.950000e+15
1.989561586638831,4217230733913973.0,4,1,2.255811e+15 1.950000e+15
2.6283924843423803,4185237494222982.0,3,1,2.237027e+15 1.950000e+15
2.6283924843423803,4179080076181081.5,3,1,2.218243e+15 1.950000e+15
1.2881002087682671,4153102752469436.0,7,0,2.199459e+15 1.950000e+15
2.2025052192066807,4111643318279714.5,4,0,2.161892e+15 1.950000e+15
1.7515657620041754,4091276033443757.5,5,0,2.143108e+15 1.950000e+15
1.1002087682672235,4099793288558640.0,8,0,2.143108e+15 1.950000e+15
2.164926931106472,4062895706612257.5,4,0,2.124324e+15 1.950000e+15
1.4509394572025052,4088095972401658.5,6,0,2.124324e+15 1.950000e+15
1.4384133611691023,4066055807113594.0,6,0,2.105541e+15 1.950000e+15
2.127348643006263,4022879011173052.5,4,0,2.086757e+15 1.950000e+15
1.4258872651356995,4045061576705625.0,6,0,2.086757e+15 1.950000e+15
1.4133611691022965,4025709799978828.5,6,0,2.067973e+15 1.950000e+15
1.2129436325678498,4022810628992847.0,7,0,2.067973e+15 1.950000e+15
1.0626304801670146,4027662803249531.0,8,0,2.067973e+15 1.950000e+15
3.8684759916492695,4026067475278802.0,2,1,2.067973e+15 1.950000e+15
4.106471816283925,3996061314759286.0,2,0,2.049189e+15 1.950000e+15
2.0897703549060545,3993379070733531.5,4,0,2.049189e+15 1.950000e+15
1.6764091858037578,3989825530761931.0,5,0,2.049189e+15 1.950000e+15
1.4008350730688934,4008482293980174.0,6,0,2.049189e+15 1.950000e+15
3.8684759916492695,3991345688702143.5,2,1,2.049189e+15 1.950000e+15
4.068893528183716,3993294511697576.0,2,0,2.030405e+15 1.950000e+15
1.3883089770354906,3993675197709478.0,6,0,2.030405e+15 1.950000e+15
2.0521920668058455,3974296862602980.5,4,0,2.011622e+15 1.950000e+15
2.6910229645093944,3932536081465042.0,3,0,1.992838e+15 1.950000e+15
3.8810020876826723,3942904348262119.5,2,1,1.992838e+15 1.950000e+15
2.6283924843423803,3955757593571968.0,3,1,1.992838e+15 1.950000e+15
3.943632567849687,3923821166784399.0,2,0,1.974054e+15 1.950000e+15
2.6659707724425887,3929340883642551.0,3,0,1.974054e+15 1.950000e+15
1.6137787056367432,3914167837217376.0,5,0,1.974054e+15 1.950000e+15
2.6283924843423803,3922043046271210.0,3,1,1.974054e+15 1.950000e+15
3.893528183716075,3882822470638838.0,2,1,1.936486e+15 1.950000e+15
3.8183716075156577,3856083894909413.5,2,0,1.917703e+15 1.950000e+15
1.951983298538622,3873824098222522.0,4,0,1.917703e+15 1.950000e+15
3.780793319415449,3855240206568432.0,2,0,1.898919e+15 1.950000e+15
1.5511482254697286,3844654078540068.5,5,0,1.898919e+15 1.950000e+15
1.1127348643006263,3841358485674355.5,7,0,1.898919e+15 1.950000e+15
1.989561586638831,3862595547685835.0,4,1,1.898919e+15 1.950000e+15
3.9060542797494784,3825089657008349.0,2,1,1.880135e+15 1.950000e+15
1.989561586638831,3834378814330779.5,4,1,1.880135e+15 1.950000e+15
1.989561586638831,3808566117056413.0,4,1,1.861351e+15 1.950000e+15
2.640918580375783,3798329829410255.0,3,1,1.842568e+15 1.950000e+15
1.989561586638831,3785637535551717.0,4,1,1.842568e+15 1.950000e+15
3.918580375782881,3782958924209169.5,2,1,1.823784e+15 1.950000e+15
2.640918580375783,3772818163373342.0,3,1,1.823784e+15 1.950000e+15
1.989561586638831,3765863497140780.0,4,1,1.823784e+15 1.950000e+15
