B,den,N,Band,System([band density])
1.0,3042037573536667.0,8,1,1.080000e+15 1.950000e+15
1.4067796610169492,2979343659660713.0,3,0,1.030000e+15 1.950000e+15
3.9491525423728815,2960084547320082.0,2,1,1.010000e+15 1.950000e+15
1.0,2931050146828938.0,8,1,9.700000e+14 1.950000e+15
1.9152542372881356,2890553105864084.0,2,0,9.490000e+14 1.950000e+15
3.6440677966101696,2871174580567790.0,1,0,9.070000e+14 1.950000e+15
1.0,2800500732246376.5,8,1,8.650000e+14 1.950000e+15
1.0,2800299629250297.0,8,1,8.440000e+14 1.950000e+15
1.0,2674622811644724.0,3,0,7.390000e+14 1.950000e+15 1.100000e+13 1.100000e+13
1.5084745762711864,2658742928334081.0,0,2,7.390000e+14 1.950000e+15 1.100000e+13 1.100000e+13
1.7118644067796611,2669257614450945.0,0,3,7.390000e+14 1.950000e+15 1.100000e+13 1.100000e+13
4.152542372881356,2670412402708074.0,0,3,7.390000e+14 1.950000e+15 1.100000e+13 1.100000e+13
4.559322033898305,2666903477283062.0,0,3,7.390000e+14 1.950000e+15 1.100000e+13 1.100000e+13
1.0,2665252548622867.0,1,3,7.390000e+14 1.950000e+15 1.100000e+13 1.100000e+13
1.305084745762712,2663659905214037.0,1,3,7.390000e+14 1.950000e+15 1.100000e+13 1.100000e+13
1.1016949152542372,2612515642915490.5,0,2,7.180000e+14 1.950000e+15 3.200000e+13 3.200000e+13
1.4067796610169492,2603840647600818.0,0,2,7.180000e+14 1.950000e+15 3.200000e+13 3.200000e+13
4.254237288135593,2600636148069926.0,0,3,7.180000e+14 1.950000e+15 3.200000e+13 3.200000e+13
4.3559322033898304,2588023548772292.0,0,3,7.180000e+14 1.950000e+15 3.200000e+13 3.200000e+13
4.4576271186440675,2617491211336450.0,0,3,7.180000e+14 1.950000e+15 3.200000e+13 3.200000e+13
1.0,2594444316597971.0,1,3,7.180000e+14 1.950000e+15 3.200000e+13 3.200000e+13
2.830508474576271,2544937211788966.0,1,0,6.970000e+14 1.950000e+15 5.300000e+13 5.300000e+13
2.6271186440677967,2523653402467862.0,3,1,6.970000e+14 1.950000e+15 5.300000e+13 5.300000e+13
1.4067796610169492,2540981131248335.0,0,2,6.970000e+14 1.950000e+15 5.300000e+13 5.300000e+13
1.9152542372881356,2531090305035300.0,0,2,6.970000e+14 1.950000e+15 5.300000e+13 5.300000e+13
2.4237288135593222,2532585972837594.0,0,2,6.970000e+14 1.950000e+15 5.300000e+13 5.300000e+13
1.0,2536086847338655.5,1,3,6.970000e+14 1.950000e+15 5.300000e+13 5.300000e+13
2.6271186440677967,2464806572873648.0,3,1,6.760000e+14 1.950000e+15 7.400000e+13 7.400000e+13
