B,den,N,Band,System([band density])
4.254237288135593,2982730779491898.0,1,0,1.030000e+15 1.950000e+15
3.9491525423728815,2975810228670344.0,2,1,1.030000e+15 1.950000e+15
3.9491525423728815,2931202806059314.5,1,0,9.700000e+14 1.950000e+15
4.050847457627119,2825727156269976.0,2,1,8.650000e+14 1.950000e+15
1.2033898305084745,2808343635021947.0,3,0,8.440000e+14 1.950000e+15
4.050847457627119,2789535739105677.5,2,1,8.440000e+14 1.950000e+15
4.050847457627119,2766578224265438.5,2,1,8.230000e+14 1.950000e+15
4.050847457627119,2753646793538057.0,2,1,8.020000e+14 1.950000e+15
4.050847457627119,2747246330368617.0,2,1,7.810000e+14 1.950000e+15
1.6101694915254239,2696124089234035.0,2,0,7.600000e+14 1.950000e+15
3.0338983050847457,2678202255816196.0,0,3,7.390000e+14 1.950000e+15 1.100000e+13 1.100000e+13
3.135593220338983,2678189833716288.0,0,3,7.390000e+14 1.950000e+15 1.100000e+13 1.100000e+13
4.152542372881356,2668787333818899.5,0,3,7.390000e+14 1.950000e+15 1.100000e+13 1.100000e+13
4.661016949152542,2682302694197190.0,0,3,7.390000e+14 1.950000e+15 1.100000e+13 1.100000e+13
2.9322033898305087,2612091825589102.5,0,3,7.180000e+14 1.950000e+15 3.200000e+13 3.200000e+13
3.0338983050847457,2587504896534331.0,0,3,7.180000e+14 1.950000e+15 3.200000e+13 3.200000e+13
3.135593220338983,2594090739872324.5,0,3,7.180000e+14 1.950000e+15 3.200000e+13 3.200000e+13
3.2372881355932206,2616704543628253.0,0,3,7.180000e+14 1.950000e+15 3.200000e+13 3.200000e+13
4.254237288135593,2612978742288771.5,0,3,7.180000e+14 1.950000e+15 3.200000e+13 3.200000e+13
4.3559322033898304,2586888408540507.0,0,3,7.180000e+14 1.950000e+15 3.200000e+13 3.200000e+13
4.4576271186440675,2594425192318481.0,0,3,7.180000e+14 1.950000e+15 3.200000e+13 3.200000e+13
2.2203389830508478,2557041061430400.0,0,3,6.970000e+14 1.950000e+15 5.300000e+13 5.300000e+13
3.2372881355932206,2557733802109895.5,0,3,6.970000e+14 1.950000e+15 5.300000e+13 5.300000e+13
