B,den,N,Band,System([band density])
2.016949152542373,2983146934929818.0,4,1,1.030000e+15 1.950000e+15
3.440677966101695,2824544077422659.0,1,0,8.650000e+14 1.950000e+15
3.2372881355932206,2761151224489384.5,1,0,8.020000e+14 1.950000e+15
3.0338983050847457,2675820353996412.5,1,0,7.390000e+14 1.950000e+15 1.100000e+13 1.100000e+13
3.9491525423728815,2680815047321107.0,0,3,7.390000e+14 1.950000e+15 1.100000e+13 1.100000e+13
4.76271186440678,2675855363772393.5,0,3,7.390000e+14 1.950000e+15 1.100000e+13 1.100000e+13
2.6271186440677967,2596317919781982.0,3,1,7.180000e+14 1.950000e+15 3.200000e+13 3.200000e+13
2.016949152542373,2593068786561647.5,4,1,7.180000e+14 1.950000e+15 3.200000e+13 3.200000e+13
2.2203389830508478,2592702996538626.5,0,3,7.180000e+14 1.950000e+15 3.200000e+13 3.200000e+13
2.830508474576271,2608881774142042.0,0,3,7.180000e+14 1.950000e+15 3.200000e+13 3.200000e+13
3.3389830508474576,2601814794693597.5,0,3,7.180000e+14 1.950000e+15 3.200000e+13 3.200000e+13
4.661016949152542,2611383501782309.0,0,3,7.180000e+14 1.950000e+15 3.200000e+13 3.200000e+13
2.6271186440677967,2523641544348521.0,3,1,6.970000e+14 1.950000e+15 5.300000e+13 5.300000e+13
2.4237288135593222,2557242193211828.0,0,2,6.970000e+14 1.950000e+15 5.300000e+13 5.300000e+13
2.5254237288135597,2529737766096728.0,0,2,6.970000e+14 1.950000e+15 5.300000e+13 5.300000e+13
1.9152542372881356,2542009541000133.5,0,3,6.970000e+14 1.950000e+15 5.300000e+13 5.300000e+13
4.559322033898305,2551040639281123.0,0,3,6.970000e+14 1.950000e+15 5.300000e+13 5.300000e+13
3.9491525423728815,2488334323894453.0,2,1,6.760000e+14 1.950000e+15 7.400000e+13 7.400000e+13
2.3220338983050848,2470970716430404.0,0,2,6.760000e+14 1.950000e+15 7.400000e+13 7.400000e+13
2.5254237288135597,2470469583488797.0,0,2,6.760000e+14 1.950000e+15 7.400000e+13 7.400000e+13
2.016949152542373,2489796054975093.5,0,3,6.760000e+14 1.950000e+15 7.400000e+13 7.400000e+13
3.2372881355932206,2482810548251876.0,0,3,6.760000e+14 1.950000e+15 7.400000e+13 7.400000e+13
4.152542372881356,2495686487285632.5,0,3,6.760000e+14 1.950000e+15 7.400000e+13 7.400000e+13
4.254237288135593,2462097374102477.0,0,3,6.760000e+14 1.950000e+15 7.400000e+13 7.400000e+13
4.3559322033898304,2467151478445074.0,0,3,6.760000e+14 1.950000e+15 7.400000e+13 7.400000e+13
1.8135593220338984,2434220498140137.0,0,3,6.570000e+14 1.950000e+15 9.500000e+13 9.500000e+13
2.2203389830508478,2355834617577515.5,0,2,6.536000e+14 1.950000e+15 1.160000e+14 1.160000e+14
2.5254237288135597,2371108248331829.5,0,2,6.536000e+14 1.950000e+15 1.160000e+14 1.160000e+14
3.135593220338983,2386547943254468.5,0,3,6.536000e+14 1.950000e+15 1.160000e+14 1.160000e+14
1.9152542372881356,2325078907503692.0,0,2,6.502000e+14 1.950000e+15 1.370000e+14 1.370000e+14
1.2033898305084745,2327109892816201.0,0,3,6.502000e+14 1.950000e+15 1.370000e+14 1.370000e+14
1.305084745762712,2308741241948445.0,0,3,6.502000e+14 1.950000e+15 1.370000e+14 1.370000e+14
