B,den,N,Band,System([band density])
1.2818791946308725,4452559934001296.0,8,0,2.500000e+15 1.950000e+15
3.8993288590604025,4429514965574207.0,2,1,2.481216e+15 1.950000e+15
4.906040268456376,4414003252328600.0,2,0,2.462432e+15 1.950000e+15
3.295302013422819,4398693459906845.0,3,0,2.462432e+15 1.950000e+15
1.4429530201342282,4425818463894845.0,7,0,2.462432e+15 1.950000e+15
3.8993288590604025,4426573628498394.5,2,1,2.462432e+15 1.950000e+15
4.6644295302013425,4275959389716915.5,2,0,2.330946e+15 1.950000e+15
3.134228187919463,4269448764060011.0,3,0,2.330946e+15 1.950000e+15
2.328859060402684,4253625278968834.5,4,0,2.293378e+15 1.950000e+15
1.563758389261745,4249317106004290.0,6,0,2.293378e+15 1.950000e+15
2.973154362416107,4159034985408061.5,3,0,2.199459e+15 1.950000e+15
3.8590604026845634,4118294316070165.5,2,1,2.180676e+15 1.950000e+15
4.342281879194631,4117003777875212.5,2,0,2.161892e+15 1.950000e+15
3.8590604026845634,4101655131313504.0,2,1,2.161892e+15 1.950000e+15
4.302013422818792,4085732497168376.0,2,0,2.143108e+15 1.950000e+15
3.8590604026845634,4082210763111757.5,2,1,2.143108e+15 1.950000e+15
3.8590604026845634,4059780596046724.5,2,1,2.124324e+15 1.950000e+15
1.0805369127516777,4044398845050416.5,8,0,2.105541e+15 1.950000e+15
2.12751677852349,4024738991922200.0,4,0,2.086757e+15 1.950000e+15
2.771812080536913,3998357534767823.5,3,0,2.049189e+15 1.950000e+15
1.2013422818791946,3988114241704442.0,7,0,2.049189e+15 1.950000e+15
2.6912751677852347,3934712304009945.0,3,0,1.992838e+15 1.950000e+15
1.3624161073825503,3957047353373696.5,6,0,1.992838e+15 1.950000e+15
3.8590604026845634,3873290371656796.0,2,0,1.936486e+15 1.950000e+15
2.610738255033557,3878303153246721.0,3,0,1.936486e+15 1.950000e+15
1.3221476510067114,3885559016695357.0,6,0,1.936486e+15 1.950000e+15
3.8187919463087248,3858482399715247.0,2,0,1.917703e+15 1.950000e+15
3.8993288590604025,3871831485575493.0,2,1,1.917703e+15 1.950000e+15
3.7785234899328857,3842249580359884.0,2,0,1.898919e+15 1.950000e+15
3.7382550335570466,3823964909789229.5,2,0,1.880135e+15 1.950000e+15
3.697986577181208,3803072113750841.0,2,0,1.861351e+15 1.950000e+15
3.657718120805369,3779054932896115.5,2,0,1.842568e+15 1.950000e+15
1.0805369127516777,3791383739459145.0,7,0,1.842568e+15 1.950000e+15
6.9597315436241605,3788262857367352.0,1,0,1.823784e+15 1.950000e+15
6.879194630872483,3766104612498322.5,1,0,1.805000e+15 1.950000e+15
6.798657718120805,3739311198133750.0,1,0,1.786216e+15 1.950000e+15
6.718120805369127,3707652083806959.0,1,0,1.767432e+15 1.950000e+15
1.7651006711409396,3693704766571817.5,4,0,1.729865e+15 1.950000e+15
1.4026845637583891,3674506379802116.0,5,0,1.711081e+15 1.950000e+15
6.355704697986577,3611393022190560.5,1,0,1.673514e+15 1.950000e+15
3.3355704697986575,3637615141808133.5,2,0,1.673514e+15 1.950000e+15
6.154362416107382,3563469006077919.0,1,0,1.617162e+15 1.950000e+15
