B,den,N,Band,System([band density])
4.363636363636364,3031747949717804.0,1,0,1.080000e+15 1.950000e+15
0.8080808080808082,2911621760824079.5,5,0,9.700000e+14 1.950000e+15
0.6464646464646465,2891136985972188.5,8,0,9.490000e+14 1.950000e+15
0.6464646464646465,2889859765237733.0,8,0,9.280000e+14 1.950000e+15
0.6464646464646465,2736539793602003.5,7,0,8.020000e+14 1.950000e+15
0.6464646464646465,2735977214962294.0,7,0,7.810000e+14 1.950000e+15
1.1313131313131315,2658924087965538.0,0,2,7.390000e+14 1.950000e+15 1.100000e+13 1.100000e+13
4.202020202020202,2654977522930788.5,0,2,7.390000e+14 1.950000e+15 1.100000e+13 1.100000e+13
4.363636363636364,2655854879368177.0,0,2,7.390000e+14 1.950000e+15 1.100000e+13 1.100000e+13
1.6161616161616164,2607993732985932.5,0,2,7.180000e+14 1.950000e+15 3.200000e+13 3.200000e+13
1.292929292929293,2554528175821709.0,0,3,6.970000e+14 1.950000e+15 5.300000e+13 5.300000e+13
2.4242424242424243,2533841875009437.5,0,3,6.970000e+14 1.950000e+15 5.300000e+13 5.300000e+13
0.8080808080808082,2481625735438872.5,0,2,6.760000e+14 1.950000e+15 7.400000e+13 7.400000e+13
0.6464646464646465,2421424824775131.0,5,0,6.570000e+14 1.950000e+15 9.500000e+13 9.500000e+13
0.8080808080808082,2356494903719099.5,0,3,6.536000e+14 1.950000e+15 1.160000e+14 1.160000e+14
0.9696969696969697,2379394122407842.0,0,3,6.536000e+14 1.950000e+15 1.160000e+14 1.160000e+14
1.9393939393939394,2381960679458696.5,0,3,6.536000e+14 1.950000e+15 1.160000e+14 1.160000e+14
2.262626262626263,2378283274655146.0,0,3,6.536000e+14 1.950000e+15 1.160000e+14 1.160000e+14
1.777777777777778,2311391477418724.0,0,3,6.502000e+14 1.950000e+15 1.370000e+14 1.370000e+14
0.48484848484848486,2284586299562740.5,9,0,6.468000e+14 1.950000e+15 1.580000e+14 1.580000e+14
6.464646464646465,2264770122071012.0,0,3,6.468000e+14 1.950000e+15 1.580000e+14 1.580000e+14
6.626262626262627,2293995513560335.0,0,3,6.468000e+14 1.950000e+15 1.580000e+14 1.580000e+14
6.787878787878788,2291115481649149.0,0,3,6.468000e+14 1.950000e+15 1.580000e+14 1.580000e+14
1.4545454545454546,2247351241884018.5,0,3,6.434000e+14 1.950000e+15 1.790000e+14 1.790000e+14
2.101010101010101,2237019934852695.0,0,3,6.434000e+14 1.950000e+15 1.790000e+14 1.790000e+14
6.303030303030304,2219669750023989.5,0,3,6.434000e+14 1.950000e+15 1.790000e+14 1.790000e+14
