B,den,N,Band,System([band density])
4.407098121085595,3038184993412777.0,1,0,1.080000e+15 1.950000e+15
3.9060542797494784,3023918300178728.0,2,1,1.080000e+15 1.950000e+15
2.6910229645093944,3023588336332022.5,3,1,1.080000e+15 1.950000e+15
2.0146137787056366,3046903385299906.0,4,1,1.080000e+15 1.950000e+15
1.638830897703549,3045815836796474.0,5,1,1.080000e+15 1.950000e+15
4.281837160751566,2994656511907255.0,1,0,1.050000e+15 1.950000e+15
1.475991649269311,3010149457248237.0,3,0,1.050000e+15 1.950000e+15
1.1127348643006263,2997544631139166.5,4,0,1.050000e+15 1.950000e+15
2.0146137787056366,3008303752248380.0,4,1,1.050000e+15 1.950000e+15
1.638830897703549,3017218812514857.0,5,1,1.050000e+15 1.950000e+15
1.1753653444676408,3014771709018412.0,7,1,1.050000e+15 1.950000e+15
4.1941544885177455,2979767478674644.5,1,0,1.030000e+15 1.950000e+15
2.152400835073069,2974705833628370.0,2,0,1.030000e+15 1.950000e+15
1.4509394572025052,2991098157496054.5,3,0,1.030000e+15 1.950000e+15
2.0146137787056366,2964215908310585.5,4,1,1.030000e+15 1.950000e+15
1.1753653444676408,2986024358764951.0,7,1,1.030000e+15 1.950000e+15
4.093945720250522,2957716970142074.5,1,0,1.010000e+15 1.950000e+15
2.6784968684759916,2945876049998278.0,3,1,1.010000e+15 1.950000e+15
1.3632567849686847,2977058069047911.5,6,1,1.010000e+15 1.950000e+15
1.1753653444676408,2970311593825648.5,7,1,1.010000e+15 1.950000e+15
3.9812108559498958,2938540095276175.0,1,0,9.910000e+14 1.950000e+15
2.6784968684759916,2945868309777741.5,3,1,9.910000e+14 1.950000e+15
1.3632567849686847,2946422065113304.5,6,1,9.910000e+14 1.950000e+15
1.3632567849686847,2903807884146990.0,3,0,9.700000e+14 1.950000e+15
3.9561586638830897,2920232672082103.0,2,1,9.700000e+14 1.950000e+15
2.0271398747390394,2910239816128881.0,4,1,9.700000e+14 1.950000e+15
1.3632567849686847,2914583453411747.0,6,1,9.700000e+14 1.950000e+15
3.768267223382046,2909060964061852.0,1,0,9.490000e+14 1.950000e+15
3.6805845511482254,2894555651721396.0,1,0,9.280000e+14 1.950000e+15
1.9269311064718164,2880235325684511.0,2,0,9.280000e+14 1.950000e+15
3.9937369519832986,2893136068848041.0,2,1,9.280000e+14 1.950000e+15
2.6659707724425887,2871554370989503.0,3,1,9.280000e+14 1.950000e+15
1.626304801670146,2872197079210585.5,5,1,9.280000e+14 1.950000e+15
2.6659707724425887,2871554295078824.0,3,1,9.070000e+14 1.950000e+15
1.626304801670146,2870861404329527.0,5,1,9.070000e+14 1.950000e+15
3.5177453027139878,2844341197992749.0,1,0,8.860000e+14 1.950000e+15
1.2505219206680585,2819634226659131.0,3,0,8.860000e+14 1.950000e+15
4.006263048016701,2825101308259943.5,2,1,8.860000e+14 1.950000e+15
2.0396659707724427,2835006543645726.0,4,1,8.860000e+14 1.950000e+15
1.2254697286012526,2825414537608534.0,3,0,8.650000e+14 1.950000e+15
2.653444676409186,2800333604832185.5,3,1,8.650000e+14 1.950000e+15
2.0396659707724427,2808231867432463.5,4,1,8.650000e+14 1.950000e+15
1.7766179540709812,2810121159467455.0,2,0,8.440000e+14 1.950000e+15
4.018789144050105,2806889752451696.0,2,1,8.440000e+14 1.950000e+15
2.653444676409186,2800311423184463.5,3,1,8.440000e+14 1.950000e+15
2.0396659707724427,2794344410051158.0,4,1,8.440000e+14 1.950000e+15
3.2922755741127347,2756753765934403.0,1,0,8.230000e+14 1.950000e+15
4.018789144050105,2786645311997993.5,2,1,8.230000e+14 1.950000e+15
2.0396659707724427,2788730702509352.0,4,1,8.230000e+14 1.950000e+15
1.626304801670146,2781136976448648.5,5,1,8.230000e+14 1.950000e+15
3.22964509394572,2736686606108993.5,1,0,8.020000e+14 1.950000e+15
1.6889352818371608,2745351057326121.0,2,0,8.020000e+14 1.950000e+15
1.1377870563674322,2760673321227184.0,3,0,8.020000e+14 1.950000e+15
