B,den,N,Band,System([band density])
4.157894736842105,6304919864907665.0,0,4,0.000000e+00 0.000000e+00 2.381461e+15 1.950000e+15 9.887640e+14 9.887640e+14
2.894736842105263,6302911851954671.0,1,4,0.000000e+00 0.000000e+00 2.381461e+15 1.950000e+15 9.887640e+14 9.887640e+14
5.105263157894736,6121395615416891.0,2,2,0.000000e+00 0.000000e+00 2.288764e+15 1.950000e+15 9.325843e+14 9.325843e+14
3.8421052631578947,5992607177270750.0,0,5,0.000000e+00 0.000000e+00 2.233146e+15 1.950000e+15 8.988764e+14 8.988764e+14
2.263157894736842,5790081194954764.0,2,5,0.000000e+00 0.000000e+00 2.140449e+15 1.950000e+15 8.426966e+14 8.426966e+14
2.263157894736842,5743589637450989.0,2,4,0.000000e+00 0.000000e+00 2.121910e+15 1.950000e+15 8.314607e+14 8.314607e+14
3.8421052631578947,5650361173779490.0,0,4,0.000000e+00 0.000000e+00 2.084831e+15 1.950000e+15 8.089888e+14 8.089888e+14
2.5789473684210527,5620609935331712.0,1,5,0.000000e+00 0.000000e+00 2.066292e+15 1.950000e+15 7.977528e+14 7.977528e+14
2.5789473684210527,5557717493960646.0,1,4,0.000000e+00 0.000000e+00 2.047753e+15 1.950000e+15 7.865169e+14 7.865169e+14
3.526315789473684,5365534461882459.0,0,5,0.000000e+00 0.000000e+00 1.955056e+15 1.950000e+15 7.303371e+14 7.303371e+14
3.526315789473684,5071829043376954.0,0,4,0.000000e+00 0.000000e+00 1.825281e+15 1.950000e+15 6.516854e+14 6.516854e+14
2.263157894736842,4846941857768232.0,1,5,0.000000e+00 0.000000e+00 1.714045e+15 1.950000e+15 5.842697e+14 5.842697e+14
1.9473684210526314,4815564899815335.0,2,5,0.000000e+00 0.000000e+00 1.714045e+15 1.950000e+15 5.842697e+14 5.842697e+14
2.263157894736842,4798753721318099.0,1,4,0.000000e+00 0.000000e+00 1.695506e+15 1.950000e+15 5.730337e+14 5.730337e+14
1.9473684210526314,4783520544972172.0,2,4,0.000000e+00 0.000000e+00 1.695506e+15 1.950000e+15 5.730337e+14 5.730337e+14
3.2105263157894735,4757921605583950.0,0,5,0.000000e+00 0.000000e+00 1.676966e+15 1.950000e+15 5.617978e+14 5.617978e+14
7.0,4641454604604604.0,1,2,0.000000e+00 0.000000e+00 1.621348e+15 1.950000e+15 5.280899e+14 5.280899e+14
3.2105263157894735,4551146954589544.0,0,4,0.000000e+00 0.000000e+00 1.584270e+15 1.950000e+15 5.056180e+14 5.056180e+14
2.894736842105263,4165009525599930.0,0,5,0.000000e+00 0.000000e+00 1.417416e+15 1.950000e+15 4.044944e+14 4.044944e+14
1.9473684210526314,4160021372537580.0,1,5,0.000000e+00 0.000000e+00 1.417416e+15 1.950000e+15 4.044944e+14 4.044944e+14
1.9473684210526314,4126242618434714.5,1,4,0.000000e+00 0.000000e+00 1.398876e+15 1.950000e+15 3.932584e+14 3.932584e+14
2.894736842105263,3994203741373307.0,0,4,0.000000e+00 0.000000e+00 1.343258e+15 1.950000e+15 3.595506e+14 3.595506e+14
1.631578947368421,3955903741806439.5,2,4,0.000000e+00 0.000000e+00 1.324719e+15 1.950000e+15 3.483146e+14 3.483146e+14
1.631578947368421,3975077832128167.0,2,5,0.000000e+00 0.000000e+00 1.324719e+15 1.950000e+15 3.483146e+14 3.483146e+14
2.5789473684210527,3615550276076171.0,0,5,0.000000e+00 0.000000e+00 1.157865e+15 1.950000e+15 2.471910e+14 2.471910e+14
1.631578947368421,3570679308982232.0,1,5,0.000000e+00 0.000000e+00 1.139326e+15 1.950000e+15 2.359551e+14 2.359551e+14
1.631578947368421,3510600699119911.5,1,4,0.000000e+00 0.000000e+00 1.120787e+15 1.950000e+15 2.247191e+14 2.247191e+14
4.789473684210526,3479219140309513.5,1,2,0.000000e+00 0.000000e+00 1.102247e+15 1.950000e+15 2.134831e+14 2.134831e+14
4.157894736842105,3281207011669374.0,2,3,0.000000e+00 0.000000e+00 1.009551e+15 1.950000e+15 1.573034e+14 1.573034e+14
1.3157894736842106,3223810977975474.5,2,4,0.000000e+00 0.000000e+00 9.910112e+14 1.950000e+15 1.460674e+14 1.460674e+14
1.3157894736842106,3233557892316963.0,2,5,0.000000e+00 0.000000e+00 9.910112e+14 1.950000e+15 1.460674e+14 1.460674e+14
2.5789473684210527,3074256526969719.0,0,4,0.000000e+00 0.000000e+00 9.168539e+14 1.950000e+15 1.011236e+14 1.011236e+14
1.3157894736842106,2812993678466954.0,1,5,0.000000e+00 0.000000e+00 8.056180e+14 1.950000e+15 3.370787e+13 3.370787e+13
4.157894736842105,2792804270565862.0,2,3,0.000000e+00 0.000000e+00 7.870787e+14 1.950000e+15 2.247191e+13 2.247191e+13
1.3157894736842106,2763643881693898.5,1,4,0.000000e+00 0.000000e+00 7.870787e+14 1.950000e+15 2.247191e+13 2.247191e+13
4.157894736842105,2735331304171333.0,2,3,0.000000e+00 0.000000e+00 7.685393e+14 1.950000e+15 1.123596e+13 1.123596e+13
1.3157894736842106,2759135997151417.5,1,4,0.000000e+00 0.000000e+00 7.685393e+14 1.950000e+15 1.123596e+13 1.123596e+13
2.263157894736842,2745046663458236.5,0,5,0.000000e+00 0.000000e+00 7.685393e+14 1.950000e+15 1.123596e+13 1.123596e+13
4.157894736842105,2691146067777679.0,2,3,0.000000e+00 0.000000e+00 7.500000e+14 1.950000e+15 0.000000e+00 0.000000e+00
3.2105263157894735,2601538013461000.0,1,2,4.037267e+13 4.037267e+13 7.422559e+14 1.950000e+15 0.000000e+00 0.000000e+00
2.263157894736842,2628939246200961.0,0,4,4.037267e+13 4.037267e+13 7.422559e+14 1.950000e+15 0.000000e+00 0.000000e+00
1.0,2609548700024107.0,2,4,4.037267e+13 4.037267e+13 7.422559e+14 1.950000e+15 0.000000e+00 0.000000e+00
1.0,2612629944878335.0,2,5,4.037267e+13 4.037267e+13 7.422559e+14 1.950000e+15 0.000000e+00 0.000000e+00
1.9473684210526314,2381160217921138.0,0,5,1.413043e+14 1.413043e+14 7.228957e+14 1.950000e+15 0.000000e+00 0.000000e+00
1.9473684210526314,2287751689285932.0,0,4,1.816770e+14 1.816770e+14 7.151516e+14 1.950000e+15 0.000000e+00 0.000000e+00
6.368421052631579,2251576480616102.5,0,1,2.018634e+14 2.018634e+14 7.112795e+14 1.950000e+15 0.000000e+00 0.000000e+00
1.631578947368421,2258678599543765.0,0,5,2.018634e+14 2.018634e+14 7.112795e+14 1.950000e+15 0.000000e+00 0.000000e+00
6.684210526315789,2229495949829827.0,0,1,2.220497e+14 2.220497e+14 7.074075e+14 1.950000e+15 0.000000e+00 0.000000e+00
6.052631578947368,2168776163075061.5,0,1,2.422360e+14 2.422360e+14 7.035354e+14 1.950000e+15 0.000000e+00 0.000000e+00
7.0,2117349448691004.5,0,1,2.624224e+14 2.624224e+14 6.996634e+14 1.950000e+15 0.000000e+00 0.000000e+00
1.0,2130164156770380.5,1,5,2.624224e+14 2.624224e+14 6.996634e+14 1.950000e+15 0.000000e+00 0.000000e+00
5.7368421052631575,2021363330063182.0,0,1,3.027950e+14 3.027950e+14 6.919193e+14 1.950000e+15 0.000000e+00 0.000000e+00
5.421052631578947,1841840227942195.5,0,1,3.835404e+14 3.835404e+14 6.764311e+14 1.950000e+15 0.000000e+00 0.000000e+00
1.3157894736842106,1869143679093704.0,0,5,3.835404e+14 3.835404e+14 6.764311e+14 1.950000e+15 0.000000e+00 0.000000e+00
1.3157894736842106,1822517624037868.5,0,4,4.037267e+14 4.037267e+14 6.725590e+14 1.950000e+15 0.000000e+00 0.000000e+00
3.2105263157894735,1648773890235534.0,0,1,4.844720e+14 4.844720e+14 6.570708e+14 1.950000e+15 0.000000e+00 0.000000e+00
5.105263157894736,1653331966381416.5,0,1,4.844720e+14 4.844720e+14 6.570708e+14 1.950000e+15 0.000000e+00 0.000000e+00
4.473684210526315,1595082326239975.8,0,1,5.046584e+14 5.046584e+14 6.531988e+14 1.950000e+15 0.000000e+00 0.000000e+00
