B,den,N,Band,System([band density])
1.4067796610169492,2953021436326056.0,3,0,9.910000e+14 1.950000e+15
3.9491525423728815,2892028233891593.0,2,1,9.280000e+14 1.950000e+15
3.135593220338983,2719270927342970.0,1,0,7.810000e+14 1.950000e+15
2.830508474576271,2663772812441740.0,0,3,7.390000e+14 1.950000e+15 1.100000e+13 1.100000e+13
3.2372881355932206,2668604254309573.0,0,3,7.390000e+14 1.950000e+15 1.100000e+13 1.100000e+13
3.8474576271186445,2683929183718897.0,0,3,7.390000e+14 1.950000e+15 1.100000e+13 1.100000e+13
4.661016949152542,2655058260206777.0,0,3,7.390000e+14 1.950000e+15 1.100000e+13 1.100000e+13
3.9491525423728815,2606184894129209.5,2,1,7.180000e+14 1.950000e+15 3.200000e+13 3.200000e+13
2.6271186440677967,2587686772814330.5,3,1,7.180000e+14 1.950000e+15 3.200000e+13 3.200000e+13
2.016949152542373,2593088824955747.0,4,1,7.180000e+14 1.950000e+15 3.200000e+13 3.200000e+13
2.830508474576271,2603068305790698.0,0,3,7.180000e+14 1.950000e+15 3.200000e+13 3.200000e+13
3.135593220338983,2590659329485275.0,0,3,7.180000e+14 1.950000e+15 3.200000e+13 3.200000e+13
4.050847457627119,2596319275152702.0,0,3,7.180000e+14 1.950000e+15 3.200000e+13 3.200000e+13
4.559322033898305,2612847742993384.5,0,3,7.180000e+14 1.950000e+15 3.200000e+13 3.200000e+13
2.6271186440677967,2525897641357439.0,3,1,6.970000e+14 1.950000e+15 5.300000e+13 5.300000e+13
2.1186440677966103,2544677348087999.0,0,3,6.970000e+14 1.950000e+15 5.300000e+13 5.300000e+13
2.830508474576271,2542406266558031.5,0,3,6.970000e+14 1.950000e+15 5.300000e+13 5.300000e+13
3.135593220338983,2545315612642475.0,0,3,6.970000e+14 1.950000e+15 5.300000e+13 5.300000e+13
4.254237288135593,2557384061536576.5,0,3,6.970000e+14 1.950000e+15 5.300000e+13 5.300000e+13
1.9152542372881356,2467385294036381.0,0,3,6.760000e+14 1.950000e+15 7.400000e+13 7.400000e+13
2.016949152542373,2488681451978891.0,0,3,6.760000e+14 1.950000e+15 7.400000e+13 7.400000e+13
2.830508474576271,2484895800961591.0,0,3,6.760000e+14 1.950000e+15 7.400000e+13 7.400000e+13
2.9322033898305087,2467278366431504.5,0,3,6.760000e+14 1.950000e+15 7.400000e+13 7.400000e+13
3.0338983050847457,2475801553221107.0,0,3,6.760000e+14 1.950000e+15 7.400000e+13 7.400000e+13
1.8135593220338984,2426856056885434.0,0,3,6.570000e+14 1.950000e+15 9.500000e+13 9.500000e+13
2.9322033898305087,2425662085529864.5,0,3,6.570000e+14 1.950000e+15 9.500000e+13 9.500000e+13
2.6271186440677967,2383007492005590.5,3,1,6.536000e+14 1.950000e+15 1.160000e+14 1.160000e+14
1.6101694915254239,2339843158615065.0,5,1,6.502000e+14 1.950000e+15 1.370000e+14 1.370000e+14
2.3220338983050848,2315866040842725.5,0,2,6.502000e+14 1.950000e+15 1.370000e+14 1.370000e+14
2.2203389830508478,2281113266478259.5,0,2,6.468000e+14 1.950000e+15 1.580000e+14 1.580000e+14
1.2033898305084745,2288702288548109.0,0,3,6.468000e+14 1.950000e+15 1.580000e+14 1.580000e+14
1.4067796610169492,2273257179987004.0,0,3,6.468000e+14 1.950000e+15 1.580000e+14 1.580000e+14
1.5084745762711864,2293532276212217.0,0,3,6.468000e+14 1.950000e+15 1.580000e+14 1.580000e+14
1.6101694915254239,2285966223996982.5,0,3,6.468000e+14 1.950000e+15 1.580000e+14 1.580000e+14
3.8474576271186445,2240908489552359.5,2,1,6.434000e+14 1.950000e+15 1.790000e+14 1.790000e+14
1.9152542372881356,2219364577538246.5,0,2,6.434000e+14 1.950000e+15 1.790000e+14 1.790000e+14
2.4237288135593222,2238396804298329.5,0,2,6.434000e+14 1.950000e+15 1.790000e+14 1.790000e+14
1.305084745762712,2244247322736183.5,0,3,6.434000e+14 1.950000e+15 1.790000e+14 1.790000e+14
1.305084745762712,2197341045843686.5,2,0,6.400000e+14 1.950000e+15 2.000000e+14 2.000000e+14
1.8135593220338984,2203898897288509.8,0,2,6.400000e+14 1.950000e+15 2.000000e+14 2.000000e+14
2.016949152542373,2189616974445764.0,0,2,6.400000e+14 1.950000e+15 2.000000e+14 2.000000e+14
1.0,2207697059909384.0,0,3,6.400000e+14 1.950000e+15 2.000000e+14 2.000000e+14
1.0,2147762805295631.0,8,1,6.366000e+14 1.950000e+15 2.210000e+14 2.210000e+14
1.1016949152542372,2099945518807148.5,0,2,6.332000e+14 1.950000e+15 2.420000e+14 2.420000e+14
1.2033898305084745,2089583080191270.2,0,2,6.332000e+14 1.950000e+15 2.420000e+14 2.420000e+14
1.7118644067796611,2109504378211828.8,0,2,6.332000e+14 1.950000e+15 2.420000e+14 2.420000e+14
1.0,2055374286738248.5,0,2,6.298000e+14 1.950000e+15 2.630000e+14 2.630000e+14
1.5084745762711864,2061155990588341.5,0,2,6.298000e+14 1.950000e+15 2.630000e+14 2.630000e+14
1.6101694915254239,2040935806813248.8,0,2,6.298000e+14 1.950000e+15 2.630000e+14 2.630000e+14
2.5254237288135597,2067887260787171.2,0,2,6.298000e+14 1.950000e+15 2.630000e+14 2.630000e+14
1.305084745762712,2011521506034997.2,0,2,6.264000e+14 1.950000e+15 2.840000e+14 2.840000e+14
1.4067796610169492,2024019734768058.0,0,2,6.264000e+14 1.950000e+15 2.840000e+14 2.840000e+14
1.1016949152542372,1992469343839287.5,1,3,6.264000e+14 1.950000e+15 2.840000e+14 2.840000e+14
1.0,1955055012950701.8,1,3,6.230000e+14 1.950000e+15 3.050000e+14 3.050000e+14
1.2033898305084745,1946071556521027.5,1,3,6.230000e+14 1.950000e+15 3.050000e+14 3.050000e+14
1.5084745762711864,1912354785521070.8,1,3,6.196000e+14 1.950000e+15 3.260000e+14 3.260000e+14
2.6271186440677967,1888826659810078.5,0,2,6.162000e+14 1.950000e+15 3.470000e+14 3.470000e+14
3.2372881355932206,1859920025855806.0,0,2,6.162000e+14 1.950000e+15 3.470000e+14 3.470000e+14
3.3389830508474576,1883742846449390.2,0,2,6.162000e+14 1.950000e+15 3.470000e+14 3.470000e+14
3.440677966101695,1889240230577719.0,0,2,6.162000e+14 1.950000e+15 3.470000e+14 3.470000e+14
3.5423728813559325,1871906851826632.2,0,2,6.162000e+14 1.950000e+15 3.470000e+14 3.470000e+14
1.305084745762712,1856125460835361.5,1,3,6.162000e+14 1.950000e+15 3.470000e+14 3.470000e+14
1.4067796610169492,1864502595606529.2,1,3,6.162000e+14 1.950000e+15 3.470000e+14 3.470000e+14
1.6101694915254239,1872484019463784.2,1,3,6.162000e+14 1.950000e+15 3.470000e+14 3.470000e+14
1.9152542372881356,1888737731761776.0,1,3,6.162000e+14 1.950000e+15 3.470000e+14 3.470000e+14
1.9152542372881356,1831324428699921.0,4,1,6.128000e+14 1.950000e+15 3.680000e+14 3.680000e+14
3.135593220338983,1824251935428045.0,0,2,6.128000e+14 1.950000e+15 3.680000e+14 3.680000e+14
3.6440677966101696,1832450163318011.0,0,2,6.128000e+14 1.950000e+15 3.680000e+14 3.680000e+14
5.88135593220339,1813926015474549.0,0,2,6.128000e+14 1.950000e+15 3.680000e+14 3.680000e+14
5.983050847457627,1821039060174531.8,0,2,6.128000e+14 1.950000e+15 3.680000e+14 3.680000e+14
6.084745762711865,1822171304111616.8,0,2,6.128000e+14 1.950000e+15 3.680000e+14 3.680000e+14
6.186440677966102,1816464662074187.5,0,2,6.128000e+14 1.950000e+15 3.680000e+14 3.680000e+14
