B,den,N,Band,System([band density])
4.4576271186440675,2940307800391489.0,1,0,9.910000e+14 1.950000e+15
1.1016949152542372,2949770307906209.0,4,0,9.910000e+14 1.950000e+15
2.830508474576271,2916905325460047.0,3,1,9.700000e+14 1.950000e+15
2.830508474576271,2915976996888600.5,3,1,9.490000e+14 1.950000e+15
2.1186440677966103,2902769904054311.0,4,1,9.490000e+14 1.950000e+15
4.254237288135593,2861592332014991.0,2,1,9.280000e+14 1.950000e+15
2.016949152542373,2874309061039737.0,2,0,9.070000e+14 1.950000e+15
4.3559322033898304,2766987890468613.5,2,1,8.230000e+14 1.950000e+15
1.1016949152542372,2650840124698676.0,3,0,7.390000e+14 1.950000e+15 1.100000e+13 1.100000e+13
4.3559322033898304,2657371558067254.0,2,1,7.390000e+14 1.950000e+15 1.100000e+13 1.100000e+13
3.2372881355932206,2609424274814151.5,1,0,7.180000e+14 1.950000e+15 3.200000e+13 3.200000e+13
1.4067796610169492,2620638439939105.5,6,1,7.180000e+14 1.950000e+15 3.200000e+13 3.200000e+13
3.135593220338983,2547337466746228.0,1,0,6.970000e+14 1.950000e+15 5.300000e+13 5.300000e+13
1.2033898305084745,2537225773439832.0,7,1,6.970000e+14 1.950000e+15 5.300000e+13 5.300000e+13
4.254237288135593,2413164169689448.0,2,1,6.570000e+14 1.950000e+15 9.500000e+13 9.500000e+13
2.830508474576271,2340448705392403.0,1,0,6.502000e+14 1.950000e+15 1.370000e+14 1.370000e+14
1.4067796610169492,2316731265544586.5,2,0,6.502000e+14 1.950000e+15 1.370000e+14 1.370000e+14
2.7288135593220337,2195211626261647.5,1,0,6.400000e+14 1.950000e+15 2.000000e+14 2.000000e+14
4.152542372881356,2146781525039789.0,2,1,6.366000e+14 1.950000e+15 2.210000e+14 2.210000e+14
2.7288135593220337,2148059521403761.0,3,1,6.366000e+14 1.950000e+15 2.210000e+14 2.210000e+14
6.491525423728814,2133541674535740.5,0,3,6.366000e+14 1.950000e+15 2.210000e+14 2.210000e+14
6.593220338983051,2148097540597739.8,0,3,6.366000e+14 1.950000e+15 2.210000e+14 2.210000e+14
6.694915254237289,2155800894568396.8,0,3,6.366000e+14 1.950000e+15 2.210000e+14 2.210000e+14
6.796610169491526,2155952637756167.8,0,3,6.366000e+14 1.950000e+15 2.210000e+14 2.210000e+14
6.898305084745763,2148061124954732.8,0,3,6.366000e+14 1.950000e+15 2.210000e+14 2.210000e+14
7.0,2131889598858482.5,0,3,6.366000e+14 1.950000e+15 2.210000e+14 2.210000e+14
6.288135593220339,2085673536205304.5,0,3,6.332000e+14 1.950000e+15 2.420000e+14 2.420000e+14
6.389830508474577,2111297930155910.8,0,3,6.332000e+14 1.950000e+15 2.420000e+14 2.420000e+14
2.6271186440677967,2043389587631633.5,1,0,6.298000e+14 1.950000e+15 2.630000e+14 2.630000e+14
2.016949152542373,2059583386963307.8,4,1,6.298000e+14 1.950000e+15 2.630000e+14 2.630000e+14
6.186440677966102,2054296236238006.0,0,3,6.298000e+14 1.950000e+15 2.630000e+14 2.630000e+14
1.305084745762712,1993666894080377.8,2,0,6.264000e+14 1.950000e+15 2.840000e+14 2.840000e+14
2.2203389830508478,1992878667886840.0,0,3,6.264000e+14 1.950000e+15 2.840000e+14 2.840000e+14
2.3220338983050848,1997929248449630.5,0,3,6.264000e+14 1.950000e+15 2.840000e+14 2.840000e+14
6.084745762711865,2019756017739013.8,0,3,6.264000e+14 1.950000e+15 2.840000e+14 2.840000e+14
1.0,1949097630076631.0,0,3,6.230000e+14 1.950000e+15 3.050000e+14 3.050000e+14
1.1016949152542372,1966865829258716.2,0,3,6.230000e+14 1.950000e+15 3.050000e+14 3.050000e+14
1.2033898305084745,1952377991787364.0,0,3,6.230000e+14 1.950000e+15 3.050000e+14 3.050000e+14
1.8135593220338984,1971419377263867.0,0,3,6.230000e+14 1.950000e+15 3.050000e+14 3.050000e+14
2.016949152542373,1973142288918162.0,0,3,6.230000e+14 1.950000e+15 3.050000e+14 3.050000e+14
2.1186440677966103,1976713459551709.0,0,3,6.230000e+14 1.950000e+15 3.050000e+14 3.050000e+14
2.4237288135593222,1967558782418598.5,0,3,6.230000e+14 1.950000e+15 3.050000e+14 3.050000e+14
5.88135593220339,1945779452086678.8,0,3,6.230000e+14 1.950000e+15 3.050000e+14 3.050000e+14
2.5254237288135597,1906084119745260.5,1,0,6.196000e+14 1.950000e+15 3.260000e+14 3.260000e+14
1.6101694915254239,1905846823199280.8,5,1,6.196000e+14 1.950000e+15 3.260000e+14 3.260000e+14
1.4067796610169492,1902324300293550.8,0,3,6.196000e+14 1.950000e+15 3.260000e+14 3.260000e+14
1.7118644067796611,1918873252448304.5,0,3,6.196000e+14 1.950000e+15 3.260000e+14 3.260000e+14
5.779661016949153,1906072917749407.8,0,3,6.196000e+14 1.950000e+15 3.260000e+14 3.260000e+14
4.050847457627119,1861051720967599.0,2,1,6.162000e+14 1.950000e+15 3.470000e+14 3.470000e+14
1.0,1873929900980880.0,8,1,6.162000e+14 1.950000e+15 3.470000e+14 3.470000e+14
1.305084745762712,1887797457749467.5,0,3,6.162000e+14 1.950000e+15 3.470000e+14 3.470000e+14
1.6101694915254239,1872412891118490.8,0,3,6.162000e+14 1.950000e+15 3.470000e+14 3.470000e+14
2.5254237288135597,1885756403514305.0,0,3,6.162000e+14 1.950000e+15 3.470000e+14 3.470000e+14
5.677966101694915,1865696210609509.2,0,3,6.162000e+14 1.950000e+15 3.470000e+14 3.470000e+14
5.576271186440678,1824978494411181.8,0,3,6.128000e+14 1.950000e+15 3.680000e+14 3.680000e+14
2.4237288135593222,1769681167164657.5,1,0,6.094000e+14 1.950000e+15 3.890000e+14 3.890000e+14
1.0,1794646534099211.5,0,2,6.094000e+14 1.950000e+15 3.890000e+14 3.890000e+14
1.1016949152542372,1795731220600750.5,0,2,6.094000e+14 1.950000e+15 3.890000e+14 3.890000e+14
2.6271186440677967,1783092104755766.8,0,3,6.094000e+14 1.950000e+15 3.890000e+14 3.890000e+14
3.440677966101695,1767166645982347.0,0,3,6.094000e+14 1.950000e+15 3.890000e+14 3.890000e+14
3.5423728813559325,1786695595013931.8,0,3,6.094000e+14 1.950000e+15 3.890000e+14 3.890000e+14
3.6440677966101696,1783335308112957.5,0,3,6.094000e+14 1.950000e+15 3.890000e+14 3.890000e+14
5.474576271186441,1784179267862766.0,0,3,6.094000e+14 1.950000e+15 3.890000e+14 3.890000e+14
1.2033898305084745,1733728119763768.2,0,2,6.060000e+14 1.950000e+15 4.100000e+14 4.100000e+14
1.8135593220338984,1740501459344947.5,0,2,6.060000e+14 1.950000e+15 4.100000e+14 4.100000e+14
1.9152542372881356,1721549753710157.0,0,2,6.060000e+14 1.950000e+15 4.100000e+14 4.100000e+14
3.3389830508474576,1728646767433260.8,0,3,6.060000e+14 1.950000e+15 4.100000e+14 4.100000e+14
5.372881355932203,1743533008634506.5,0,3,6.060000e+14 1.950000e+15 4.100000e+14 4.100000e+14
1.5084745762711864,1673671807790873.2,0,2,6.026000e+14 1.950000e+15 4.310000e+14 4.310000e+14
1.7118644067796611,1677016059913108.5,0,2,6.026000e+14 1.950000e+15 4.310000e+14 4.310000e+14
2.7288135593220337,1692923924933286.0,0,3,6.026000e+14 1.950000e+15 4.310000e+14 4.310000e+14
3.2372881355932206,1682931854466567.8,0,3,6.026000e+14 1.950000e+15 4.310000e+14 4.310000e+14
5.271186440677966,1703304139807091.0,0,3,6.026000e+14 1.950000e+15 4.310000e+14 4.310000e+14
1.0,1694606406304351.5,1,3,6.026000e+14 1.950000e+15 4.310000e+14 4.310000e+14
1.1016949152542372,1680030781426722.5,1,3,6.026000e+14 1.950000e+15 4.310000e+14 4.310000e+14
1.305084745762712,1656248737616182.2,0,2,5.992000e+14 1.950000e+15 4.520000e+14 4.520000e+14
1.4067796610169492,1658168044349364.8,0,2,5.992000e+14 1.950000e+15 4.520000e+14 4.520000e+14
1.6101694915254239,1632134744587487.2,0,2,5.992000e+14 1.950000e+15 4.520000e+14 4.520000e+14
2.016949152542373,1641457944970493.0,0,2,5.992000e+14 1.950000e+15 4.520000e+14 4.520000e+14
2.830508474576271,1637282554483848.5,0,3,5.992000e+14 1.950000e+15 4.520000e+14 4.520000e+14
3.135593220338983,1641029204294291.2,0,3,5.992000e+14 1.950000e+15 4.520000e+14 4.520000e+14
3.9491525423728815,1655688193486090.2,0,3,5.992000e+14 1.950000e+15 4.520000e+14 4.520000e+14
2.1186440677966103,1592648740069680.8,0,2,5.958000e+14 1.950000e+15 4.730000e+14 4.730000e+14
2.9322033898305087,1609806306000562.8,0,3,5.958000e+14 1.950000e+15 4.730000e+14 4.730000e+14
3.0338983050847457,1612786840756172.0,0,3,5.958000e+14 1.950000e+15 4.730000e+14 4.730000e+14
4.050847457627119,1601897207677071.0,0,3,5.958000e+14 1.950000e+15 4.730000e+14 4.730000e+14
4.966101694915254,1590624622083931.0,0,3,5.958000e+14 1.950000e+15 4.730000e+14 4.730000e+14
1.2033898305084745,1584622015587847.5,1,3,5.958000e+14 1.950000e+15 4.730000e+14 4.730000e+14
2.2203389830508478,1566779365716092.5,0,2,5.924000e+14 1.950000e+15 4.940000e+14 4.940000e+14
2.3220338983050848,1546116852901817.5,0,2,5.924000e+14 1.950000e+15 4.940000e+14 4.940000e+14
1.0,1543363180925460.8,1,2,5.924000e+14 1.950000e+15 4.940000e+14 4.940000e+14
4.152542372881356,1555627753818713.8,0,3,5.924000e+14 1.950000e+15 4.940000e+14 4.940000e+14
4.864406779661017,1557650614276191.2,0,3,5.924000e+14 1.950000e+15 4.940000e+14 4.940000e+14
2.6271186440677967,1521436535624507.2,3,1,5.890000e+14 1.950000e+15 5.150000e+14 5.150000e+14
1.305084745762712,1520214649595945.0,6,1,5.890000e+14 1.950000e+15 5.150000e+14 5.150000e+14
4.254237288135593,1520937842050312.0,0,3,5.890000e+14 1.950000e+15 5.150000e+14 5.150000e+14
4.3559322033898304,1499558695801589.0,0,3,5.890000e+14 1.950000e+15 5.150000e+14 5.150000e+14
4.4576271186440675,1491171708625313.5,0,3,5.890000e+14 1.950000e+15 5.150000e+14 5.150000e+14
4.559322033898305,1494540250084261.5,0,3,5.890000e+14 1.950000e+15 5.150000e+14 5.150000e+14
4.661016949152542,1507890336885559.8,0,3,5.890000e+14 1.950000e+15 5.150000e+14 5.150000e+14
1.305084745762712,1503903615175073.2,1,3,5.890000e+14 1.950000e+15 5.150000e+14 5.150000e+14
1.4067796610169492,1503427448572796.8,1,3,5.890000e+14 1.950000e+15 5.150000e+14 5.150000e+14
1.5084745762711864,1526732894204998.5,1,3,5.890000e+14 1.950000e+15 5.150000e+14 5.150000e+14
1.8135593220338984,1499645438872128.0,1,3,5.890000e+14 1.950000e+15 5.150000e+14 5.150000e+14
2.4237288135593222,1462957939478799.8,0,2,5.856000e+14 1.950000e+15 5.350000e+14 5.350000e+14
1.1016949152542372,1477832154295954.0,1,2,5.856000e+14 1.950000e+15 5.350000e+14 5.350000e+14
1.6101694915254239,1470500993865499.2,1,3,5.856000e+14 1.950000e+15 5.350000e+14 5.350000e+14
1.9152542372881356,1404878192809509.8,1,3,5.822000e+14 1.950000e+15 5.550000e+14 5.550000e+14
1.0,1367193384411469.5,2,3,5.788000e+14 1.950000e+15 5.800000e+14 5.800000e+14
1.1016949152542372,1329710021059913.0,7,1,5.754000e+14 1.950000e+15 6.000000e+14 6.000000e+14
2.5254237288135597,1328105019467708.2,0,2,5.754000e+14 1.950000e+15 6.000000e+14 6.000000e+14
1.9152542372881356,1273682475541529.2,4,1,5.720000e+14 1.950000e+15 6.200000e+14 6.200000e+14
3.8474576271186445,1234208416207442.0,2,1,5.686000e+14 1.950000e+15 6.400000e+14 6.400000e+14
2.016949152542373,1232719004440401.2,1,3,5.686000e+14 1.950000e+15 6.400000e+14 6.400000e+14
2.6271186440677967,1180327197039903.8,0,2,5.652000e+14 1.950000e+15 6.600000e+14 6.600000e+14
1.305084745762712,1194110732483410.8,1,2,5.652000e+14 1.950000e+15 6.600000e+14 6.600000e+14
1.1016949152542372,1193194715756407.8,2,3,5.652000e+14 1.950000e+15 6.600000e+14 6.600000e+14
1.4067796610169492,1135522035685378.8,1,2,5.618000e+14 1.950000e+15 6.850000e+14 6.850000e+14
3.2372881355932206,1088743090327924.5,0,2,5.584000e+14 1.950000e+15 7.050000e+14 7.050000e+14
3.3389830508474576,1092684088101492.0,0,2,5.584000e+14 1.950000e+15 7.050000e+14 7.050000e+14
1.5084745762711864,1093862266804357.5,1,2,5.584000e+14 1.950000e+15 7.050000e+14 7.050000e+14
2.1186440677966103,1091132284331755.5,1,3,5.584000e+14 1.950000e+15 7.050000e+14 7.050000e+14
3.0338983050847457,1049926230443573.8,0,2,5.550000e+14 1.950000e+15 7.250000e+14 7.250000e+14
3.135593220338983,1072425541290377.0,0,2,5.550000e+14 1.950000e+15 7.250000e+14 7.250000e+14
3.5423728813559325,1039114894548575.5,0,2,5.550000e+14 1.950000e+15 7.250000e+14 7.250000e+14
1.0,1000092835587378.8,2,2,5.516000e+14 1.950000e+15 7.450000e+14 7.450000e+14
2.2203389830508478,998840145063543.0,1,3,5.516000e+14 1.950000e+15 7.450000e+14 7.450000e+14
1.2033898305084745,1026388484911863.5,2,3,5.516000e+14 1.950000e+15 7.450000e+14 7.450000e+14
3.6440677966101696,977278962180687.5,0,2,5.482000e+14 1.950000e+15 7.650000e+14 7.650000e+14
1.6101694915254239,968529360992908.8,1,2,5.482000e+14 1.950000e+15 7.650000e+14 7.650000e+14
2.016949152542373,932510509792586.2,1,0,5.448000e+14 1.950000e+15 7.900000e+14 7.900000e+14
2.3220338983050848,920840439697073.0,1,3,5.448000e+14 1.950000e+15 7.900000e+14 7.900000e+14
1.305084745762712,923340325317630.2,2,3,5.448000e+14 1.950000e+15 7.900000e+14 7.900000e+14
2.4237288135593222,832880238386951.5,1,3,5.380000e+14 1.950000e+15 8.300000e+14 8.300000e+14
1.4067796610169492,835015833864371.2,2,3,5.380000e+14 1.950000e+15 8.300000e+14 8.300000e+14
1.5084745762711864,780213586799293.2,5,1,5.346000e+14 1.950000e+15 8.500000e+14 8.500000e+14
1.8135593220338984,801589816500961.5,1,2,5.346000e+14 1.950000e+15 8.500000e+14 8.500000e+14
1.1016949152542372,785647535164158.0,2,2,5.346000e+14 1.950000e+15 8.500000e+14 8.500000e+14
1.5084745762711864,757199685539731.8,2,3,5.312000e+14 1.950000e+15 8.700000e+14 8.700000e+14
1.0,745044599114587.8,3,3,5.312000e+14 1.950000e+15 8.700000e+14 8.700000e+14
2.5254237288135597,686918041714633.2,3,1,5.278000e+14 1.950000e+15 8.950000e+14 8.950000e+14
4.050847457627119,629055385566443.5,0,2,5.244000e+14 1.950000e+15 9.150000e+14 9.150000e+14
1.2033898305084745,634656315705281.8,2,2,5.244000e+14 1.950000e+15 9.150000e+14 9.150000e+14
1.9152542372881356,615207973340993.5,1,2,5.210000e+14 1.950000e+15 9.350000e+14 9.350000e+14
2.6271186440677967,604907929106325.0,1,3,5.210000e+14 1.950000e+15 9.350000e+14 9.350000e+14
1.6101694915254239,599381724148417.2,2,3,5.210000e+14 1.950000e+15 9.350000e+14 9.350000e+14
3.745762711864407,564567045691609.2,2,1,5.176000e+14 1.950000e+15 9.550000e+14 9.550000e+14
4.152542372881356,565514505958614.2,0,2,5.176000e+14 1.950000e+15 9.550000e+14 9.550000e+14
4.254237288135593,519803966715903.5,0,2,5.142000e+14 1.950000e+15 9.750000e+14 9.750000e+14
1.305084745762712,513926801639609.25,2,2,5.142000e+14 1.950000e+15 9.750000e+14 9.750000e+14
2.7288135593220337,517504035016876.0,1,3,5.142000e+14 1.950000e+15 9.750000e+14 9.750000e+14
1.8135593220338984,469589850553676.75,1,0,5.108000e+14 1.950000e+15 1.000000e+15 1.000000e+15
4.4576271186440675,473467979192853.0,0,2,5.108000e+14 1.950000e+15 1.000000e+15 1.000000e+15
4.559322033898305,464607795082856.25,0,2,5.108000e+14 1.950000e+15 1.000000e+15 1.000000e+15
4.661016949152542,460703802009846.0,0,2,5.108000e+14 1.950000e+15 1.000000e+15 1.000000e+15
4.76271186440678,459261986514050.25,0,2,5.108000e+14 1.950000e+15 1.000000e+15 1.000000e+15
4.864406779661017,458706391701472.5,0,2,5.108000e+14 1.950000e+15 1.000000e+15 1.000000e+15
4.966101694915254,458156005782273.75,0,2,5.108000e+14 1.950000e+15 1.000000e+15 1.000000e+15
5.067796610169491,457180683942041.5,0,2,5.108000e+14 1.950000e+15 1.000000e+15 1.000000e+15
5.169491525423729,455592643833403.75,0,2,5.108000e+14 1.950000e+15 1.000000e+15 1.000000e+15
5.271186440677966,453286488463090.75,0,2,5.108000e+14 1.950000e+15 1.000000e+15 1.000000e+15
5.372881355932203,450123258221904.5,0,2,5.108000e+14 1.950000e+15 1.000000e+15 1.000000e+15
5.474576271186441,445851352220676.5,0,2,5.108000e+14 1.950000e+15 1.000000e+15 1.000000e+15
2.830508474576271,471647235893235.0,1,3,5.108000e+14 1.950000e+15 1.000000e+15 1.000000e+15
2.9322033898305087,455377656837470.75,1,3,5.108000e+14 1.950000e+15 1.000000e+15 1.000000e+15
3.0338983050847457,449611397964092.0,1,3,5.108000e+14 1.950000e+15 1.000000e+15 1.000000e+15
1.7118644067796611,460986766946959.25,2,3,5.108000e+14 1.950000e+15 1.000000e+15 1.000000e+15
5.677966101694915,432887788999391.75,0,2,5.074000e+14 1.950000e+15 1.020000e+15 1.020000e+15
5.779661016949153,422072893946170.75,0,2,5.074000e+14 1.950000e+15 1.020000e+15 1.020000e+15
5.88135593220339,407534870496024.0,0,2,5.074000e+14 1.950000e+15 1.020000e+15 1.020000e+15
2.016949152542373,401003313892512.75,1,2,5.074000e+14 1.950000e+15 1.020000e+15 1.020000e+15
3.2372881355932206,416044916195298.5,1,3,5.074000e+14 1.950000e+15 1.020000e+15 1.020000e+15
5.983050847457627,388909558566554.75,0,2,5.040000e+14 1.950000e+15 1.040000e+15 1.040000e+15
6.084745762711865,364119561046420.25,0,2,5.040000e+14 1.950000e+15 1.040000e+15 1.040000e+15
1.4067796610169492,363455226961223.5,2,2,5.040000e+14 1.950000e+15 1.040000e+15 1.040000e+15
1.0,372685752197316.5,3,2,5.040000e+14 1.950000e+15 1.040000e+15 1.040000e+15
3.3389830508474576,374544627451437.25,1,3,5.040000e+14 1.950000e+15 1.040000e+15 1.040000e+15
1.2033898305084745,378240651113837.5,3,3,5.040000e+14 1.950000e+15 1.040000e+15 1.040000e+15
6.186440677966102,333471118922263.25,0,2,5.006000e+14 1.950000e+15 1.060000e+15 1.060000e+15
3.440677966101695,313668144197649.75,1,3,5.006000e+14 1.950000e+15 1.060000e+15 1.060000e+15
6.288135593220339,295806690741383.75,0,2,4.972000e+14 1.950000e+15 1.080000e+15 1.080000e+15
1.8135593220338984,298125308453886.5,2,3,4.972000e+14 1.950000e+15 1.080000e+15 1.080000e+15
6.389830508474577,250898189436369.0,0,2,4.938000e+14 1.950000e+15 1.105000e+15 1.105000e+15
1.5084745762711864,217011637277765.25,2,2,4.938000e+14 1.950000e+15 1.105000e+15 1.105000e+15
3.5423728813559325,236308895025851.0,1,3,4.938000e+14 1.950000e+15 1.105000e+15 1.105000e+15
1.305084745762712,233589315140822.5,3,3,4.938000e+14 1.950000e+15 1.105000e+15 1.105000e+15
6.491525423728814,198428819987293.75,0,2,4.904000e+14 1.950000e+15 1.125000e+15 1.125000e+15
2.2203389830508478,176307197718255.0,1,2,4.904000e+14 1.950000e+15 1.125000e+15 1.125000e+15
1.1016949152542372,179988430746723.25,3,2,4.904000e+14 1.950000e+15 1.125000e+15 1.125000e+15
6.593220338983051,138755834767079.0,0,2,4.870000e+14 1.950000e+15 1.145000e+15 1.145000e+15
3.6440677966101696,145435695211359.0,1,3,4.870000e+14 1.950000e+15 1.145000e+15 1.145000e+15
1.0,138781357933617.25,4,3,4.870000e+14 1.950000e+15 1.145000e+15 1.145000e+15
2.3220338983050848,89332702422696.25,1,2,4.836000e+14 1.950000e+15 1.165000e+15 1.165000e+15
